Date,BID,ASK,RIC
2020-01-13,99.741,99.99,CL210235833=
2020-01-14,100.003,100.235,CL210235833=
2020-01-15,100.096,100.328,CL210235833=
2020-01-16,99.987,100.218,CL210235833=
2020-01-17,100.549,100.782,CL210235833=
2020-01-20,100.563,100.796,CL210235833=
2020-01-21,100.768,101.001,CL210235833=
2020-01-22,100.776,101.009,CL210235833=
2020-01-23,100.916,101.149,CL210235833=
2020-01-24,101.078,101.311,CL210235833=
2020-01-27,101.376,101.61,CL210235833=
2020-01-28,101.206,101.439,CL210235833=
2020-01-29,101.547,101.781,CL210235833=
2020-01-30,101.562,101.796,CL210235833=
2020-01-31,101.598,101.832,CL210235833=
2020-02-03,101.747,101.982,CL210235833=
2020-02-04,101.49,101.724,CL210235833=
2020-02-05,101.308,101.541,CL210235833=
2020-02-06,101.296,101.529,CL210235833=
2020-02-07,101.569,101.802,CL210235833=
2020-02-10,101.674,101.908,CL210235833=
2020-02-11,101.484,101.717,CL210235833=
2020-02-12,101.337,101.568,CL210235833=
2020-02-13,101.38,101.611,CL210235833=
2020-02-14,101.493,101.725,CL210235833=
2020-02-17,101.484,101.716,CL210235833=
2020-02-18,101.589,101.821,CL210235833=
2020-02-19,101.541,101.773,CL210235833=
2020-02-20,101.746,101.978,CL210235833=
2020-02-21,101.939,102.172,CL210235833=
2020-02-24,102.473,102.706,CL210235833=
2020-02-25,102.453,102.686,CL210235833=
2020-02-27,101.252,101.481,CL210235833=
2020-02-28,101.845,102.076,CL210235833=
2020-03-02,101.964,102.196,CL210235833=
2020-03-03,102.095,102.326,CL210235833=
2020-03-17,102.84,103.071,CL210235833=
2020-03-18,102.585,102.908,CL210235833=
2020-03-19,102.975,103.299,CL210235833=
2020-03-20,104.019,104.347,CL210235833=
2020-03-23,104.356,104.685,CL210235833=
2020-03-24,101.174,101.491,CL210235833=
2020-03-25,101.216,101.533,CL210235833=
2020-03-26,101.218,101.535,CL210235833=
2020-03-27,101.768,102.087,CL210235833=
2020-03-30,101.71,102.029,CL210235833=
2020-03-31,101.88,102.199,CL210235833=
2020-04-01,101.89,102.209,CL210235833=
2020-04-02,101.837,102.155,CL210235833=
2020-04-03,101.826,102.144,CL210235833=
2020-04-06,101.563,101.879,CL210235833=
2020-04-07,101.467,101.783,CL210235833=
2020-04-08,101.461,101.776,CL210235833=
2020-04-09,101.718,102.034,CL210235833=
2020-04-10,101.724,102.04,CL210235833=
2020-04-13,101.53,101.845,CL210235833=
2020-04-14,101.676,101.992,CL210235833=
2020-04-15,94.56,94.85,CL210235833=
2020-04-16,94.513,94.802,CL210235833=
2020-04-17,94.495,94.784,CL210235833=
2020-04-20,94.525,94.814,CL210235833=
2020-04-21,94.605,94.894,CL210235833=
2020-04-22,94.47,94.758,CL210235833=
2020-04-23,94.453,94.741,CL210235833=
2020-04-24,94.444,94.732,CL210235833=
2020-04-27,94.321,94.608,CL210235833=
2020-04-28,94.466,94.754,CL210235833=
2020-04-29,94.51,94.797,CL210235833=
2020-04-30,94.52,94.807,CL210235833=
2020-05-01,99.458,99.762,CL210235833=
2020-05-04,99.432,99.736,CL210235833=
2020-05-05,99.374,99.677,CL210235833=
2020-05-06,99.609,99.914,CL210235833=
2020-05-07,99.895,100.2,CL210235833=
2020-05-08,99.77,100.074,CL210235833=
2020-05-11,99.704,100.008,CL210235833=
2020-05-12,99.816,100.12,CL210235833=
2020-05-13,99.838,100.142,CL210235833=
2020-05-14,99.92,100.18,CL210235833=
2020-05-15,99.878,100.138,CL210235833=
2020-05-18,99.627,99.886,CL210235833=
2020-05-19,99.776,100.036,CL210235833=
2020-05-20,99.744,100.003,CL210235833=
2020-05-21,99.742,100.001,CL210235833=
2020-05-22,99.772,100.031,CL210235833=
2020-05-25,99.8,100.059,CL210235833=
2020-05-26,99.728,99.987,CL210235833=
2020-05-27,99.702,99.96,CL210235833=
2020-05-28,99.779,100.037,CL210235833=
2020-05-29,99.919,100.177,CL210235833=
2020-06-01,99.896,100.154,CL210235833=
2020-06-02,99.843,100.101,CL210235833=
2020-06-03,99.674,99.931,CL210235833=
2020-06-04,99.518,99.774,CL210235833=
2020-06-05,99.297,99.553,CL210235833=
2020-06-08,99.341,99.596,CL210235833=
2020-06-09,99.546,99.802,CL210235833=
2020-06-10,99.841,100.098,CL210235833=
2020-06-11,99.84,100.096,CL210235833=
2020-06-12,99.798,100.054,CL210235833=
2020-06-15,99.765,100.021,CL210235833=
2020-06-16,99.871,100.127,CL210235833=
2020-06-17,99.844,100.099,CL210235833=
2020-06-18,99.884,100.139,CL210235833=
2020-06-19,99.918,100.173,CL210235833=
2020-06-22,99.864,100.119,CL210235833=
2020-06-23,99.898,100.153,CL210235833=
2020-06-24,99.952,100.207,CL210235833=
2020-06-25,99.925,100.179,CL210235833=
2020-06-26,100.038,100.292,CL210235833=
2020-06-29,100.147,100.402,CL210235833=
2020-06-30,100.097,100.351,CL210235833=
2020-07-01,99.999,100.253,CL210235833=
2020-07-02,100.095,100.348,CL210235833=
2020-07-03,100.095,100.348,CL210235833=
2020-07-06,100.039,100.292,CL210235833=
2020-07-07,100.095,100.349,CL210235833=
2020-07-08,100.033,100.285,CL210235833=
2020-07-09,100.101,100.354,CL210235833=
2020-07-10,100.033,100.285,CL210235833=
2020-07-13,100.098,100.351,CL210235833=
2020-07-14,100.079,100.332,CL210235833=
2020-07-15,100.088,100.34,CL210235833=
2020-07-16,100.132,100.383,CL210235833=
2020-07-17,100.127,100.379,CL210235833=
2020-07-20,100.121,100.372,CL210235833=
2020-07-21,100.167,100.418,CL210235833=
2020-07-22,100.136,100.388,CL210235833=
2020-07-23,100.159,100.41,CL210235833=
