Date,BID,ASK,RIC
2022-02-18,99.658,99.754,CN243253098=
2022-02-21,99.718,99.814,CN243253098=
2022-02-22,99.503,99.598,CN243253098=
2022-02-23,99.406,99.501,CN243253098=
2022-02-24,99.469,99.564,CN243253098=
2022-02-25,99.475,99.569,CN243253098=
2022-02-28,99.73,99.825,CN243253098=
2022-03-01,99.926,100.021,CN243253098=
2022-03-02,99.541,99.635,CN243253098=
2022-03-03,99.521,99.615,CN243253098=
2022-03-04,99.469,99.563,CN243253098=
2022-03-07,99.338,99.431,CN243253098=
2022-03-08,99.098,99.191,CN243253098=
2022-03-09,99.046,99.139,CN243253098=
2022-03-10,99.053,99.145,CN243253098=
2022-03-11,98.977,99.069,CN243253098=
2022-03-14,98.682,98.773,CN243253098=
2022-03-15,98.71,98.801,CN243253098=
2022-03-16,98.552,98.643,CN243253098=
2022-03-17,98.526,98.616,CN243253098=
2022-03-18,98.608,98.698,CN243253098=
2022-03-21,98.293,98.383,CN243253098=
2022-03-22,98.243,98.333,CN243253098=
2022-03-23,98.386,98.476,CN243253098=
2022-03-24,98.111,98.2,CN243253098=
2022-03-25,98.08,98.169,CN243253098=
2022-03-28,97.99,98.079,CN243253098=
2022-03-29,97.876,97.965,CN243253098=
2022-03-30,97.988,98.077,CN243253098=
2022-03-31,97.992,98.081,CN243253098=
2022-04-01,97.808,97.896,CN243253098=
2022-04-04,97.868,97.956,CN243253098=
2022-04-05,97.683,97.771,CN243253098=
2022-04-06,97.563,97.651,CN243253098=
2022-04-07,97.654,97.741,CN243253098=
2022-04-08,97.486,97.573,CN243253098=
2022-04-11,97.658,97.745,CN243253098=
2022-04-12,97.67,97.757,CN243253098=
2022-04-13,97.704,97.79,CN243253098=
2022-04-14,97.88,97.967,CN243253098=
2022-04-15,97.894,97.981,CN243253098=
2022-04-18,97.897,97.984,CN243253098=
2022-04-19,97.619,97.705,CN243253098=
2022-04-20,97.593,97.679,CN243253098=
2022-04-21,97.434,97.519,CN243253098=
2022-04-22,97.362,97.447,CN243253098=
2022-04-25,97.383,97.468,CN243253098=
2022-04-26,97.551,97.636,CN243253098=
2022-04-27,97.54,97.625,CN243253098=
2022-04-28,97.52,97.605,CN243253098=
2022-04-29,97.165,97.249,CN243253098=
2022-05-02,97.169,97.253,CN243253098=
2022-05-03,97.387,97.471,CN243253098=
2022-05-04,97.425,97.509,CN243253098=
2022-05-05,97.39,97.474,CN243253098=
2022-05-06,97.154,97.237,CN243253098=
2022-05-09,97.388,97.471,CN243253098=
2022-05-10,97.395,97.478,CN243253098=
2022-05-11,97.548,97.631,CN243253098=
2022-05-12,97.471,97.554,CN243253098=
2022-05-13,97.728,97.811,CN243253098=
2022-05-16,97.738,97.821,CN243253098=
2022-05-17,97.564,97.646,CN243253098=
2022-05-18,97.508,97.59,CN243253098=
2022-05-19,97.579,97.661,CN243253098=
2022-05-20,97.639,97.721,CN243253098=
2022-05-23,97.606,97.688,CN243253098=
2022-05-24,97.82,97.902,CN243253098=
2022-05-25,97.888,97.97,CN243253098=
2022-05-26,97.986,98.067,CN243253098=
2022-05-27,97.914,97.995,CN243253098=
2022-05-30,97.769,97.85,CN243253098=
2022-05-31,97.837,97.918,CN243253098=
2022-06-01,97.768,97.849,CN243253098=
2022-06-02,97.643,97.723,CN243253098=
2022-06-03,97.606,97.686,CN243253098=
2022-06-06,97.538,97.618,CN243253098=
2022-06-07,97.569,97.649,CN243253098=
2022-06-08,97.52,97.6,CN243253098=
2022-06-09,97.489,97.568,CN243253098=
2022-06-10,97.173,97.252,CN243253098=
2022-06-13,96.642,96.72,CN243253098=
2022-06-14,96.519,96.597,CN243253098=
2022-06-15,96.883,96.961,CN243253098=
2022-06-16,97.028,97.106,CN243253098=
2022-06-17,96.924,97.001,CN243253098=
2022-06-20,96.822,96.899,CN243253098=
2022-06-21,96.954,97.031,CN243253098=
2022-06-22,97.133,97.21,CN243253098=
2022-06-23,97.234,97.311,CN243253098=
2022-06-24,97.212,97.289,CN243253098=
2022-06-27,97.064,97.141,CN243253098=
2022-06-28,97.069,97.145,CN243253098=
2022-06-29,97.21,97.287,CN243253098=
2022-06-30,97.348,97.424,CN243253098=
2022-07-01,97.53,97.606,CN243253098=
2022-07-04,97.459,97.535,CN243253098=
2022-07-05,97.499,97.575,CN243253098=
2022-07-06,97.315,97.391,CN243253098=
2022-07-07,97.225,97.3,CN243253098=
2022-07-08,97.198,97.273,CN243253098=
2022-07-11,97.135,97.21,CN243253098=
2022-07-12,97.172,97.247,CN243253098=
2022-07-13,97.161,97.236,CN243253098=
2022-07-14,97.073,97.147,CN243253098=
2022-07-15,97.06,97.134,CN243253098=
2022-07-18,97.036,97.11,CN243253098=
2022-07-19,96.889,96.963,CN243253098=
2022-07-20,96.963,97.036,CN243253098=
2022-07-21,97.068,97.141,CN243253098=
2022-07-22,97.237,97.31,CN243253098=
2022-07-25,97.295,97.368,CN243253098=
2022-07-26,97.254,97.327,CN243253098=
2022-07-27,97.281,97.354,CN243253098=
2022-07-28,97.46,97.533,CN243253098=
2022-07-29,97.504,97.577,CN243253098=
2022-08-01,97.487,97.56,CN243253098=
2022-08-02,97.321,97.393,CN243253098=
2022-08-03,97.302,97.374,CN243253098=
2022-08-04,97.259,97.331,CN243253098=
2022-08-05,97.104,97.175,CN243253098=
2022-08-08,97.111,97.182,CN243253098=
2022-08-09,97.032,97.103,CN243253098=
2022-08-10,97.105,97.176,CN243253098=
2022-08-11,97.097,97.168,CN243253098=
2022-08-12,96.999,97.069,CN243253098=
2022-08-15,97.054,97.124,CN243253098=
2022-08-16,96.998,97.068,CN243253098=
2022-08-17,96.994,97.064,CN243253098=
2022-08-18,97.16,97.23,CN243253098=
2022-08-19,97.221,97.291,CN243253098=
2022-08-22,97.05,97.119,CN243253098=
2022-08-23,97.044,97.113,CN243253098=
2022-08-24,96.909,96.978,CN243253098=
2022-08-25,96.966,97.035,CN243253098=
2022-08-26,96.961,97.03,CN243253098=
2022-08-29,96.893,96.961,CN243253098=
2022-08-30,97.027,97.095,CN243253098=
2022-08-31,96.872,96.94,CN243253098=
2022-09-01,96.863,96.931,CN243253098=
2022-09-02,97.035,97.103,CN243253098=
2022-09-05,96.943,97.011,CN243253098=
2022-09-06,96.89,96.957,CN243253098=
2022-09-07,96.893,96.96,CN243253098=
