Date,BID,ASK,RIC
2013-10-29,99.8,100.25,CR098835580=
2013-10-30,99.3,100.0,CR098835580=
2013-10-31,99.3,100.0,CR098835580=
2013-11-01,99.45,99.9,CR098835580=
2013-11-04,99.35,99.65,CR098835580=
2013-11-05,99.05,99.7,CR098835580=
2013-11-06,98.35,99.15,CR098835580=
2013-11-07,98.3,99.2,CR098835580=
2013-11-08,98.3,99.2,CR098835580=
2013-11-11,98.311,99.311,CR098835580=
2013-11-12,98.35,98.9,CR098835580=
2013-11-13,98.0,98.5,CR098835580=
2013-11-14,98.35,98.65,CR098835580=
2013-11-15,98.6,99.4,CR098835580=
2013-11-18,98.3,99.1,CR098835580=
2013-11-19,98.3,99.2,CR098835580=
2013-11-20,98.35,99.15,CR098835580=
2013-11-21,98.35,99.15,CR098835580=
2013-11-22,98.35,99.15,CR098835580=
2013-11-25,98.38,99.13,CR098835580=
2013-11-26,98.35,99.15,CR098835580=
2013-11-27,98.38,98.75,CR098835580=
2013-11-28,98.5,98.75,CR098835580=
2013-11-29,98.5,99.13,CR098835580=
2013-12-02,98.35,99.15,CR098835580=
2013-12-03,98.35,99.15,CR098835580=
2013-12-04,98.35,99.15,CR098835580=
2013-12-05,98.35,99.15,CR098835580=
2013-12-06,97.35,98.15,CR098835580=
2013-12-09,98.0,98.5,CR098835580=
2013-12-10,97.35,98.15,CR098835580=
2013-12-11,97.35,98.15,CR098835580=
2013-12-12,97.35,98.15,CR098835580=
2013-12-13,98.0,98.75,CR098835580=
2013-12-16,97.25,97.88,CR098835580=
2013-12-17,97.1,97.9,CR098835580=
2013-12-18,97.35,97.65,CR098835580=
2013-12-19,97.3,98.1,CR098835580=
2013-12-20,97.3,98.1,CR098835580=
2013-12-23,97.1,97.65,CR098835580=
2013-12-24,97.1,97.65,CR098835580=
2013-12-25,96.688,97.688,CR098835580=
2013-12-26,96.905,97.905,CR098835580=
2013-12-27,97.1,97.65,CR098835580=
2013-12-30,97.25,97.5,CR098835580=
2013-12-31,97.1,97.65,CR098835580=
2014-01-01,97.25,97.5,CR098835580=
2014-01-02,97.1,97.65,CR098835580=
2014-01-03,97.1,97.65,CR098835580=
2014-01-06,97.1,97.65,CR098835580=
2014-01-07,97.25,97.5,CR098835580=
2014-01-08,97.1,97.65,CR098835580=
2014-01-09,97.25,97.5,CR098835580=
2014-01-10,97.1,97.65,CR098835580=
2014-01-13,97.1,97.65,CR098835580=
2014-01-14,96.0,97.2,CR098835580=
2014-01-15,96.25,96.88,CR098835580=
2014-01-16,96.0,96.25,CR098835580=
2014-01-17,96.0,96.5,CR098835580=
2014-01-20,96.0,96.25,CR098835580=
2014-01-21,96.0,96.25,CR098835580=
2014-01-22,95.63,96.13,CR098835580=
2014-01-23,95.38,96.0,CR098835580=
2014-01-24,96.31,97.31,CR098835580=
2014-01-27,94.75,95.13,CR098835580=
2014-01-28,94.8,95.5,CR098835580=
2014-01-29,94.25,94.88,CR098835580=
2014-01-30,94.75,95.13,CR098835580=
2014-01-31,95.0,96.0,CR098835580=
2014-02-03,94.6,95.45,CR098835580=
2014-02-04,95.0,95.25,CR098835580=
2014-02-05,97.0,97.4,CR098835580=
2014-02-06,96.85,97.55,CR098835580=
2014-02-07,97.0,97.4,CR098835580=
2014-02-10,96.85,97.55,CR098835580=
2014-02-11,96.85,97.55,CR098835580=
2014-02-12,96.85,97.55,CR098835580=
2014-02-13,97.75,98.25,CR098835580=
2014-02-14,97.75,98.25,CR098835580=
2014-02-17,98.25,99.0,CR098835580=
2014-02-18,98.25,99.0,CR098835580=
2014-02-19,98.1,99.15,CR098835580=
2014-02-20,98.1,99.15,CR098835580=
2014-02-21,98.1,99.15,CR098835580=
2014-02-24,98.25,99.0,CR098835580=
2014-02-25,98.25,99.0,CR098835580=
2014-02-26,98.25,99.0,CR098835580=
2014-02-27,98.25,99.0,CR098835580=
2014-02-28,98.1,99.15,CR098835580=
2014-03-03,98.1,99.15,CR098835580=
2014-03-04,98.1,99.15,CR098835580=
2014-03-05,98.63,99.25,CR098835580=
2014-03-06,98.25,99.25,CR098835580=
2014-03-07,98.85,99.9,CR098835580=
2014-03-10,98.5,99.1,CR098835580=
2014-03-11,98.85,99.9,CR098835580=
2014-03-12,98.85,99.9,CR098835580=
2014-03-13,99.0,99.75,CR098835580=
2014-03-14,99.0,99.75,CR098835580=
2014-03-17,98.85,99.9,CR098835580=
2014-03-18,98.85,99.9,CR098835580=
2014-03-19,98.6,99.2,CR098835580=
2014-03-20,98.25,99.75,CR098835580=
2014-03-21,98.25,98.75,CR098835580=
2014-03-24,98.6,99.2,CR098835580=
2014-03-25,98.25,99.75,CR098835580=
2014-03-26,98.5,98.88,CR098835580=
2014-03-27,98.777,99.777,CR098835580=
2014-03-28,98.25,99.75,CR098835580=
2014-03-31,99.0,99.7,CR098835580=
2014-04-01,99.0,99.63,CR098835580=
2014-04-02,99.0,99.7,CR098835580=
2014-04-03,99.13,99.38,CR098835580=
2014-04-04,98.88,99.13,CR098835580=
2014-04-07,98.6,99.4,CR098835580=
2014-04-08,98.6,99.4,CR098835580=
2014-04-09,98.63,99.25,CR098835580=
2014-04-10,98.38,98.88,CR098835580=
2014-04-11,98.1,98.9,CR098835580=
2014-04-14,98.1,98.9,CR098835580=
2014-04-15,98.1,99.0,CR098835580=
2014-04-16,98.25,98.9,CR098835580=
2014-04-17,98.1,99.05,CR098835580=
2014-04-18,98.6,99.5,CR098835580=
2014-04-21,98.6,99.5,CR098835580=
2014-04-22,98.25,98.9,CR098835580=
2014-04-23,98.75,99.25,CR098835580=
2014-04-24,98.75,99.25,CR098835580=
2014-04-25,98.6,99.4,CR098835580=
2014-04-28,98.9,99.25,CR098835580=
2014-04-29,98.9,99.25,CR098835580=
2014-04-30,99.25,99.75,CR098835580=
2014-05-01,99.565,100.565,CR098835580=
2014-05-02,99.25,99.75,CR098835580=
2014-05-05,100.38,100.75,CR098835580=
2014-05-06,99.25,99.75,CR098835580=
2014-05-07,99.25,99.75,CR098835580=
2014-05-08,100.5,100.63,CR098835580=
2014-05-09,100.5,101.13,CR098835580=
2014-05-12,100.5,100.75,CR098835580=
2014-05-13,101.13,101.25,CR098835580=
2014-05-14,101.13,101.38,CR098835580=
2014-05-15,101.5,101.75,CR098835580=
2014-05-16,101.75,102.13,CR098835580=
2014-05-19,101.75,102.25,CR098835580=
2014-05-20,101.75,102.38,CR098835580=
2014-05-21,101.63,102.25,CR098835580=
2014-05-22,102.0,102.38,CR098835580=
2014-05-23,102.0,102.25,CR098835580=
2014-05-26,102.0,102.25,CR098835580=
2014-05-27,101.75,102.25,CR098835580=
2014-05-28,102.0,102.5,CR098835580=
2014-05-29,102.3,102.9,CR098835580=
2014-05-30,102.3,102.9,CR098835580=
2014-06-02,102.6,103.2,CR098835580=
2014-06-03,102.6,103.2,CR098835580=
2014-06-04,102.35,103.15,CR098835580=
2014-06-05,102.35,103.15,CR098835580=
2014-06-06,102.6,103.2,CR098835580=
2014-06-09,102.8,103.95,CR098835580=
2014-06-10,102.8,103.95,CR098835580=
2014-06-11,102.8,103.95,CR098835580=
2014-06-12,102.8,103.4,CR098835580=
2014-06-13,102.8,103.4,CR098835580=
2014-06-16,102.8,103.4,CR098835580=
2014-06-17,102.6,103.2,CR098835580=
2014-06-18,102.3,103.2,CR098835580=
2014-06-19,102.35,103.28,CR098835580=
2014-06-20,102.35,103.28,CR098835580=
2014-06-23,102.3,103.2,CR098835580=
2014-06-24,102.3,103.2,CR098835580=
2014-06-25,102.6,103.53,CR098835580=
2014-06-26,102.6,103.53,CR098835580=
2014-06-27,102.3,103.2,CR098835580=
2014-06-30,102.3,103.2,CR098835580=
2014-07-01,102.6,103.45,CR098835580=
2014-07-02,102.6,103.45,CR098835580=
2014-07-03,102.6,103.45,CR098835580=
2014-07-04,102.459,103.93,CR098835580=
2014-07-07,102.427,103.909,CR098835580=
2014-07-08,103.48,104.03,CR098835580=
2014-07-09,103.48,104.15,CR098835580=
2014-07-10,103.48,104.03,CR098835580=
2014-07-11,103.48,104.03,CR098835580=
2014-07-14,103.5,104.5,CR098835580=
2014-07-15,103.5,104.5,CR098835580=
2014-07-16,103.1,104.03,CR098835580=
2014-07-17,103.35,104.03,CR098835580=
2014-07-18,103.23,103.9,CR098835580=
2014-07-21,103.5,104.5,CR098835580=
2014-07-22,103.5,104.5,CR098835580=
2014-07-23,102.85,103.78,CR098835580=
2014-07-24,103.5,104.5,CR098835580=
2014-07-25,103.5,104.5,CR098835580=
2014-07-28,103.5,104.5,CR098835580=
2014-07-29,103.5,104.5,CR098835580=
2014-07-30,103.5,104.5,CR098835580=
2014-07-31,103.5,104.5,CR098835580=
2014-08-01,103.813,104.813,CR098835580=
2014-08-04,102.73,103.65,CR098835580=
2014-08-05,103.5,104.5,CR098835580=
2014-08-06,103.5,104.5,CR098835580=
2014-08-07,103.724,104.724,CR098835580=
2014-08-08,103.395,104.395,CR098835580=
2014-08-11,101.75,102.75,CR098835580=
2014-08-12,101.73,102.9,CR098835580=
2014-08-13,101.75,102.75,CR098835580=
2014-08-14,101.75,102.75,CR098835580=
2014-08-15,101.75,102.75,CR098835580=
2014-08-18,102.48,103.4,CR098835580=
2014-08-19,101.556,102.556,CR098835580=
2014-08-20,101.75,102.75,CR098835580=
2014-08-21,102.73,103.53,CR098835580=
2014-08-22,102.85,103.9,CR098835580=
2014-08-25,102.85,103.9,CR098835580=
2014-08-26,102.85,103.9,CR098835580=
2014-08-27,101.766,102.766,CR098835580=
2014-08-28,102.98,104.03,CR098835580=
2014-08-29,102.0,103.0,CR098835580=
2014-09-01,102.0,103.0,CR098835580=
2014-09-02,101.749,102.749,CR098835580=
2014-09-03,101.636,102.636,CR098835580=
2014-09-04,102.291,103.291,CR098835580=
2014-09-05,102.352,103.352,CR098835580=
2014-09-08,102.25,103.25,CR098835580=
2014-09-09,102.234,103.234,CR098835580=
2014-09-10,102.102,103.102,CR098835580=
2014-09-11,101.982,102.982,CR098835580=
2014-09-12,101.928,102.928,CR098835580=
2014-09-15,101.996,102.996,CR098835580=
2014-09-16,101.918,102.918,CR098835580=
2014-09-17,100.655,101.655,CR098835580=
2014-09-18,101.073,102.073,CR098835580=
2014-09-19,101.398,102.398,CR098835580=
2014-09-22,101.3,102.3,CR098835580=
2014-09-23,101.422,102.422,CR098835580=
2014-09-24,101.079,102.079,CR098835580=
2014-09-25,101.378,102.378,CR098835580=
2014-09-26,100.749,101.749,CR098835580=
2014-09-29,101.29,102.29,CR098835580=
2014-09-30,101.246,102.246,CR098835580=
2014-10-01,101.381,102.381,CR098835580=
2014-10-02,100.105,101.105,CR098835580=
2014-10-03,100.772,101.772,CR098835580=
2014-10-06,100.889,101.889,CR098835580=
2014-10-07,101.245,102.245,CR098835580=
2014-10-08,100.974,101.974,CR098835580=
2014-10-09,100.626,101.626,CR098835580=
2014-10-10,101.45,102.45,CR098835580=
2014-10-13,101.324,102.324,CR098835580=
2014-10-14,101.034,102.034,CR098835580=
2014-10-15,101.572,102.572,CR098835580=
2014-10-16,101.323,102.323,CR098835580=
2014-10-17,101.201,102.201,CR098835580=
2014-10-20,101.305,102.305,CR098835580=
2014-10-21,101.011,102.011,CR098835580=
2014-10-22,101.003,102.003,CR098835580=
2014-10-23,101.012,102.012,CR098835580=
2014-10-24,101.136,102.136,CR098835580=
2014-10-27,101.588,102.588,CR098835580=
2014-10-28,101.355,102.355,CR098835580=
2014-10-29,101.503,102.503,CR098835580=
2014-10-30,101.44,102.44,CR098835580=
2014-10-31,101.267,102.267,CR098835580=
2014-11-03,101.674,102.674,CR098835580=
2014-11-04,101.404,102.404,CR098835580=
2014-11-05,101.326,102.326,CR098835580=
2014-11-06,101.215,102.215,CR098835580=
2014-11-07,101.567,102.567,CR098835580=
2014-11-10,100.952,101.952,CR098835580=
2014-11-11,101.438,102.438,CR098835580=
2014-11-12,101.205,102.205,CR098835580=
2014-11-13,101.695,102.695,CR098835580=
2014-11-14,101.708,102.708,CR098835580=
2014-11-17,101.5,102.5,CR098835580=
2014-11-18,101.107,102.107,CR098835580=
2014-11-19,100.825,101.825,CR098835580=
2014-11-20,100.893,101.893,CR098835580=
2014-11-21,101.07,102.07,CR098835580=
2014-11-24,101.111,102.111,CR098835580=
2014-11-25,100.747,101.747,CR098835580=
2014-11-26,100.835,101.835,CR098835580=
2014-11-27,100.85,101.9,CR098835580=
2014-11-28,100.85,101.9,CR098835580=
2014-12-01,100.223,101.223,CR098835580=
2014-12-02,100.02,101.02,CR098835580=
2014-12-03,100.588,101.588,CR098835580=
2014-12-04,101.106,102.106,CR098835580=
2014-12-05,100.418,101.418,CR098835580=
2014-12-08,100.485,101.485,CR098835580=
2014-12-09,100.093,101.093,CR098835580=
2014-12-10,100.376,101.376,CR098835580=
2014-12-11,100.403,101.403,CR098835580=
2014-12-12,100.987,101.987,CR098835580=
2014-12-15,100.769,101.769,CR098835580=
2014-12-16,99.782,100.782,CR098835580=
2014-12-17,99.32,100.32,CR098835580=
2014-12-18,98.802,99.802,CR098835580=
2014-12-19,99.655,100.655,CR098835580=
2014-12-22,99.601,100.601,CR098835580=
2014-12-23,98.803,99.803,CR098835580=
2014-12-24,99.477,100.477,CR098835580=
2014-12-25,99.477,100.477,CR098835580=
2014-12-26,99.47,100.47,CR098835580=
2014-12-29,99.628,100.628,CR098835580=
2014-12-30,99.708,100.708,CR098835580=
2014-12-31,99.855,100.855,CR098835580=
2015-01-01,99.855,100.855,CR098835580=
2015-01-02,99.494,100.494,CR098835580=
2015-01-05,100.156,101.156,CR098835580=
2015-01-06,98.825,99.825,CR098835580=
2015-01-07,99.05,100.05,CR098835580=
2015-01-08,98.74,99.74,CR098835580=
2015-01-09,99.189,100.189,CR098835580=
2015-01-12,99.19,100.19,CR098835580=
2015-01-13,99.355,100.355,CR098835580=
2015-01-14,99.025,100.025,CR098835580=
2015-01-15,99.935,100.935,CR098835580=
2015-01-16,99.383,100.383,CR098835580=
2015-01-19,99.53,100.54,CR098835580=
2015-01-20,99.655,100.655,CR098835580=
2015-01-21,99.357,100.357,CR098835580=
2015-01-22,99.377,100.377,CR098835580=
2015-01-23,99.928,100.928,CR098835580=
2015-01-26,99.735,100.735,CR098835580=
2015-01-27,99.675,100.675,CR098835580=
2015-01-28,100.262,101.262,CR098835580=
2015-01-29,99.749,100.749,CR098835580=
2015-01-30,99.729,100.729,CR098835580=
2015-02-02,99.167,100.167,CR098835580=
2015-02-03,98.877,99.877,CR098835580=
2015-02-04,99.809,100.809,CR098835580=
2015-02-05,99.214,100.214,CR098835580=
2015-02-06,99.28,100.28,CR098835580=
2015-02-09,98.945,99.945,CR098835580=
2015-02-10,99.432,100.432,CR098835580=
2015-02-11,99.452,100.452,CR098835580=
2015-02-12,99.604,100.604,CR098835580=
2015-02-13,99.347,100.347,CR098835580=
2015-02-16,99.7,100.74,CR098835580=
2015-02-17,98.718,99.718,CR098835580=
2015-02-18,99.889,100.889,CR098835580=
2015-02-19,98.988,99.988,CR098835580=
2015-02-20,99.757,100.757,CR098835580=
2015-02-23,100.181,101.181,CR098835580=
2015-02-24,100.841,101.841,CR098835580=
2015-02-25,100.175,101.175,CR098835580=
2015-02-26,99.719,100.719,CR098835580=
2015-02-27,99.95,100.95,CR098835580=
2015-03-02,100.129,101.129,CR098835580=
2015-03-03,100.241,101.241,CR098835580=
2015-03-04,100.46,101.46,CR098835580=
2015-03-05,100.474,101.474,CR098835580=
2015-03-06,100.407,101.407,CR098835580=
2015-03-09,100.566,101.566,CR098835580=
2015-03-10,100.58,101.58,CR098835580=
2015-03-11,100.659,101.659,CR098835580=
2015-03-12,100.321,101.321,CR098835580=
2015-03-13,100.407,101.407,CR098835580=
2015-03-16,100.5,101.5,CR098835580=
2015-03-17,100.58,101.58,CR098835580=
2015-03-18,101.198,102.198,CR098835580=
2015-03-19,100.785,101.785,CR098835580=
2015-03-20,100.971,101.971,CR098835580=
2015-03-23,101.593,102.593,CR098835580=
2015-03-24,101.499,102.499,CR098835580=
2015-03-25,100.938,101.938,CR098835580=
2015-03-26,101.35,102.65,CR098835580=
2015-03-27,101.311,102.311,CR098835580=
2015-03-30,101.431,102.431,CR098835580=
2015-03-31,101.737,102.737,CR098835580=
2015-04-01,101.791,102.791,CR098835580=
2015-04-02,101.623,102.623,CR098835580=
2015-04-03,102.119,103.119,CR098835580=
2015-04-06,101.79,102.79,CR098835580=
2015-04-07,101.35,102.65,CR098835580=
2015-04-08,101.769,102.769,CR098835580=
2015-04-09,101.696,102.696,CR098835580=
2015-04-10,102.461,103.461,CR098835580=
2015-04-13,102.859,103.859,CR098835580=
2015-04-14,103.062,104.062,CR098835580=
2015-04-15,102.715,103.715,CR098835580=
2015-04-16,102.89,103.89,CR098835580=
2015-04-17,103.093,104.093,CR098835580=
