Date,BID,ASK,RIC
2021-02-08,99.815,99.964,DE229832166=
2021-02-09,99.83,99.979,DE229832166=
2021-02-10,99.874,100.023,DE229832166=
2021-02-11,99.866,100.014,DE229832166=
2021-02-12,99.798,99.946,DE229832166=
2021-02-15,99.766,99.854,DE229832166=
2021-02-16,99.771,99.859,DE229832166=
2021-02-17,99.795,99.883,DE229832166=
2021-02-18,99.81,99.898,DE229832166=
2021-02-19,99.817,99.905,DE229832166=
2021-02-22,99.74,99.828,DE229832166=
2021-02-23,99.743,99.831,DE229832166=
2021-02-24,99.741,99.829,DE229832166=
2021-02-25,99.517,99.604,DE229832166=
2021-02-26,99.608,99.695,DE229832166=
2021-03-01,99.672,99.759,DE229832166=
2021-03-02,99.673,99.76,DE229832166=
2021-03-03,99.6,99.687,DE229832166=
2021-03-04,99.497,99.583,DE229832166=
2021-03-05,99.48,99.566,DE229832166=
2021-03-08,99.414,99.5,DE229832166=
2021-03-09,99.484,99.57,DE229832166=
2021-03-10,99.519,99.605,DE229832166=
2021-03-11,99.495,99.581,DE229832166=
2021-03-12,99.455,99.541,DE229832166=
2021-03-15,99.433,99.519,DE229832166=
2021-03-16,99.485,99.571,DE229832166=
2021-03-17,99.554,99.64,DE229832166=
2021-03-18,99.524,99.609,DE229832166=
2021-03-19,99.416,99.501,DE229832166=
2021-03-22,99.51,99.595,DE229832166=
2021-03-23,99.528,99.613,DE229832166=
2021-03-24,99.557,99.642,DE229832166=
2021-03-25,99.615,99.7,DE229832166=
2021-03-26,99.522,99.607,DE229832166=
2021-03-29,99.518,99.603,DE229832166=
2021-03-30,99.525,99.61,DE229832166=
2021-03-31,99.44,99.524,DE229832166=
2021-04-01,99.441,99.525,DE229832166=
2021-04-02,99.348,99.432,DE229832166=
2021-04-05,99.407,99.491,DE229832166=
2021-04-06,99.475,99.559,DE229832166=
2021-04-07,99.456,99.54,DE229832166=
2021-04-08,99.522,99.606,DE229832166=
2021-04-09,99.477,99.56,DE229832166=
2021-04-12,99.405,99.488,DE229832166=
2021-04-13,99.464,99.547,DE229832166=
2021-04-14,99.476,99.559,DE229832166=
2021-04-15,99.522,99.605,DE229832166=
2021-04-16,99.509,99.592,DE229832166=
2021-04-19,99.523,99.606,DE229832166=
2021-04-20,99.637,99.72,DE229832166=
2021-04-21,99.582,99.665,DE229832166=
2021-04-22,99.606,99.689,DE229832166=
2021-04-23,99.542,99.624,DE229832166=
2021-04-26,99.499,99.581,DE229832166=
2021-04-27,99.45,99.532,DE229832166=
2021-04-28,99.544,99.626,DE229832166=
2021-04-29,99.509,99.591,DE229832166=
2021-04-30,99.526,99.608,DE229832166=
2021-05-03,99.554,99.636,DE229832166=
2021-05-04,99.59,99.672,DE229832166=
2021-05-05,99.593,99.675,DE229832166=
2021-05-06,99.586,99.667,DE229832166=
2021-05-07,99.666,99.747,DE229832166=
2021-05-10,99.625,99.706,DE229832166=
2021-05-11,99.582,99.663,DE229832166=
2021-05-12,99.55,99.631,DE229832166=
2021-05-13,99.603,99.684,DE229832166=
2021-05-14,99.595,99.676,DE229832166=
