Date,BID,ASK,RIC
2023-05-02,99.783,99.923,DE261890542=
2023-05-03,99.89,100.06,DE261890542=
2023-05-04,100.31,100.48,DE261890542=
2023-05-05,99.989,100.1,DE261890542=
2023-05-08,99.853,99.99,DE261890542=
2023-05-09,99.791,99.865,DE261890542=
2023-05-10,99.97,100.103,DE261890542=
2023-05-11,100.135,100.187,DE261890542=
2023-05-12,99.977,100.029,DE261890542=
2023-05-15,99.943,99.995,DE261890542=
2023-05-16,99.813,99.865,DE261890542=
2023-05-17,99.681,99.733,DE261890542=
2023-05-18,99.508,99.559,DE261890542=
2023-05-19,99.476,99.527,DE261890542=
2023-05-22,99.337,99.388,DE261890542=
2023-05-23,99.338,99.389,DE261890542=
2023-05-24,99.239,99.29,DE261890542=
2023-05-25,98.968,99.018,DE261890542=
2023-05-26,99.039,99.089,DE261890542=
2023-05-29,98.961,99.011,DE261890542=
2023-05-30,99.223,99.274,DE261890542=
2023-05-31,99.311,99.362,DE261890542=
2023-06-01,99.307,99.357,DE261890542=
2023-06-02,99.022,99.072,DE261890542=
2023-06-05,99.094,99.144,DE261890542=
2023-06-06,99.05,99.1,DE261890542=
2023-06-07,98.959,99.009,DE261890542=
2023-06-08,99.018,99.068,DE261890542=
2023-06-09,98.891,98.94,DE261890542=
2023-06-12,98.994,99.043,DE261890542=
2023-06-13,98.843,98.892,DE261890542=
2023-06-14,98.816,98.865,DE261890542=
2023-06-15,98.893,98.942,DE261890542=
2023-06-16,98.78,98.829,DE261890542=
2023-06-19,98.718,98.767,DE261890542=
2023-06-20,98.84,98.889,DE261890542=
2023-06-21,98.786,98.835,DE261890542=
2023-06-22,98.674,98.722,DE261890542=
2023-06-23,98.742,98.79,DE261890542=
2023-06-26,98.754,98.802,DE261890542=
2023-06-27,98.723,98.771,DE261890542=
2023-06-28,98.809,98.857,DE261890542=
2023-06-29,98.571,98.619,DE261890542=
2023-06-30,98.508,98.556,DE261890542=
2023-07-03,98.455,98.502,DE261890542=
2023-07-04,98.505,98.552,DE261890542=
2023-07-05,98.445,98.492,DE261890542=
2023-07-06,98.386,98.433,DE261890542=
2023-07-07,98.45,98.497,DE261890542=
2023-07-10,98.588,98.635,DE261890542=
2023-07-11,98.553,98.6,DE261890542=
2023-07-12,98.775,98.822,DE261890542=
2023-07-13,98.963,99.01,DE261890542=
2023-07-14,98.751,98.798,DE261890542=
2023-07-17,98.793,98.84,DE261890542=
2023-07-18,98.76,98.807,DE261890542=
2023-07-19,98.756,98.802,DE261890542=
2023-07-20,98.642,98.688,DE261890542=
2023-07-21,98.642,98.688,DE261890542=
