Date,BID,ASK,RIC
2021-10-28,100.45,101.309,ES240391317=
2021-10-29,100.749,101.611,ES240391317=
2021-11-01,100.595,101.455,ES240391317=
2021-11-02,100.715,101.575,ES240391317=
2021-11-03,100.236,101.092,ES240391317=
2021-11-04,100.859,101.721,ES240391317=
2021-11-05,100.37,100.62,ES240391317=
2021-11-08,101.176,102.04,ES240391317=
2021-11-09,100.53,100.61,ES240391317=
2021-11-10,100.533,100.96,ES240391317=
2021-11-11,100.298,100.724,ES240391317=
2021-11-12,100.516,100.943,ES240391317=
2021-11-15,100.091,100.516,ES240391317=
2021-11-16,99.921,100.345,ES240391317=
2021-11-17,100.388,100.814,ES240391317=
2021-11-18,101.184,101.614,ES240391317=
2021-11-19,100.93,101.38,ES240391317=
2021-11-22,100.765,101.192,ES240391317=
2021-11-23,100.407,100.832,ES240391317=
2021-11-24,100.704,101.131,ES240391317=
2021-11-25,100.94,101.17,ES240391317=
2021-11-29,100.86,101.38,ES240391317=
2021-11-30,100.63,101.17,ES240391317=
2021-12-01,100.66,101.22,ES240391317=
2021-12-02,101.03,101.14,ES240391317=
2021-12-03,100.91,101.26,ES240391317=
2021-12-06,100.76,101.21,ES240391317=
2021-12-07,102.045,102.478,ES240391317=
2021-12-08,101.623,102.053,ES240391317=
2021-12-09,100.99,101.54,ES240391317=
2021-12-10,101.08,101.62,ES240391317=
2021-12-13,101.11,101.62,ES240391317=
2021-12-14,101.7,102.31,ES240391317=
2021-12-15,102.248,102.68,ES240391317=
2021-12-16,102.479,102.912,ES240391317=
2021-12-17,101.93,102.16,ES240391317=
2021-12-20,101.7,102.01,ES240391317=
2021-12-21,102.201,102.633,ES240391317=
2021-12-22,102.302,102.734,ES240391317=
2021-12-23,101.95,102.38,ES240391317=
2021-12-24,101.961,102.391,ES240391317=
2021-12-27,101.932,102.362,ES240391317=
2021-12-28,102.034,102.464,ES240391317=
2021-12-29,101.401,101.827,ES240391317=
2021-12-30,101.836,102.264,ES240391317=
2021-12-31,101.776,102.204,ES240391317=
2022-01-03,101.902,102.331,ES240391317=
2022-01-04,101.71,102.137,ES240391317=
2022-01-05,101.335,101.761,ES240391317=
2022-01-06,101.113,101.538,ES240391317=
2022-01-07,100.783,101.206,ES240391317=
2022-01-10,100.42,101.196,ES240391317=
2022-01-11,100.96,101.384,ES240391317=
2022-01-12,100.926,101.349,ES240391317=
2022-01-13,101.162,101.586,ES240391317=
2022-01-14,100.074,100.493,ES240391317=
2022-01-17,99.867,100.284,ES240391317=
2022-01-18,99.821,100.569,ES240391317=
2022-01-19,99.017,99.43,ES240391317=
2022-01-20,99.339,99.754,ES240391317=
2022-01-21,99.671,100.087,ES240391317=
2022-01-24,98.565,98.975,ES240391317=
2022-01-25,98.565,98.976,ES240391317=
2022-01-26,98.051,98.459,ES240391317=
2022-01-27,98.337,98.746,ES240391317=
2022-01-28,98.558,98.968,ES240391317=
2022-01-31,98.501,98.911,ES240391317=
2022-02-01,99.176,99.589,ES240391317=
2022-02-02,99.341,99.754,ES240391317=
2022-02-03,98.824,99.234,ES240391317=
2022-02-04,98.155,98.562,ES240391317=
2022-02-07,98.131,98.538,ES240391317=
2022-02-08,98.716,99.126,ES240391317=
2022-02-09,98.609,99.018,ES240391317=
2022-02-10,98.008,98.414,ES240391317=
2022-02-11,99.437,99.849,ES240391317=
2022-02-14,98.339,98.747,ES240391317=
2022-02-15,97.958,98.562,ES240391317=
2022-02-16,97.298,97.7,ES240391317=
2022-02-17,97.872,98.276,ES240391317=
2022-02-18,98.196,98.602,ES240391317=
2022-02-21,98.352,98.758,ES240391317=
2022-02-22,98.04,98.446,ES240391317=
2022-02-23,97.581,97.984,ES240391317=
2022-02-24,96.698,97.096,ES240391317=
2022-02-25,96.697,97.095,ES240391317=
2022-02-28,97.881,98.285,ES240391317=
2022-03-01,97.254,97.928,ES240391317=
2022-03-02,97.417,97.818,ES240391317=
2022-03-03,97.739,98.142,ES240391317=
2022-03-04,96.916,97.397,ES240391317=
2022-03-07,98.264,98.669,ES240391317=
2022-03-08,96.69,97.087,ES240391317=
2022-03-09,95.831,96.225,ES240391317=
2022-03-10,95.467,95.858,ES240391317=
2022-03-11,95.453,95.844,ES240391317=
2022-03-14,96.413,96.808,ES240391317=
2022-03-15,96.358,96.753,ES240391317=
2022-03-16,96.021,96.415,ES240391317=
2022-03-17,96.221,96.615,ES240391317=
2022-03-18,96.332,96.726,ES240391317=
2022-03-21,95.207,95.596,ES240391317=
2022-03-22,94.559,94.945,ES240391317=
2022-03-23,95.264,95.653,ES240391317=
2022-03-24,94.649,95.035,ES240391317=
2022-03-25,93.748,94.129,ES240391317=
2022-03-28,93.917,94.299,ES240391317=
2022-03-29,94.428,94.813,ES240391317=
2022-03-30,94.746,95.132,ES240391317=
2022-03-31,94.85,95.236,ES240391317=
2022-04-01,94.505,94.89,ES240391317=
2022-04-04,94.484,94.868,ES240391317=
