Date,BID,ASK,RIC
2023-05-04,99.65,,FR239531849=
2023-05-05,99.95,,FR239531849=
2023-05-09,99.35,,FR239531849=
2023-05-10,99.28,,FR239531849=
2023-05-11,99.46,,FR239531849=
2023-05-12,99.72,,FR239531849=
2023-05-15,99.46,,FR239531849=
2023-05-16,99.37,,FR239531849=
2023-05-17,99.14,,FR239531849=
2023-05-18,99.01,,FR239531849=
2023-05-19,98.63,,FR239531849=
2023-05-22,98.18,,FR239531849=
2023-05-23,98.19,,FR239531849=
2023-05-24,98.06,,FR239531849=
2023-05-25,94.445,95.147,FR239531849=
2023-06-01,95.324,96.033,FR239531849=
2023-06-06,94.877,95.582,FR239531849=
2023-06-12,94.568,95.269,FR239531849=
2023-06-13,94.76,95.463,FR239531849=
2023-06-14,94.083,94.779,FR239531849=
2023-06-15,94.527,95.227,FR239531849=
2023-06-16,94.197,94.893,FR239531849=
2023-06-19,93.898,94.592,FR239531849=
2023-06-20,94.491,95.19,FR239531849=
2023-06-21,94.372,95.07,FR239531849=
2023-06-22,93.984,94.678,FR239531849=
2023-06-23,94.293,94.99,FR239531849=
2023-06-26,94.369,95.066,FR239531849=
2023-06-27,94.067,94.761,FR239531849=
2023-06-28,94.389,95.086,FR239531849=
2023-06-29,93.653,94.343,FR239531849=
2023-06-30,93.608,94.297,FR239531849=
2023-07-03,93.474,94.162,FR239531849=
2023-07-04,93.495,94.183,FR239531849=
2023-07-05,93.08,93.764,FR239531849=
2023-07-06,92.535,93.213,FR239531849=
2023-07-07,92.371,93.047,FR239531849=
2023-07-10,92.815,93.495,FR239531849=
2023-07-11,92.924,93.605,FR239531849=
2023-07-12,93.654,94.342,FR239531849=
2023-07-13,94.258,94.951,FR239531849=
2023-07-14,93.843,94.532,FR239531849=
2023-07-17,93.896,94.586,FR239531849=
2023-07-18,94.05,94.741,FR239531849=
2023-07-19,94.231,94.924,FR239531849=
2023-07-20,93.626,94.312,FR239531849=
2023-07-21,93.733,94.42,FR239531849=
