Date,BID,ASK,RIC
2015-04-16,99.618,100.041,GB121997177=
2015-04-17,99.365,99.787,GB121997177=
2015-04-20,99.171,99.592,GB121997177=
2015-04-21,98.986,99.406,GB121997177=
2015-04-22,98.368,98.785,GB121997177=
2015-04-23,98.536,98.953,GB121997177=
2015-04-24,98.703,99.121,GB121997177=
2015-04-27,98.603,99.021,GB121997177=
2015-04-28,97.798,98.211,GB121997177=
2015-04-29,97.364,97.775,GB121997177=
2015-04-30,97.209,97.619,GB121997177=
2015-05-01,96.58,96.987,GB121997177=
2015-05-04,96.305,96.711,GB121997177=
2015-05-05,96.015,96.419,GB121997177=
2015-05-06,95.854,96.257,GB121997177=
2015-05-07,96.455,96.861,GB121997177=
2015-05-08,96.748,97.155,GB121997177=
2015-05-11,95.594,95.995,GB121997177=
2015-05-12,95.9,96.061,GB121997177=
2015-05-13,95.524,95.684,GB121997177=
2015-05-14,96.008,96.169,GB121997177=
2015-05-15,96.704,96.866,GB121997177=
2015-05-18,96.413,96.574,GB121997177=
2015-05-19,95.962,96.122,GB121997177=
2015-05-20,96.229,96.39,GB121997177=
2015-05-21,96.733,96.895,GB121997177=
2015-05-22,96.26,97.03,GB121997177=
2015-05-25,96.58,96.741,GB121997177=
2015-05-26,97.165,97.328,GB121997177=
2015-05-27,97.264,97.427,GB121997177=
2015-05-28,97.224,97.387,GB121997177=
2015-05-29,97.568,97.731,GB121997177=
2015-06-01,96.743,97.219,GB121997177=
2015-06-02,95.367,95.526,GB121997177=
2015-06-03,94.616,94.773,GB121997177=
2015-06-04,95.03,95.188,GB121997177=
2015-06-05,94.243,94.399,GB121997177=
2015-06-08,94.456,94.614,GB121997177=
2015-06-09,93.988,94.144,GB121997177=
2015-06-10,93.638,93.794,GB121997177=
2015-06-11,94.471,94.628,GB121997177=
2015-06-12,94.401,94.558,GB121997177=
2015-06-15,94.646,94.803,GB121997177=
2015-06-16,94.726,94.883,GB121997177=
2015-06-17,94.641,94.798,GB121997177=
2015-06-18,94.534,94.691,GB121997177=
2015-06-19,95.11,95.268,GB121997177=
2015-06-22,94.224,94.38,GB121997177=
2015-06-23,93.913,94.069,GB121997177=
2015-06-24,94.234,94.391,GB121997177=
2015-06-25,93.934,94.09,GB121997177=
2015-06-26,93.455,93.61,GB121997177=
2015-06-29,94.593,94.749,GB121997177=
2015-06-30,94.43,94.586,GB121997177=
2015-07-01,94.224,94.38,GB121997177=
2015-07-02,94.538,94.694,GB121997177=
2015-07-03,94.878,95.035,GB121997177=
2015-07-06,95.3,95.458,GB121997177=
2015-07-07,95.404,95.562,GB121997177=
2015-07-08,95.864,96.023,GB121997177=
2015-07-09,94.929,95.086,GB121997177=
2015-07-10,94.274,94.429,GB121997177=
2015-07-13,93.926,94.081,GB121997177=
2015-07-14,94.308,94.463,GB121997177=
2015-07-15,94.628,94.785,GB121997177=
2015-07-16,94.57,94.726,GB121997177=
2015-07-17,94.61,94.766,GB121997177=
2015-07-20,94.137,94.292,GB121997177=
2015-07-21,94.519,94.675,GB121997177=
2015-07-22,94.551,94.707,GB121997177=
2015-07-23,95.016,95.172,GB121997177=
2015-07-24,95.048,95.205,GB121997177=
2015-07-27,94.94,95.096,GB121997177=
2015-07-28,94.691,94.847,GB121997177=
2015-07-29,94.854,95.01,GB121997177=
2015-07-30,94.859,95.015,GB121997177=
2015-07-31,95.423,95.58,GB121997177=
2015-08-03,95.715,95.873,GB121997177=
2015-08-04,95.371,95.528,GB121997177=
2015-08-05,94.778,94.934,GB121997177=
2015-08-06,95.117,95.273,GB121997177=
2015-08-07,95.58,95.737,GB121997177=
2015-08-10,95.08,95.237,GB121997177=
2015-08-11,95.779,95.936,GB121997177=
2015-08-12,95.74,95.898,GB121997177=
2015-08-13,95.422,95.579,GB121997177=
2015-08-14,94.86,94.87,GB121997177=
2015-08-17,94.398,94.552,GB121997177=
2015-08-18,94.23,94.384,GB121997177=
2015-08-19,94.726,94.881,GB121997177=
2015-08-20,95.04,95.195,GB121997177=
2015-08-21,94.607,94.761,GB121997177=
2015-08-24,94.864,95.019,GB121997177=
2015-08-25,94.248,94.402,GB121997177=
2015-08-26,93.582,93.734,GB121997177=
2015-08-27,93.714,93.866,GB121997177=
2015-08-28,93.778,93.93,GB121997177=
2015-08-31,93.551,93.703,GB121997177=
2015-09-01,93.965,94.118,GB121997177=
2015-09-02,93.752,93.904,GB121997177=
2015-09-03,93.949,94.102,GB121997177=
2015-09-04,94.195,94.348,GB121997177=
2015-09-07,94.043,94.196,GB121997177=
2015-09-08,93.776,93.928,GB121997177=
2015-09-09,93.709,93.861,GB121997177=
2015-09-10,93.471,93.622,GB121997177=
2015-09-11,93.776,93.928,GB121997177=
2015-09-14,93.808,93.96,GB121997177=
2015-09-15,92.984,93.134,GB121997177=
2015-09-16,92.956,93.106,GB121997177=
2015-09-17,93.748,93.9,GB121997177=
2015-09-18,94.191,94.343,GB121997177=
2015-09-21,93.698,93.85,GB121997177=
2015-09-22,94.209,94.361,GB121997177=
2015-09-23,94.074,94.226,GB121997177=
2015-09-24,92.53,92.54,GB121997177=
2015-09-25,91.33,92.24,GB121997177=
2015-09-28,91.29,91.83,GB121997177=
2015-09-29,90.2,91.18,GB121997177=
2015-09-30,90.912,91.058,GB121997177=
2015-10-01,90.868,91.014,GB121997177=
2015-10-02,91.907,92.055,GB121997177=
2015-10-05,91.209,91.355,GB121997177=
2015-10-06,91.365,91.512,GB121997177=
2015-10-07,92.477,92.626,GB121997177=
2015-10-08,92.209,92.357,GB121997177=
2015-10-09,92.286,92.434,GB121997177=
2015-10-12,92.525,92.674,GB121997177=
