Date,BID,ASK,RIC
2018-09-24,99.699,99.92,IN185679551=
2018-09-25,99.632,99.852,IN185679551=
2018-09-26,99.805,100.026,IN185679551=
2018-09-27,99.743,99.963,IN185679551=
2018-09-28,99.756,99.976,IN185679551=
2018-10-01,99.712,99.932,IN185679551=
2018-10-02,99.95,100.171,IN185679551=
2018-10-03,99.501,99.72,IN185679551=
2018-10-04,99.668,99.887,IN185679551=
2018-10-05,99.466,99.685,IN185679551=
2018-10-08,99.315,99.533,IN185679551=
2018-10-09,99.313,99.531,IN185679551=
2018-10-10,99.51,99.729,IN185679551=
2018-10-11,99.423,99.641,IN185679551=
2018-10-12,99.376,99.594,IN185679551=
2018-10-15,99.55,99.768,IN185679551=
2018-10-16,99.542,99.76,IN185679551=
2018-10-17,99.381,99.599,IN185679551=
2018-10-18,99.538,99.756,IN185679551=
2018-10-19,99.255,99.472,IN185679551=
2018-10-22,99.386,99.603,IN185679551=
2018-10-23,99.586,99.803,IN185679551=
2018-10-24,99.743,99.961,IN185679551=
2018-10-25,99.743,99.96,IN185679551=
2018-10-26,99.957,100.175,IN185679551=
2018-10-29,99.73,99.947,IN185679551=
2018-10-30,99.687,99.904,IN185679551=
2018-10-31,99.518,99.735,IN185679551=
2018-11-01,99.47,99.686,IN185679551=
2018-11-02,99.38,99.596,IN185679551=
2018-11-05,99.449,99.665,IN185679551=
2018-11-06,99.221,99.436,IN185679551=
2018-11-07,99.105,99.32,IN185679551=
2018-11-08,99.205,99.42,IN185679551=
2018-11-09,99.39,99.605,IN185679551=
2018-11-12,99.573,99.788,IN185679551=
2018-11-13,99.623,99.838,IN185679551=
2018-11-14,99.744,99.96,IN185679551=
2018-11-15,99.736,99.951,IN185679551=
2018-11-16,99.986,100.202,IN185679551=
2018-11-19,99.994,100.21,IN185679551=
2018-11-20,99.917,100.132,IN185679551=
2018-11-21,99.891,100.106,IN185679551=
2018-11-22,99.9,100.115,IN185679551=
2018-11-23,99.929,100.144,IN185679551=
2018-11-26,99.874,100.089,IN185679551=
2018-11-27,99.865,100.079,IN185679551=
2018-11-28,99.951,100.166,IN185679551=
2018-11-29,100.037,100.251,IN185679551=
2018-11-30,100.204,100.419,IN185679551=
2018-12-03,100.195,100.41,IN185679551=
2018-12-04,100.328,100.543,IN185679551=
2018-12-05,100.377,100.592,IN185679551=
2018-12-06,100.667,100.882,IN185679551=
2018-12-07,100.9,101.116,IN185679551=
2018-12-10,100.353,100.567,IN185679551=
2018-12-11,100.237,100.451,IN185679551=
2018-12-12,100.16,100.374,IN185679551=
2018-12-13,100.266,100.479,IN185679551=
2018-12-14,100.373,100.587,IN185679551=
2018-12-17,100.54,100.754,IN185679551=
2018-12-18,100.728,100.942,IN185679551=
2018-12-19,100.843,101.057,IN185679551=
2018-12-20,100.671,100.885,IN185679551=
2018-12-21,100.824,101.038,IN185679551=
2018-12-24,101.089,101.303,IN185679551=
2018-12-25,101.047,101.261,IN185679551=
2018-12-26,100.524,100.737,IN185679551=
2018-12-27,100.75,100.963,IN185679551=
2018-12-28,100.992,101.206,IN185679551=
2018-12-31,101.193,101.407,IN185679551=
2019-01-01,101.179,101.393,IN185679551=
2019-01-02,101.278,101.492,IN185679551=
2019-01-03,101.812,102.027,IN185679551=
2019-01-04,101.185,101.398,IN185679551=
2019-01-07,101.006,101.219,IN185679551=
2019-01-08,100.814,101.026,IN185679551=
2019-01-09,100.954,101.166,IN185679551=
2019-01-10,100.969,101.181,IN185679551=
2019-01-11,101.16,101.373,IN185679551=
2019-01-14,101.159,101.371,IN185679551=
2019-01-15,101.337,101.55,IN185679551=
2019-01-16,101.294,101.507,IN185679551=
2019-01-17,100.936,101.147,IN185679551=
2019-01-18,100.602,100.812,IN185679551=
2019-01-21,100.688,100.898,IN185679551=
2019-01-22,100.804,101.015,IN185679551=
2019-01-23,100.943,101.154,IN185679551=
2019-01-24,101.093,101.304,IN185679551=
2019-01-25,100.974,101.184,IN185679551=
2019-01-28,101.075,101.286,IN185679551=
2019-01-29,101.223,101.434,IN185679551=
2019-01-30,101.336,101.547,IN185679551=
2019-01-31,101.575,101.786,IN185679551=
2019-02-01,101.448,101.659,IN185679551=
2019-02-04,101.303,101.513,IN185679551=
2019-02-05,101.395,101.606,IN185679551=
2019-02-06,101.424,101.635,IN185679551=
2019-02-07,101.899,102.11,IN185679551=
2019-02-08,101.987,102.198,IN185679551=
2019-02-11,101.876,102.087,IN185679551=
2019-02-12,101.786,101.997,IN185679551=
2019-02-13,101.634,101.844,IN185679551=
2019-02-14,101.942,102.153,IN185679551=
2019-02-15,101.941,102.151,IN185679551=
2019-02-18,101.912,102.122,IN185679551=
2019-02-19,102.083,102.294,IN185679551=
2019-02-20,102.074,102.285,IN185679551=
2019-02-21,101.894,102.104,IN185679551=
2019-02-22,102.069,102.279,IN185679551=
2019-02-25,101.942,102.152,IN185679551=
2019-02-26,101.954,102.164,IN185679551=
2019-02-27,101.8,102.009,IN185679551=
2019-02-28,101.66,101.868,IN185679551=
2019-03-01,101.476,101.684,IN185679551=
2019-03-04,101.608,101.816,IN185679551=
2019-03-05,102.024,102.233,IN185679551=
2019-03-06,102.157,102.366,IN185679551=
2019-03-07,102.375,102.584,IN185679551=
2019-03-08,102.541,102.75,IN185679551=
2019-03-11,102.456,102.665,IN185679551=
2019-03-12,102.61,102.819,IN185679551=
2019-03-13,102.663,102.872,IN185679551=
2019-03-14,102.5,102.709,IN185679551=
2019-03-15,102.603,102.812,IN185679551=
2019-03-18,102.652,102.861,IN185679551=
2019-03-19,102.592,102.8,IN185679551=
2019-03-20,103.021,103.23,IN185679551=
2019-03-21,102.946,103.155,IN185679551=
2019-03-22,103.249,103.458,IN185679551=
2019-03-25,103.478,103.688,IN185679551=
2019-03-26,103.338,103.547,IN185679551=
2019-03-27,103.496,103.706,IN185679551=
2019-03-28,103.324,103.533,IN185679551=
2019-03-29,103.217,103.426,IN185679551=
2019-04-01,102.882,103.09,IN185679551=
2019-04-02,103.049,103.257,IN185679551=
2019-04-03,102.852,103.059,IN185679551=
2019-04-04,102.902,103.109,IN185679551=
2019-04-05,102.946,103.153,IN185679551=
2019-04-08,102.866,103.073,IN185679551=
2019-04-09,102.943,103.15,IN185679551=
2019-04-10,102.763,102.969,IN185679551=
2019-04-11,102.568,102.774,IN185679551=
2019-04-12,102.596,102.801,IN185679551=
2019-04-15,102.656,102.862,IN185679551=
2019-04-16,102.482,102.687,IN185679551=
2019-04-17,102.486,102.69,IN185679551=
2019-04-18,102.624,102.829,IN185679551=
2019-04-19,102.63,102.835,IN185679551=
2019-04-22,102.554,102.758,IN185679551=
2019-04-23,102.992,103.197,IN185679551=
2019-04-24,103.093,103.299,IN185679551=
2019-04-25,103.054,103.259,IN185679551=
2019-04-26,103.102,103.307,IN185679551=
2019-04-29,103.045,103.25,IN185679551=
2019-04-30,103.145,103.35,IN185679551=
2019-05-01,103.035,103.24,IN185679551=
2019-05-02,102.858,103.062,IN185679551=
2019-05-03,103.027,103.231,IN185679551=
2019-05-06,103.156,103.36,IN185679551=
2019-05-07,103.318,103.523,IN185679551=
2019-05-08,103.091,103.295,IN185679551=
2019-05-09,103.228,103.432,IN185679551=
2019-05-10,103.333,103.537,IN185679551=
2019-05-13,103.543,103.747,IN185679551=
2019-05-14,103.398,103.602,IN185679551=
2019-05-15,103.506,103.71,IN185679551=
2019-05-16,103.418,103.621,IN185679551=
2019-05-17,103.559,103.763,IN185679551=
2019-05-20,103.447,103.65,IN185679551=
2019-05-21,103.351,103.554,IN185679551=
2019-05-22,103.662,103.866,IN185679551=
2019-05-23,103.918,104.122,IN185679551=
2019-05-24,103.796,103.999,IN185679551=
2019-05-27,103.796,103.999,IN185679551=
2019-05-28,103.979,104.183,IN185679551=
2019-05-29,103.926,104.129,IN185679551=
2019-05-30,104.122,104.326,IN185679551=
2019-05-31,104.516,104.72,IN185679551=
2019-06-03,104.816,105.021,IN185679551=
2019-06-04,104.47,104.674,IN185679551=
2019-06-05,104.528,104.732,IN185679551=
2019-06-06,104.479,104.683,IN185679551=
2019-06-07,104.591,104.795,IN185679551=
2019-06-10,104.36,104.563,IN185679551=
2019-06-11,104.528,104.731,IN185679551=
2019-06-12,104.619,104.822,IN185679551=
2019-06-13,104.724,104.927,IN185679551=
2019-06-14,104.762,104.965,IN185679551=
2019-06-17,104.735,104.938,IN185679551=
2019-06-18,104.858,105.061,IN185679551=
2019-06-19,105.287,105.491,IN185679551=
2019-06-20,105.151,105.354,IN185679551=
2019-06-21,104.657,104.859,IN185679551=
2019-06-24,105.255,105.458,IN185679551=
2019-06-25,105.215,105.418,IN185679551=
