Date,BID,ASK,RIC
2021-09-10,99.8,100.4,IT229483501=
2021-09-13,99.8,100.75,IT229483501=
2021-09-14,99.8,100.75,IT229483501=
2021-09-15,101.01,101.97,IT229483501=
2021-09-16,99.8,100.88,IT229483501=
2021-09-17,100.08,101.49,IT229483501=
2021-09-20,99.51,100.7,IT229483501=
2021-09-21,99.76,100.49,IT229483501=
2021-09-22,99.25,100.4,IT229483501=
2021-09-23,99.5,100.4,IT229483501=
2021-09-24,99.85,100.0,IT229483501=
2021-09-27,99.85,101.2,IT229483501=
2021-09-28,99.85,101.2,IT229483501=
2021-10-04,99.0,100.15,IT229483501=
2021-10-05,99.02,99.77,IT229483501=
2021-10-06,99.27,99.99,IT229483501=
2021-10-12,98.9,99.99,IT229483501=
2021-10-15,99.0,99.79,IT229483501=
2021-10-18,99.0,99.98,IT229483501=
2021-11-30,96.24,97.69,IT229483501=
2021-12-02,96.27,97.4,IT229483501=
2021-12-03,96.24,97.5,IT229483501=
2021-12-06,96.24,97.66,IT229483501=
2021-12-10,94.94,96.0,IT229483501=
2021-12-13,95.36,96.0,IT229483501=
2021-12-14,95.72,97.04,IT229483501=
2021-12-15,95.72,97.0,IT229483501=
2021-12-16,95.59,96.84,IT229483501=
2021-12-17,96.5,97.59,IT229483501=
2021-12-20,96.62,97.2,IT229483501=
2021-12-21,95.89,96.8,IT229483501=
2021-12-22,95.49,96.8,IT229483501=
2021-12-23,96.2,96.92,IT229483501=
2021-12-27,96.26,97.76,IT229483501=
2022-01-18,95.0,96.18,IT229483501=
2022-01-19,95.49,96.2,IT229483501=
2022-01-20,95.44,96.22,IT229483501=
2022-01-24,95.42,96.7,IT229483501=
2022-01-25,95.32,96.69,IT229483501=
2022-01-26,95.32,96.67,IT229483501=
2022-02-01,95.32,96.67,IT229483501=
2022-02-02,95.0,96.48,IT229483501=
2022-02-03,95.0,96.48,IT229483501=
2022-02-04,95.5,96.48,IT229483501=
2022-02-09,95.55,97.0,IT229483501=
2022-02-10,95.52,96.97,IT229483501=
2022-02-14,95.55,96.99,IT229483501=
2022-02-23,95.55,96.5,IT229483501=
2022-02-24,94.8,95.25,IT229483501=
2022-02-25,94.82,95.4,IT229483501=
2022-02-28,94.78,96.0,IT229483501=
2022-03-01,93.89,95.3,IT229483501=
2022-03-02,93.71,95.19,IT229483501=
2022-03-03,93.69,95.19,IT229483501=
2022-03-04,94.22,95.19,IT229483501=
2022-03-07,93.72,95.2,IT229483501=
2022-03-08,93.74,95.2,IT229483501=
2022-03-09,93.7,94.49,IT229483501=
2022-03-10,93.75,93.99,IT229483501=
2022-03-15,90.5,92.0,IT229483501=
2022-03-16,90.5,92.0,IT229483501=
2022-03-17,91.04,92.0,IT229483501=
2022-03-21,91.7,92.69,IT229483501=
2022-03-22,91.7,92.65,IT229483501=
2022-03-23,91.7,91.79,IT229483501=
2022-03-24,90.5,92.0,IT229483501=
2022-03-30,91.1,91.42,IT229483501=
2022-03-31,91.1,91.49,IT229483501=
2022-04-01,91.2,91.6,IT229483501=
2022-04-04,91.2,91.73,IT229483501=
2022-04-28,86.77,87.0,IT229483501=
2022-04-29,86.82,87.0,IT229483501=
2022-05-02,86.66,87.0,IT229483501=
2022-05-03,86.64,87.0,IT229483501=
2022-05-04,86.67,87.99,IT229483501=
2022-06-09,82.11,85.0,IT229483501=
2022-06-10,80.7,85.52,IT229483501=
2022-06-13,80.75,85.66,IT229483501=
2022-06-14,80.64,85.52,IT229483501=
2022-06-15,80.78,83.87,IT229483501=
2022-06-16,80.53,83.94,IT229483501=
2022-06-17,80.26,83.79,IT229483501=
2022-06-20,80.26,83.74,IT229483501=
2022-06-21,80.0,83.69,IT229483501=
2022-06-22,80.0,83.69,IT229483501=
2022-06-23,80.0,83.69,IT229483501=
2022-06-24,80.0,83.69,IT229483501=
2022-06-27,80.0,83.84,IT229483501=
2022-06-28,80.06,83.95,IT229483501=
2022-06-29,80.06,84.3,IT229483501=
2022-06-30,81.01,84.3,IT229483501=
2022-07-01,81.0,84.84,IT229483501=
2022-07-04,81.0,84.84,IT229483501=
2022-07-05,81.0,84.84,IT229483501=
2022-07-06,81.0,84.84,IT229483501=
2022-07-07,81.0,84.84,IT229483501=
2022-07-08,81.0,83.98,IT229483501=
2022-07-11,81.0,83.98,IT229483501=
2022-07-12,79.62,83.98,IT229483501=
2022-07-13,79.27,83.89,IT229483501=
2022-07-14,78.79,83.89,IT229483501=
2022-07-15,78.77,83.89,IT229483501=
2022-07-18,78.7,83.79,IT229483501=
2022-07-19,78.5,83.79,IT229483501=
2022-07-20,78.94,83.69,IT229483501=
2022-07-21,77.92,83.69,IT229483501=
2022-07-22,79.51,83.69,IT229483501=
2022-07-25,79.61,83.69,IT229483501=
2022-07-26,79.9,83.69,IT229483501=
2022-07-27,78.02,81.13,IT229483501=
2022-07-28,79.49,82.84,IT229483501=
2022-07-29,80.39,83.56,IT229483501=
2022-08-01,80.62,84.97,IT229483501=
2022-08-02,80.52,82.5,IT229483501=
2022-08-03,79.22,82.5,IT229483501=
2022-08-04,79.65,85.99,IT229483501=
2022-08-05,79.8,84.39,IT229483501=
2022-08-08,79.95,82.9,IT229483501=
2022-08-09,79.86,84.41,IT229483501=
2022-08-10,80.66,84.53,IT229483501=
2022-08-11,79.73,83.9,IT229483501=
2022-08-12,80.14,84.43,IT229483501=
2022-08-15,79.49,84.22,IT229483501=
2022-08-16,80.41,84.34,IT229483501=
2022-08-17,79.72,84.58,IT229483501=
2022-08-18,80.04,84.63,IT229483501=
2022-08-19,79.12,84.56,IT229483501=
2022-08-22,79.6,82.7,IT229483501=
2022-08-23,79.68,82.7,IT229483501=
2022-08-24,79.61,82.7,IT229483501=
2022-08-25,79.68,82.7,IT229483501=
2022-08-26,79.64,84.1,IT229483501=
2022-08-29,79.48,83.97,IT229483501=
2022-08-30,79.67,84.13,IT229483501=
