Date,BID,ASK,RIC
2019-09-20,99.715,100.189,JP205391452=
2019-09-23,99.715,100.189,JP205391452=
2019-09-24,100.204,100.681,JP205391452=
2019-09-25,99.814,100.289,JP205391452=
2019-09-26,100.19,100.428,JP205391452=
2019-09-27,100.285,100.523,JP205391452=
2019-09-30,100.376,100.614,JP205391452=
2019-10-01,100.629,100.868,JP205391452=
2019-10-02,100.92,101.16,JP205391452=
2019-10-03,100.933,101.172,JP205391452=
2019-10-04,100.933,101.172,JP205391452=
2019-10-07,100.179,100.416,JP205391452=
2019-10-08,100.417,100.655,JP205391452=
2019-10-09,100.028,100.264,JP205391452=
2019-10-10,99.646,99.881,JP205391452=
2019-10-11,99.379,99.613,JP205391452=
2019-10-14,99.494,99.728,JP205391452=
2019-10-15,99.183,99.416,JP205391452=
2019-10-16,99.333,99.567,JP205391452=
2019-10-17,99.301,99.534,JP205391452=
2019-10-18,99.283,99.516,JP205391452=
2019-10-21,99.125,99.357,JP205391452=
2019-10-22,99.223,99.456,JP205391452=
2019-10-23,99.172,99.404,JP205391452=
2019-10-24,99.192,99.424,JP205391452=
2019-10-25,99.016,99.247,JP205391452=
2019-10-28,98.892,99.123,JP205391452=
2019-10-29,98.905,99.136,JP205391452=
2019-10-30,99.147,99.378,JP205391452=
2019-10-31,99.519,99.751,JP205391452=
2019-11-01,99.436,99.668,JP205391452=
2019-11-04,99.107,99.338,JP205391452=
2019-11-05,98.946,99.176,JP205391452=
2019-11-06,99.099,99.329,JP205391452=
2019-11-07,99.009,99.239,JP205391452=
2019-11-08,98.95,99.179,JP205391452=
2019-11-11,98.987,99.217,JP205391452=
2019-11-12,99.033,99.263,JP205391452=
2019-11-13,99.185,99.415,JP205391452=
2019-11-14,99.513,99.743,JP205391452=
2019-11-15,99.412,99.642,JP205391452=
2019-11-18,99.481,99.711,JP205391452=
2019-11-19,99.542,99.772,JP205391452=
2019-11-20,99.413,99.643,JP205391452=
2019-11-21,99.327,99.556,JP205391452=
2019-11-22,99.323,99.552,JP205391452=
2019-11-25,99.387,99.616,JP205391452=
2019-11-26,99.452,99.681,JP205391452=
2019-11-27,99.302,99.53,JP205391452=
2019-11-28,99.315,99.543,JP205391452=
2019-11-29,99.362,99.59,JP205391452=
2019-12-02,99.262,99.49,JP205391452=
2019-12-03,99.467,99.695,JP205391452=
2019-12-04,99.322,99.55,JP205391452=
2019-12-05,99.232,99.459,JP205391452=
2019-12-06,99.074,99.3,JP205391452=
2019-12-09,99.119,99.345,JP205391452=
2019-12-10,98.993,99.219,JP205391452=
2019-12-11,99.211,99.437,JP205391452=
2019-12-12,98.923,99.148,JP205391452=
2019-12-13,99.127,99.353,JP205391452=
2019-12-16,98.911,99.136,JP205391452=
2019-12-17,98.92,99.145,JP205391452=
2019-12-18,98.764,98.988,JP205391452=
2019-12-19,98.788,99.012,JP205391452=
2019-12-20,98.793,99.017,JP205391452=
2019-12-23,98.728,98.951,JP205391452=
2019-12-24,98.887,99.11,JP205391452=
2019-12-25,98.834,99.057,JP205391452=
2019-12-26,98.855,99.078,JP205391452=
2019-12-27,99.034,99.258,JP205391452=
2019-12-30,99.04,99.264,JP205391452=
2019-12-31,98.973,99.196,JP205391452=
2020-01-01,99.011,99.234,JP205391452=
2020-01-02,99.1,99.323,JP205391452=
2020-01-03,99.297,99.521,JP205391452=
2020-01-06,99.231,99.454,JP205391452=
2020-01-07,99.231,99.454,JP205391452=
2020-01-08,98.968,99.19,JP205391452=
2020-01-09,99.032,99.254,JP205391452=
2020-01-10,99.113,99.335,JP205391452=
2020-01-13,99.033,99.255,JP205391452=
2020-01-14,99.163,99.385,JP205391452=
2020-01-15,99.252,99.474,JP205391452=
2020-01-16,99.148,99.369,JP205391452=
2020-01-17,99.157,99.378,JP205391452=
2020-01-20,99.303,99.525,JP205391452=
2020-01-21,99.499,99.721,JP205391452=
2020-01-22,99.508,99.73,JP205391452=
2020-01-23,99.642,99.864,JP205391452=
2020-01-24,99.798,100.02,JP205391452=
2020-01-27,100.083,100.306,JP205391452=
2020-01-28,99.914,100.136,JP205391452=
2020-01-29,100.256,100.479,JP205391452=
2020-01-30,100.48,100.703,JP205391452=
2020-01-31,100.878,101.102,JP205391452=
2020-02-03,100.864,101.088,JP205391452=
2020-02-04,100.725,100.949,JP205391452=
2020-02-05,100.417,100.64,JP205391452=
2020-02-06,100.407,100.629,JP205391452=
2020-02-07,100.58,100.803,JP205391452=
2020-02-10,100.682,100.905,JP205391452=
2020-02-11,100.5,100.722,JP205391452=
2020-02-12,100.357,100.579,JP205391452=
2020-02-13,100.401,100.622,JP205391452=
2020-02-14,100.511,100.732,JP205391452=
2020-02-17,100.503,100.724,JP205391452=
2020-02-18,100.604,100.825,JP205391452=
2020-02-19,100.559,100.78,JP205391452=
2020-02-20,100.758,100.979,JP205391452=
