Date,BID,ASK,RIC
2021-10-27,99.473,99.712,JP239828698=
2021-10-28,99.268,99.506,JP239828698=
2021-10-29,99.211,99.45,JP239828698=
2021-11-01,99.188,99.426,JP239828698=
2021-11-02,99.364,99.603,JP239828698=
2021-11-03,99.141,99.379,JP239828698=
2021-11-04,99.513,99.751,JP239828698=
2021-11-05,99.78,100.019,JP239828698=
2021-11-08,99.466,99.704,JP239828698=
2021-11-09,99.666,99.904,JP239828698=
2021-11-10,99.221,99.458,JP239828698=
2021-11-11,99.012,99.248,JP239828698=
2021-11-12,99.009,99.245,JP239828698=
2021-11-15,98.784,99.019,JP239828698=
2021-11-16,98.724,98.959,JP239828698=
2021-11-17,98.87,99.105,JP239828698=
2021-11-18,98.909,99.144,JP239828698=
2021-11-19,98.938,99.173,JP239828698=
2021-11-22,98.471,98.704,JP239828698=
2021-11-23,98.431,98.664,JP239828698=
2021-11-24,98.433,98.666,JP239828698=
2021-11-25,98.403,98.636,JP239828698=
2021-11-26,99.11,99.345,JP239828698=
2021-11-29,99.34,99.575,JP239828698=
2021-11-30,99.257,99.491,JP239828698=
2021-12-01,99.44,99.675,JP239828698=
2021-12-02,99.057,99.291,JP239828698=
2021-12-03,99.403,99.638,JP239828698=
2021-12-06,99.142,99.376,JP239828698=
2021-12-07,98.873,99.105,JP239828698=
2021-12-08,98.79,99.022,JP239828698=
2021-12-09,98.699,98.931,JP239828698=
2021-12-10,98.936,99.168,JP239828698=
2021-12-13,99.178,99.411,JP239828698=
2021-12-14,99.044,99.276,JP239828698=
2021-12-15,98.952,99.184,JP239828698=
2021-12-16,99.185,99.417,JP239828698=
2021-12-17,99.111,99.343,JP239828698=
2021-12-20,99.246,99.478,JP239828698=
2021-12-21,99.02,99.251,JP239828698=
2021-12-22,99.045,99.276,JP239828698=
2021-12-23,98.967,99.198,JP239828698=
2021-12-24,98.966,99.196,JP239828698=
2021-12-27,98.835,99.065,JP239828698=
2021-12-28,98.858,99.088,JP239828698=
2021-12-29,98.608,98.837,JP239828698=
2021-12-30,98.788,99.017,JP239828698=
2021-12-31,98.962,99.191,JP239828698=
2022-01-03,98.519,98.747,JP239828698=
2022-01-04,98.488,98.716,JP239828698=
2022-01-05,98.084,98.311,JP239828698=
2022-01-06,97.875,98.101,JP239828698=
2022-01-07,97.786,98.012,JP239828698=
2022-01-10,97.742,97.968,JP239828698=
2022-01-11,97.793,98.018,JP239828698=
2022-01-12,97.673,97.898,JP239828698=
2022-01-13,97.902,98.127,JP239828698=
2022-01-14,97.509,97.733,JP239828698=
2022-01-17,97.299,97.523,JP239828698=
2022-01-18,97.047,97.27,JP239828698=
2022-01-19,97.115,97.338,JP239828698=
2022-01-20,97.369,97.592,JP239828698=
2022-01-21,97.406,97.629,JP239828698=
2022-01-24,97.51,97.733,JP239828698=
2022-01-25,97.489,97.712,JP239828698=
2022-01-26,96.95,97.171,JP239828698=
2022-01-27,97.118,97.339,JP239828698=
2022-01-28,97.34,97.561,JP239828698=
2022-01-31,97.372,97.594,JP239828698=
2022-02-01,97.334,97.555,JP239828698=
2022-02-02,97.477,97.699,JP239828698=
2022-02-03,97.146,97.366,JP239828698=
2022-02-04,96.73,96.949,JP239828698=
2022-02-07,96.71,96.929,JP239828698=
2022-02-08,96.445,96.663,JP239828698=
2022-02-09,96.473,96.691,JP239828698=
2022-02-10,95.884,96.101,JP239828698=
2022-02-11,96.39,96.607,JP239828698=
2022-02-14,96.144,96.361,JP239828698=
2022-02-15,95.982,96.198,JP239828698=
2022-02-16,95.976,96.192,JP239828698=
2022-02-17,96.257,96.473,JP239828698=
2022-02-18,96.337,96.553,JP239828698=
2022-02-21,96.424,96.641,JP239828698=
2022-02-22,96.17,96.386,JP239828698=
2022-02-23,96.0,96.216,JP239828698=
2022-02-24,96.13,96.345,JP239828698=
2022-02-25,96.091,96.306,JP239828698=
2022-02-28,96.766,96.982,JP239828698=
2022-03-01,97.314,97.532,JP239828698=
2022-03-02,96.54,96.756,JP239828698=
2022-03-03,96.658,96.874,JP239828698=
2022-03-04,96.794,97.01,JP239828698=
2022-03-07,96.705,96.921,JP239828698=
2022-03-08,96.321,96.535,JP239828698=
2022-03-09,95.994,96.207,JP239828698=
