Date,BID,ASK,RIC
2021-02-02,100.124,100.272,KR229374761=
2021-02-03,100.091,100.239,KR229374761=
2021-02-04,100.061,100.208,KR229374761=
2021-02-05,100.085,100.232,KR229374761=
2021-02-08,100.023,100.17,KR229374761=
2021-02-09,100.038,100.185,KR229374761=
2021-02-10,100.052,100.199,KR229374761=
2021-02-11,100.014,100.16,KR229374761=
2021-02-12,99.976,100.122,KR229374761=
2021-02-15,99.945,100.091,KR229374761=
2021-02-16,99.979,100.125,KR229374761=
2021-02-17,100.032,100.178,KR229374761=
2021-02-18,100.046,100.191,KR229374761=
2021-02-19,100.017,100.162,KR229374761=
2021-02-22,99.976,100.121,KR229374761=
2021-02-23,100.037,100.182,KR229374761=
2021-02-24,99.976,100.121,KR229374761=
2021-02-25,99.754,99.898,KR229374761=
2021-02-26,99.844,99.988,KR229374761=
2021-03-01,99.936,100.08,KR229374761=
2021-03-02,99.965,100.109,KR229374761=
2021-03-03,99.893,100.036,KR229374761=
2021-03-04,99.848,99.991,KR229374761=
2021-03-05,99.822,99.965,KR229374761=
2021-03-08,99.765,99.907,KR229374761=
2021-03-09,99.834,99.976,KR229374761=
2021-03-10,99.783,99.925,KR229374761=
2021-03-11,99.814,99.956,KR229374761=
2021-03-12,99.775,99.917,KR229374761=
2021-03-15,99.837,99.979,KR229374761=
2021-03-16,99.804,99.945,KR229374761=
2021-03-17,99.872,100.013,KR229374761=
2021-03-18,99.841,99.982,KR229374761=
2021-03-19,99.678,99.818,KR229374761=
2021-03-22,99.715,99.855,KR229374761=
2021-03-23,99.76,99.9,KR229374761=
2021-03-24,99.76,99.9,KR229374761=
2021-03-25,99.789,99.929,KR229374761=
2021-03-26,99.781,99.921,KR229374761=
2021-03-29,99.834,99.974,KR229374761=
2021-03-30,99.812,99.952,KR229374761=
2021-03-31,99.754,99.893,KR229374761=
2021-04-01,99.782,99.921,KR229374761=
2021-04-02,99.69,99.829,KR229374761=
2021-04-05,99.749,99.888,KR229374761=
2021-04-06,99.76,99.899,KR229374761=
2021-04-07,99.741,99.879,KR229374761=
2021-04-08,99.778,99.916,KR229374761=
2021-04-09,99.761,99.899,KR229374761=
2021-04-12,99.717,99.855,KR229374761=
2021-04-13,99.748,99.886,KR229374761=
2021-04-14,99.732,99.869,KR229374761=
2021-04-15,99.776,99.913,KR229374761=
2021-04-16,99.763,99.9,KR229374761=
2021-04-19,99.804,99.941,KR229374761=
2021-04-20,99.862,99.999,KR229374761=
2021-04-21,99.862,99.999,KR229374761=
2021-04-22,99.885,100.021,KR229374761=
2021-04-23,99.822,99.958,KR229374761=
2021-04-26,99.806,99.942,KR229374761=
2021-04-27,99.73,99.866,KR229374761=
2021-04-28,99.822,99.958,KR229374761=
2021-04-29,99.815,99.95,KR229374761=
2021-04-30,99.831,99.966,KR229374761=
2021-05-03,99.858,99.993,KR229374761=
2021-05-04,99.813,99.948,KR229374761=
2021-05-05,99.789,99.924,KR229374761=
2021-05-06,99.781,99.915,KR229374761=
2021-05-07,99.832,99.966,KR229374761=
2021-05-10,99.792,99.926,KR229374761=
2021-05-11,99.83,99.964,KR229374761=
2021-05-12,99.771,99.905,KR229374761=
2021-05-13,99.823,99.956,KR229374761=
2021-05-14,99.735,99.868,KR229374761=
2021-05-17,99.767,99.9,KR229374761=
2021-05-18,99.69,99.823,KR229374761=
2021-05-19,99.573,99.705,KR229374761=
2021-05-20,99.718,99.85,KR229374761=
2021-05-21,99.716,99.848,KR229374761=
2021-05-24,99.732,99.864,KR229374761=
2021-05-25,99.859,99.991,KR229374761=
2021-05-26,99.851,99.983,KR229374761=
2021-05-27,99.825,99.957,KR229374761=
2021-05-28,99.86,99.991,KR229374761=
2021-05-31,99.847,99.978,KR229374761=
2021-06-01,99.834,99.965,KR229374761=
2021-06-02,99.834,99.965,KR229374761=
2021-06-03,99.777,99.908,KR229374761=
2021-06-04,99.834,99.964,KR229374761=
2021-06-07,99.819,99.949,KR229374761=
2021-06-08,99.832,99.962,KR229374761=
2021-06-09,99.83,99.96,KR229374761=
2021-06-10,99.885,100.015,KR229374761=
2021-06-11,99.74,99.869,KR229374761=
2021-06-14,99.781,99.91,KR229374761=
2021-06-15,99.722,99.851,KR229374761=
2021-06-16,99.621,99.75,KR229374761=
2021-06-17,99.576,99.704,KR229374761=
2021-06-18,99.538,99.666,KR229374761=
2021-06-21,99.531,99.659,KR229374761=
2021-06-22,99.614,99.742,KR229374761=
2021-06-23,99.558,99.686,KR229374761=
2021-06-24,99.526,99.653,KR229374761=
2021-06-25,99.524,99.651,KR229374761=
2021-06-28,99.659,99.786,KR229374761=
2021-06-29,99.667,99.794,KR229374761=
2021-06-30,99.635,99.762,KR229374761=
2021-07-01,99.628,99.754,KR229374761=
2021-07-02,99.712,99.838,KR229374761=
2021-07-05,99.714,99.84,KR229374761=
2021-07-06,99.764,99.89,KR229374761=
2021-07-07,99.771,99.897,KR229374761=
2021-07-08,99.765,99.891,KR229374761=
2021-07-09,99.659,99.784,KR229374761=
2021-07-12,99.632,99.757,KR229374761=
2021-07-13,99.605,99.73,KR229374761=
2021-07-14,99.665,99.79,KR229374761=
2021-07-15,99.661,99.786,KR229374761=
2021-07-16,99.667,99.791,KR229374761=
2021-07-19,99.68,99.804,KR229374761=
2021-07-20,99.715,99.839,KR229374761=
2021-07-21,99.648,99.772,KR229374761=
2021-07-22,99.689,99.813,KR229374761=
2021-07-23,99.714,99.838,KR229374761=
2021-07-26,99.707,99.83,KR229374761=
2021-07-27,99.742,99.865,KR229374761=
2021-07-28,99.71,99.833,KR229374761=
2021-07-29,99.723,99.846,KR229374761=
2021-07-30,99.77,99.893,KR229374761=
2021-08-02,99.797,99.92,KR229374761=
2021-08-03,99.793,99.916,KR229374761=
2021-08-04,99.722,99.844,KR229374761=
2021-08-05,99.632,99.754,KR229374761=
2021-08-06,99.576,99.698,KR229374761=
2021-08-09,99.594,99.715,KR229374761=
2021-08-10,99.602,99.723,KR229374761=
2021-08-11,99.614,99.735,KR229374761=
2021-08-12,99.613,99.734,KR229374761=
2021-08-13,99.684,99.805,KR229374761=
2021-08-16,99.696,99.817,KR229374761=
2021-08-17,99.689,99.81,KR229374761=
2021-08-18,99.714,99.834,KR229374761=
2021-08-19,99.696,99.816,KR229374761=
2021-08-20,99.696,99.816,KR229374761=
2021-08-23,99.72,99.84,KR229374761=
2021-08-24,99.689,99.809,KR229374761=
2021-08-25,99.699,99.818,KR229374761=
2021-08-26,99.736,99.855,KR229374761=
2021-08-27,99.837,99.956,KR229374761=
2021-08-30,99.818,99.937,KR229374761=
2021-08-31,99.792,99.911,KR229374761=
2021-09-01,99.768,99.887,KR229374761=
2021-09-02,99.752,99.87,KR229374761=
2021-09-03,99.745,99.863,KR229374761=
2021-09-06,99.745,99.863,KR229374761=
2021-09-07,99.694,99.812,KR229374761=
2021-09-08,99.685,99.803,KR229374761=
2021-09-09,99.698,99.815,KR229374761=
2021-09-10,99.703,99.82,KR229374761=
2021-09-13,99.715,99.832,KR229374761=
2021-09-14,99.734,99.851,KR229374761=
2021-09-15,99.723,99.84,KR229374761=
2021-09-16,99.698,99.814,KR229374761=
2021-09-17,99.696,99.812,KR229374761=
2021-09-20,99.703,99.819,KR229374761=
2021-09-21,99.703,99.819,KR229374761=
2021-09-22,99.722,99.838,KR229374761=
2021-09-23,99.635,99.75,KR229374761=
2021-09-24,99.624,99.739,KR229374761=
2021-09-27,99.592,99.707,KR229374761=
2021-09-28,99.616,99.731,KR229374761=
2021-09-29,99.66,99.775,KR229374761=
2021-09-30,99.668,99.782,KR229374761=
2021-10-01,99.804,99.918,KR229374761=
2021-10-04,99.768,99.882,KR229374761=
2021-10-05,99.731,99.845,KR229374761=
2021-10-06,99.688,99.802,KR229374761=
2021-10-07,99.673,99.786,KR229374761=
2021-10-08,99.635,99.748,KR229374761=
2021-10-11,99.537,99.65,KR229374761=
2021-10-12,99.557,99.67,KR229374761=
2021-10-13,99.446,99.559,KR229374761=
2021-10-14,99.455,99.567,KR229374761=
2021-10-15,99.355,99.467,KR229374761=
2021-10-18,99.277,99.389,KR229374761=
2021-10-19,99.303,99.414,KR229374761=
2021-10-20,99.308,99.419,KR229374761=
2021-10-21,99.279,99.39,KR229374761=
2021-10-22,99.32,99.431,KR229374761=
2021-10-25,99.334,99.445,KR229374761=
2021-10-26,99.306,99.417,KR229374761=
2021-10-27,99.283,99.393,KR229374761=
2021-10-28,99.302,99.412,KR229374761=
2021-10-29,99.299,99.409,KR229374761=
2021-11-01,99.282,99.392,KR229374761=
2021-11-02,99.393,99.503,KR229374761=
2021-11-03,99.321,99.431,KR229374761=
2021-11-04,99.407,99.516,KR229374761=
2021-11-05,99.5,99.609,KR229374761=
2021-11-08,99.351,99.46,KR229374761=
2021-11-09,99.431,99.54,KR229374761=
2021-11-10,99.161,99.269,KR229374761=
2021-11-11,99.089,99.197,KR229374761=
2021-11-12,99.176,99.284,KR229374761=
2021-11-15,99.132,99.24,KR229374761=
2021-11-16,99.23,99.338,KR229374761=
2021-11-17,99.298,99.406,KR229374761=
2021-11-18,99.301,99.408,KR229374761=
2021-11-19,99.256,99.363,KR229374761=
2021-11-22,99.094,99.201,KR229374761=
2021-11-23,99.106,99.213,KR229374761=
2021-11-24,99.088,99.194,KR229374761=
2021-11-25,99.08,99.186,KR229374761=
2021-11-26,99.417,99.523,KR229374761=
2021-11-29,99.454,99.56,KR229374761=
2021-11-30,99.35,99.456,KR229374761=
2021-12-01,99.323,99.429,KR229374761=
2021-12-02,99.171,99.276,KR229374761=
2021-12-03,99.198,99.303,KR229374761=
2021-12-06,99.123,99.228,KR229374761=
2021-12-07,98.988,99.093,KR229374761=
2021-12-08,98.886,98.99,KR229374761=
2021-12-09,98.832,98.936,KR229374761=
2021-12-10,98.894,98.998,KR229374761=
2021-12-13,98.979,99.083,KR229374761=
2021-12-14,98.92,99.023,KR229374761=
2021-12-15,98.942,99.045,KR229374761=
