Date,BID,ASK,RIC
2017-04-11,97.838,98.229,MX159908224=
2017-04-12,97.729,98.119,MX159908224=
2017-04-13,97.757,98.147,MX159908224=
2017-04-14,97.757,98.147,MX159908224=
2017-04-17,97.839,98.23,MX159908224=
2017-04-18,98.042,98.434,MX159908224=
2017-04-19,97.638,98.028,MX159908224=
2017-04-20,97.545,97.934,MX159908224=
2017-04-21,97.623,98.012,MX159908224=
2017-04-24,98.036,98.427,MX159908224=
2017-04-25,97.935,98.326,MX159908224=
2017-04-26,98.03,98.421,MX159908224=
2017-04-27,97.906,98.296,MX159908224=
2017-04-28,97.914,98.304,MX159908224=
2017-05-01,97.891,98.281,MX159908224=
2017-05-02,98.086,98.477,MX159908224=
2017-05-03,98.048,98.438,MX159908224=
2017-05-04,98.048,98.438,MX159908224=
2017-05-05,98.134,98.525,MX159908224=
2017-05-08,97.606,97.994,MX159908224=
2017-05-09,97.925,98.314,MX159908224=
2017-05-10,97.833,98.222,MX159908224=
2017-05-11,98.121,98.511,MX159908224=
2017-05-12,98.168,98.558,MX159908224=
2017-05-15,98.043,98.432,MX159908224=
2017-05-16,98.254,98.644,MX159908224=
2017-05-17,98.278,98.668,MX159908224=
2017-05-18,98.006,98.395,MX159908224=
2017-05-19,98.568,98.959,MX159908224=
2017-05-22,98.521,98.912,MX159908224=
2017-05-23,98.365,98.755,MX159908224=
2017-05-24,98.741,99.133,MX159908224=
2017-05-25,98.812,99.204,MX159908224=
2017-05-26,98.488,98.878,MX159908224=
2017-05-29,98.57,98.961,MX159908224=
2017-05-30,98.632,99.023,MX159908224=
2017-05-31,98.649,99.04,MX159908224=
2017-06-01,99.064,99.457,MX159908224=
2017-06-02,99.252,99.645,MX159908224=
2017-06-05,99.064,99.456,MX159908224=
2017-06-06,99.048,99.44,MX159908224=
2017-06-07,98.971,99.363,MX159908224=
2017-06-08,98.838,99.229,MX159908224=
2017-06-09,99.23,99.623,MX159908224=
2017-06-12,98.823,99.214,MX159908224=
2017-06-13,98.987,99.378,MX159908224=
2017-06-14,99.199,99.591,MX159908224=
2017-06-15,99.293,99.685,MX159908224=
2017-06-16,99.537,99.931,MX159908224=
2017-06-19,99.012,99.403,MX159908224=
2017-06-20,99.718,100.112,MX159908224=
2017-06-21,100.073,100.469,MX159908224=
2017-06-22,100.12,100.516,MX159908224=
2017-06-23,100.081,100.476,MX159908224=
2017-06-26,99.522,99.915,MX159908224=
2017-06-27,100.009,100.404,MX159908224=
2017-06-28,99.357,99.749,MX159908224=
2017-06-29,99.734,100.127,MX159908224=
2017-06-30,99.217,99.608,MX159908224=
2017-07-03,99.939,100.333,MX159908224=
2017-07-04,99.591,99.983,MX159908224=
2017-07-05,99.563,99.955,MX159908224=
2017-07-06,99.499,99.891,MX159908224=
2017-07-07,99.593,99.985,MX159908224=
2017-07-10,99.304,99.694,MX159908224=
2017-07-11,99.547,99.939,MX159908224=
2017-07-12,99.79,100.182,MX159908224=
2017-07-13,100.206,100.6,MX159908224=
2017-07-14,99.469,99.86,MX159908224=
2017-07-17,99.594,99.985,MX159908224=
2017-07-18,99.79,100.182,MX159908224=
2017-07-19,99.79,100.182,MX159908224=
2017-07-20,99.9,100.292,MX159908224=
2017-07-21,100.277,100.671,MX159908224=
2017-07-24,99.665,100.056,MX159908224=
2017-07-25,100.096,100.489,MX159908224=
2017-07-26,100.324,100.718,MX159908224=
2017-07-27,100.198,100.591,MX159908224=
2017-07-28,100.261,100.654,MX159908224=
2017-07-31,100.064,100.456,MX159908224=
2017-08-01,100.402,100.796,MX159908224=
2017-08-02,99.947,100.338,MX159908224=
2017-08-03,100.669,101.064,MX159908224=
2017-08-04,100.159,100.551,MX159908224=
2017-08-07,100.449,100.842,MX159908224=
2017-08-08,100.582,100.976,MX159908224=
2017-08-09,100.198,100.59,MX159908224=
2017-08-10,100.496,100.889,MX159908224=
2017-08-11,100.339,100.731,MX159908224=
2017-08-14,100.237,100.629,MX159908224=
2017-08-15,99.995,100.386,MX159908224=
2017-08-16,100.621,101.014,MX159908224=
2017-08-17,100.527,100.92,MX159908224=
2017-08-18,99.979,100.369,MX159908224=
2017-08-21,100.167,100.558,MX159908224=
2017-08-22,100.448,100.84,MX159908224=
2017-08-23,100.198,100.589,MX159908224=
2017-08-24,100.065,100.455,MX159908224=
2017-08-25,100.354,100.745,MX159908224=
2017-08-28,100.198,100.588,MX159908224=
2017-08-29,99.964,100.353,MX159908224=
2017-08-30,100.221,100.611,MX159908224=
2017-08-31,100.424,100.815,MX159908224=
2017-09-01,100.144,100.533,MX159908224=
2017-09-04,100.405,100.796,MX159908224=
2017-09-05,100.635,101.027,MX159908224=
2017-09-06,100.229,100.619,MX159908224=
2017-09-07,100.721,101.113,MX159908224=
2017-09-08,100.549,100.94,MX159908224=
2017-09-11,100.315,100.705,MX159908224=
2017-09-12,100.292,100.682,MX159908224=
2017-09-13,100.471,100.861,MX159908224=
2017-09-14,100.689,101.08,MX159908224=
2017-09-15,100.572,100.962,MX159908224=
2017-09-18,100.082,100.47,MX159908224=
2017-09-19,100.619,101.009,MX159908224=
2017-09-20,99.935,100.322,MX159908224=
2017-09-21,100.129,100.517,MX159908224=
2017-09-22,100.323,100.712,MX159908224=
2017-09-25,100.409,100.798,MX159908224=
2017-09-26,100.378,100.767,MX159908224=
2017-09-27,100.114,100.501,MX159908224=
2017-09-28,100.347,100.735,MX159908224=
2017-09-29,99.736,100.121,MX159908224=
2017-10-02,100.107,100.494,MX159908224=
2017-10-03,100.463,100.851,MX159908224=
2017-10-04,100.246,100.633,MX159908224=
2017-10-05,100.44,100.828,MX159908224=
2017-10-06,100.331,100.718,MX159908224=
2017-10-09,100.383,100.77,MX159908224=
2017-10-10,100.308,100.695,MX159908224=
2017-10-11,100.316,100.703,MX159908224=
2017-10-12,100.338,100.725,MX159908224=
2017-10-13,99.462,99.845,MX159908224=
2017-10-16,99.999,100.384,MX159908224=
2017-10-17,99.791,100.175,MX159908224=
2017-10-18,99.462,99.844,MX159908224=
