Date,BID,ASK,RIC
2023-01-30,100.059,100.154,NL258336658=
2023-01-31,100.096,100.191,NL258336658=
2023-02-01,100.118,100.213,NL258336658=
2023-02-02,100.126,100.22,NL258336658=
2023-02-03,99.997,100.025,NL258336658=
2023-02-06,99.887,99.915,NL258336658=
2023-02-07,99.908,99.935,NL258336658=
2023-02-08,99.899,99.926,NL258336658=
2023-02-09,99.901,99.928,NL258336658=
2023-02-10,99.891,99.918,NL258336658=
2023-02-13,99.861,99.888,NL258336658=
2023-02-14,99.803,99.83,NL258336658=
2023-02-15,99.81,99.837,NL258336658=
2023-02-16,99.791,99.818,NL258336658=
2023-02-17,99.789,99.815,NL258336658=
2023-02-20,99.782,99.808,NL258336658=
2023-02-21,99.755,99.781,NL258336658=
2023-02-22,99.705,99.731,NL258336658=
2023-02-23,99.74,99.766,NL258336658=
2023-02-24,99.723,99.749,NL258336658=
2023-02-27,99.743,99.769,NL258336658=
2023-02-28,99.739,99.765,NL258336658=
2023-03-01,99.727,99.753,NL258336658=
2023-03-02,99.736,99.761,NL258336658=
2023-03-03,99.741,99.766,NL258336658=
2023-03-06,99.725,99.75,NL258336658=
2023-03-07,99.573,99.598,NL258336658=
2023-03-08,99.558,99.583,NL258336658=
2023-03-09,99.636,99.661,NL258336658=
2023-03-10,99.787,99.812,NL258336658=
2023-03-13,100.198,100.223,NL258336658=
2023-03-14,100.029,100.054,NL258336658=
2023-03-15,99.95,99.975,NL258336658=
2023-03-16,99.664,99.688,NL258336658=
2023-03-17,99.868,99.892,NL258336658=
2023-03-20,99.762,99.786,NL258336658=
2023-03-21,99.586,99.61,NL258336658=
2023-03-22,99.64,99.664,NL258336658=
2023-03-23,99.737,99.761,NL258336658=
2023-03-24,99.804,99.828,NL258336658=
2023-03-27,99.64,99.664,NL258336658=
2023-03-28,99.608,99.631,NL258336658=
2023-03-29,99.593,99.616,NL258336658=
2023-03-30,99.563,99.586,NL258336658=
2023-03-31,99.56,99.583,NL258336658=
2023-04-03,99.585,99.608,NL258336658=
2023-04-04,99.674,99.697,NL258336658=
2023-04-05,99.679,99.702,NL258336658=
2023-04-06,99.652,99.675,NL258336658=
2023-04-07,99.554,99.577,NL258336658=
2023-04-10,99.528,99.551,NL258336658=
2023-04-11,99.52,99.542,NL258336658=
2023-04-12,99.537,99.559,NL258336658=
2023-04-13,99.534,99.556,NL258336658=
2023-04-14,99.456,99.478,NL258336658=
2023-04-17,99.426,99.448,NL258336658=
2023-04-18,99.431,99.453,NL258336658=
2023-04-19,99.414,99.436,NL258336658=
2023-04-20,99.456,99.478,NL258336658=
2023-04-21,99.445,99.466,NL258336658=
2023-04-24,99.461,99.482,NL258336658=
2023-04-25,99.539,99.56,NL258336658=
2023-04-26,99.505,99.526,NL258336658=
2023-04-27,99.462,99.483,NL258336658=
2023-04-28,99.472,99.493,NL258336658=
2023-05-01,99.414,99.435,NL258336658=
2023-05-02,99.483,99.504,NL258336658=
2023-05-03,99.511,99.532,NL258336658=
2023-05-04,99.537,99.558,NL258336658=
2023-05-05,99.468,99.488,NL258336658=
2023-05-08,99.447,99.467,NL258336658=
2023-05-09,99.422,99.442,NL258336658=
2023-05-10,99.479,99.499,NL258336658=
2023-05-11,99.48,99.5,NL258336658=
2023-05-12,99.466,99.486,NL258336658=
2023-05-15,99.465,99.485,NL258336658=
2023-05-16,99.393,99.413,NL258336658=
2023-05-17,99.359,99.379,NL258336658=
2023-05-18,99.304,99.323,NL258336658=
2023-05-19,99.304,99.323,NL258336658=
2023-05-22,99.294,99.313,NL258336658=
2023-05-23,99.279,99.298,NL258336658=
2023-05-24,99.24,99.259,NL258336658=
2023-05-25,99.215,99.234,NL258336658=
2023-05-26,99.214,99.233,NL258336658=
2023-05-29,99.215,99.234,NL258336658=
2023-05-30,99.224,99.243,NL258336658=
2023-05-31,99.228,99.247,NL258336658=
2023-06-01,99.256,99.274,NL258336658=
2023-06-02,99.213,99.231,NL258336658=
2023-06-05,99.242,99.26,NL258336658=
2023-06-06,99.249,99.267,NL258336658=
2023-06-07,99.258,99.276,NL258336658=
2023-06-08,99.288,99.306,NL258336658=
2023-06-09,99.27,99.288,NL258336658=
2023-06-12,99.28,99.298,NL258336658=
2023-06-13,99.28,99.298,NL258336658=
2023-06-14,99.274,99.291,NL258336658=
2023-06-15,99.304,99.321,NL258336658=
2023-06-16,99.298,99.315,NL258336658=
2023-06-19,99.293,99.31,NL258336658=
2023-06-20,99.308,99.325,NL258336658=
2023-06-21,99.285,99.302,NL258336658=
2023-06-22,99.287,99.304,NL258336658=
2023-06-23,99.297,99.314,NL258336658=
2023-06-26,99.289,99.306,NL258336658=
2023-06-27,99.268,99.284,NL258336658=
2023-06-28,99.266,99.282,NL258336658=
2023-06-29,99.25,99.266,NL258336658=
2023-06-30,99.266,99.282,NL258336658=
2023-07-03,99.262,99.278,NL258336658=
2023-07-04,99.253,99.269,NL258336658=
2023-07-05,99.265,99.281,NL258336658=
2023-07-06,99.265,99.281,NL258336658=
2023-07-07,99.273,99.288,NL258336658=
2023-07-10,99.28,99.295,NL258336658=
2023-07-11,99.272,99.287,NL258336658=
2023-07-12,99.296,99.311,NL258336658=
2023-07-13,99.321,99.336,NL258336658=
2023-07-14,99.311,99.326,NL258336658=
2023-07-17,99.317,99.332,NL258336658=
2023-07-18,99.314,99.329,NL258336658=
2023-07-19,99.319,99.334,NL258336658=
2023-07-20,99.325,99.339,NL258336658=
2023-07-21,99.327,99.341,NL258336658=
