Date,BID,ASK,RIC
2021-09-10,99.65,99.9,TR238655811=
2021-09-13,99.875,100.875,TR238655811=
2021-09-14,99.874,100.31,TR238655811=
2021-09-15,99.687,100.122,TR238655811=
2021-09-16,99.423,99.855,TR238655811=
2021-09-17,99.156,99.586,TR238655811=
2021-09-20,98.26,98.686,TR238655811=
2021-09-21,98.248,98.674,TR238655811=
2021-09-22,98.07,98.495,TR238655811=
2021-09-23,97.666,98.089,TR238655811=
2021-09-24,97.666,98.088,TR238655811=
2021-09-27,96.762,97.179,TR238655811=
2021-09-28,95.641,96.641,TR238655811=
2021-09-29,96.487,96.902,TR238655811=
2021-09-30,97.907,98.328,TR238655811=
2021-10-01,96.582,97.582,TR238655811=
2021-10-04,96.759,97.759,TR238655811=
2021-10-05,97.945,98.367,TR238655811=
2021-10-06,97.896,98.317,TR238655811=
2021-10-07,97.744,98.163,TR238655811=
2021-10-08,97.616,98.034,TR238655811=
2021-10-11,97.452,97.869,TR238655811=
2021-10-12,97.118,97.533,TR238655811=
2021-10-13,97.106,97.522,TR238655811=
2021-10-14,97.202,97.617,TR238655811=
2021-10-15,96.905,97.318,TR238655811=
2021-10-18,96.737,97.15,TR238655811=
2021-10-19,96.739,97.151,TR238655811=
2021-10-20,96.732,97.144,TR238655811=
2021-10-21,96.463,96.873,TR238655811=
2021-10-22,96.251,96.66,TR238655811=
2021-10-25,95.312,95.716,TR238655811=
2021-10-26,95.012,95.414,TR238655811=
2021-10-27,95.119,95.521,TR238655811=
2021-10-28,95.895,96.302,TR238655811=
2021-10-29,96.266,96.674,TR238655811=
2021-11-01,96.372,96.78,TR238655811=
2021-11-02,96.584,96.993,TR238655811=
2021-11-03,96.745,97.155,TR238655811=
2021-11-04,97.387,97.8,TR238655811=
2021-11-05,98.21,98.627,TR238655811=
2021-11-08,98.381,98.798,TR238655811=
2021-11-09,98.557,98.975,TR238655811=
2021-11-10,98.06,98.475,TR238655811=
2021-11-11,97.838,98.251,TR238655811=
2021-11-12,98.298,98.714,TR238655811=
2021-11-15,98.18,98.594,TR238655811=
2021-11-16,98.129,98.543,TR238655811=
2021-11-17,98.301,98.716,TR238655811=
2021-11-18,96.875,97.875,TR238655811=
2021-11-19,96.575,97.575,TR238655811=
2021-11-22,96.544,96.949,TR238655811=
2021-11-23,94.558,94.952,TR238655811=
2021-11-24,94.057,94.449,TR238655811=
2021-11-25,94.032,94.423,TR238655811=
2021-11-26,93.606,93.996,TR238655811=
2021-11-29,93.649,94.038,TR238655811=
2021-11-30,92.604,92.988,TR238655811=
2021-12-01,92.752,93.136,TR238655811=
2021-12-02,91.923,92.303,TR238655811=
2021-12-03,91.664,92.043,TR238655811=
2021-12-06,91.525,91.902,TR238655811=
2021-12-07,92.086,92.465,TR238655811=
2021-12-08,92.016,92.395,TR238655811=
2021-12-09,92.063,92.442,TR238655811=
2021-12-10,92.147,92.527,TR238655811=
2021-12-13,91.696,92.073,TR238655811=
2021-12-14,91.593,91.969,TR238655811=
2021-12-15,91.562,91.938,TR238655811=
2021-12-16,91.841,92.218,TR238655811=
2021-12-17,88.36,89.74,TR238655811=
2021-12-20,85.346,85.691,TR238655811=
2021-12-21,86.919,87.271,TR238655811=
2021-12-22,87.402,87.756,TR238655811=
