Date,BID,ASK,RIC
2022-02-14,98.998,99.23,US50050HAR75=
2022-02-15,98.869,99.101,US50050HAR75=
2022-02-16,98.953,99.185,US50050HAR75=
2022-02-17,99.293,99.525,US50050HAR75=
2022-02-18,99.423,99.655,US50050HAR75=
2022-02-21,99.517,99.749,US50050HAR75=
2022-02-22,99.196,99.428,US50050HAR75=
2022-02-23,99.012,99.243,US50050HAR75=
2022-02-24,99.225,99.456,US50050HAR75=
2022-02-25,99.19,99.42,US50050HAR75=
2022-02-28,99.911,100.144,US50050HAR75=
2022-03-01,100.591,100.825,US50050HAR75=
2022-03-02,99.712,99.944,US50050HAR75=
2022-03-03,99.833,100.064,US50050HAR75=
2022-03-04,99.791,100.022,US50050HAR75=
2022-03-07,99.551,99.782,US50050HAR75=
2022-03-08,99.717,99.948,US50050HAR75=
2022-03-09,98.837,99.065,US50050HAR75=
2022-03-10,98.807,99.035,US50050HAR75=
2022-03-11,98.693,98.921,US50050HAR75=
2022-03-14,97.939,98.164,US50050HAR75=
2022-03-15,97.85,98.075,US50050HAR75=
2022-03-16,97.757,97.981,US50050HAR75=
2022-03-17,97.384,97.608,US50050HAR75=
2022-03-18,97.725,97.949,US50050HAR75=
2022-03-21,96.756,96.978,US50050HAR75=
2022-03-22,96.687,96.908,US50050HAR75=
2022-03-23,96.843,97.065,US50050HAR75=
2022-03-24,96.219,96.438,US50050HAR75=
2022-03-25,95.509,95.727,US50050HAR75=
2022-03-28,95.464,95.681,US50050HAR75=
2022-03-29,95.69,95.908,US50050HAR75=
2022-03-30,95.989,96.207,US50050HAR75=
2022-03-31,96.244,96.463,US50050HAR75=
2022-04-01,95.723,95.94,US50050HAR75=
2022-04-04,95.899,96.117,US50050HAR75=
2022-04-05,95.126,95.342,US50050HAR75=
2022-04-06,94.978,95.193,US50050HAR75=
2022-04-07,95.128,95.343,US50050HAR75=
2022-04-08,94.83,95.044,US50050HAR75=
2022-04-11,94.674,94.888,US50050HAR75=
2022-04-12,94.921,95.135,US50050HAR75=
2022-04-13,95.084,95.298,US50050HAR75=
2022-04-14,94.988,95.202,US50050HAR75=
2022-04-15,95.084,95.298,US50050HAR75=
2022-04-18,94.967,95.181,US50050HAR75=
2022-04-19,94.251,94.463,US50050HAR75=
2022-04-20,94.449,94.661,US50050HAR75=
2022-04-21,94.027,94.238,US50050HAR75=
2022-04-22,94.047,94.258,US50050HAR75=
2022-04-25,94.139,94.35,US50050HAR75=
2022-04-26,94.657,94.869,US50050HAR75=
2022-04-27,94.584,94.795,US50050HAR75=
2022-04-28,94.622,94.833,US50050HAR75=
2022-04-29,94.103,94.313,US50050HAR75=
2022-05-02,93.934,94.144,US50050HAR75=
2022-05-03,93.837,94.046,US50050HAR75=
2022-05-04,94.347,94.557,US50050HAR75=
2022-05-05,94.184,94.394,US50050HAR75=
2022-05-06,93.512,93.72,US50050HAR75=
2022-05-09,93.961,94.17,US50050HAR75=
2022-05-10,94.231,94.44,US50050HAR75=
2022-05-11,94.402,94.611,US50050HAR75=
2022-05-12,94.578,94.788,US50050HAR75=
2022-05-13,94.514,94.724,US50050HAR75=
2022-05-16,94.513,94.722,US50050HAR75=
2022-05-17,93.966,94.174,US50050HAR75=
2022-05-18,94.006,94.214,US50050HAR75=
2022-05-19,94.228,94.436,US50050HAR75=
2022-05-20,94.36,94.568,US50050HAR75=
2022-05-23,94.238,94.446,US50050HAR75=
2022-05-24,94.586,94.795,US50050HAR75=
2022-05-25,94.91,95.12,US50050HAR75=
