Date,BID,ASK,RIC
2022-09-12,94.23,94.338,USC24285Y410=
2022-09-13,94.117,94.225,USC24285Y410=
2022-09-14,94.037,94.145,USC24285Y410=
2022-09-15,93.91,94.017,USC24285Y410=
2022-09-16,93.92,94.027,USC24285Y410=
2022-09-19,93.77,93.877,USC24285Y410=
2022-09-20,93.712,93.818,USC24285Y410=
2022-09-21,93.549,93.655,USC24285Y410=
2022-09-22,93.392,93.498,USC24285Y410=
2022-09-23,93.217,93.322,USC24285Y410=
2022-09-26,92.882,92.986,USC24285Y410=
2022-09-27,93.008,93.112,USC24285Y410=
2022-09-28,93.394,93.499,USC24285Y410=
2022-09-29,93.286,93.39,USC24285Y410=
2022-09-30,93.132,93.236,USC24285Y410=
2022-10-03,93.481,93.586,USC24285Y410=
2022-10-04,93.516,93.62,USC24285Y410=
2022-10-05,93.412,93.517,USC24285Y410=
2022-10-06,93.217,93.321,USC24285Y410=
2022-10-07,93.095,93.198,USC24285Y410=
2022-10-10,93.07,93.173,USC24285Y410=
2022-10-11,93.096,93.199,USC24285Y410=
2022-10-12,93.159,93.262,USC24285Y410=
2022-10-13,92.856,92.958,USC24285Y410=
2022-10-14,92.789,92.891,USC24285Y410=
2022-10-17,92.9,93.002,USC24285Y410=
2022-10-18,92.942,93.044,USC24285Y410=
2022-10-19,92.68,92.782,USC24285Y410=
2022-10-20,92.675,92.777,USC24285Y410=
2022-10-21,92.803,92.905,USC24285Y410=
2022-10-24,92.818,92.919,USC24285Y410=
2022-10-25,92.923,93.024,USC24285Y410=
2022-10-26,93.05,93.151,USC24285Y410=
2022-10-27,93.335,93.437,USC24285Y410=
2022-10-28,93.09,93.191,USC24285Y410=
2022-10-31,92.951,93.051,USC24285Y410=
2022-11-01,92.834,92.934,USC24285Y410=
2022-11-02,92.723,92.823,USC24285Y410=
2022-11-03,92.544,92.643,USC24285Y410=
2022-11-04,92.671,92.77,USC24285Y410=
2022-11-07,92.556,92.655,USC24285Y410=
2022-11-08,92.701,92.8,USC24285Y410=
2022-11-09,92.891,92.99,USC24285Y410=
2022-11-10,93.416,93.516,USC24285Y410=
2022-11-11,93.371,93.471,USC24285Y410=
2022-11-14,93.285,93.384,USC24285Y410=
2022-11-15,93.428,93.527,USC24285Y410=
2022-11-16,93.405,93.504,USC24285Y410=
2022-11-17,93.247,93.345,USC24285Y410=
2022-11-18,93.113,93.211,USC24285Y410=
2022-11-21,93.062,93.16,USC24285Y410=
2022-11-22,93.13,93.228,USC24285Y410=
2022-11-23,93.259,93.357,USC24285Y410=
2022-11-24,93.349,93.446,USC24285Y410=
2022-11-25,93.275,93.372,USC24285Y410=
2022-11-28,93.322,93.42,USC24285Y410=
2022-11-29,93.251,93.348,USC24285Y410=
2022-11-30,93.561,93.658,USC24285Y410=
2022-12-01,93.772,93.87,USC24285Y410=
2022-12-02,93.696,93.793,USC24285Y410=
2022-12-05,93.481,93.578,USC24285Y410=
2022-12-06,93.545,93.641,USC24285Y410=
2022-12-07,93.744,93.84,USC24285Y410=
2022-12-08,93.673,93.77,USC24285Y410=
2022-12-09,93.616,93.713,USC24285Y410=
2022-12-12,93.555,93.651,USC24285Y410=
2022-12-13,93.882,93.978,USC24285Y410=
2022-12-14,93.893,93.989,USC24285Y410=
2022-12-15,93.879,93.975,USC24285Y410=
2022-12-16,93.988,94.084,USC24285Y410=
2022-12-19,93.838,93.933,USC24285Y410=
2022-12-20,93.831,93.927,USC24285Y410=
2022-12-21,93.921,94.016,USC24285Y410=
2022-12-22,93.837,93.931,USC24285Y410=
2022-12-23,93.752,93.847,USC24285Y410=
2022-12-26,93.775,93.869,USC24285Y410=
2022-12-27,93.657,93.752,USC24285Y410=
2022-12-28,93.684,93.778,USC24285Y410=
2022-12-29,93.685,93.779,USC24285Y410=
2022-12-30,93.581,93.674,USC24285Y410=
2023-01-02,93.626,93.719,USC24285Y410=
2023-01-03,93.673,93.767,USC24285Y410=
2023-01-04,93.739,93.832,USC24285Y410=
2023-01-05,93.572,93.665,USC24285Y410=
2023-01-06,93.958,94.051,USC24285Y410=
2023-01-09,94.068,94.161,USC24285Y410=
2023-01-10,94.004,94.097,USC24285Y410=
2023-01-11,94.061,94.154,USC24285Y410=
2023-01-12,94.23,94.323,USC24285Y410=
2023-01-13,94.096,94.188,USC24285Y410=
2023-01-16,94.046,94.139,USC24285Y410=
2023-01-17,94.131,94.223,USC24285Y410=
2023-01-18,94.373,94.466,USC24285Y410=
2023-01-19,94.311,94.403,USC24285Y410=
2023-01-20,94.22,94.311,USC24285Y410=
2023-01-23,94.137,94.229,USC24285Y410=
2023-01-24,94.178,94.27,USC24285Y410=
2023-01-25,94.282,94.373,USC24285Y410=
2023-01-26,94.201,94.293,USC24285Y410=
2023-01-27,94.176,94.267,USC24285Y410=
2023-01-30,94.108,94.199,USC24285Y410=
2023-01-31,94.183,94.274,USC24285Y410=
2023-02-01,94.358,94.448,USC24285Y410=
2023-02-02,94.411,94.501,USC24285Y410=
2023-02-03,94.066,94.156,USC24285Y410=
2023-02-06,93.737,93.827,USC24285Y410=
2023-02-07,93.763,93.853,USC24285Y410=
2023-02-08,93.85,93.939,USC24285Y410=
2023-02-09,93.773,93.862,USC24285Y410=
2023-02-10,93.703,93.792,USC24285Y410=
2023-02-13,93.726,93.814,USC24285Y410=
2023-02-14,93.55,93.638,USC24285Y410=
2023-02-15,93.539,93.627,USC24285Y410=
2023-02-16,93.553,93.641,USC24285Y410=
2023-02-17,93.617,93.705,USC24285Y410=
2023-02-20,93.554,93.641,USC24285Y410=
2023-02-21,93.423,93.51,USC24285Y410=
2023-02-22,93.458,93.546,USC24285Y410=
2023-02-23,93.465,93.552,USC24285Y410=
2023-02-24,93.331,93.417,USC24285Y410=
2023-02-27,93.374,93.461,USC24285Y410=
2023-02-28,93.329,93.415,USC24285Y410=
2023-03-01,93.23,93.316,USC24285Y410=
2023-03-02,93.248,93.334,USC24285Y410=
2023-03-03,93.297,93.382,USC24285Y410=
2023-03-06,93.264,93.349,USC24285Y410=
2023-03-07,93.049,93.134,USC24285Y410=
2023-03-08,92.982,93.066,USC24285Y410=
2023-03-09,93.316,93.401,USC24285Y410=
2023-03-10,93.81,93.895,USC24285Y410=
2023-03-13,94.8,94.886,USC24285Y410=
2023-03-14,94.417,94.503,USC24285Y410=
2023-03-15,95.026,95.112,USC24285Y410=
2023-03-16,94.554,94.639,USC24285Y410=
2023-03-17,95.113,95.199,USC24285Y410=
2023-03-20,94.964,95.049,USC24285Y410=
2023-03-21,94.559,94.644,USC24285Y410=
2023-03-22,94.919,95.004,USC24285Y410=
2023-03-23,95.162,95.247,USC24285Y410=
