Date,BID,ASK,RIC
2023-05-25,98.8956,99.3448,USD4S46MLM53=RRPS
2023-05-26,98.9068,99.356,USD4S46MLM53=RRPS
2023-05-29,98.8754,99.3245,USD4S46MLM53=RRPS
2023-05-30,99.487,99.6224,USD4S46MLM53=RRPS
2023-05-31,99.7065,99.8422,USD4S46MLM53=RRPS
2023-06-01,99.9257,100.0616,USD4S46MLM53=RRPS
2023-06-02,99.2824,99.4172,USD4S46MLM53=RRPS
2023-06-05,99.3293,99.4641,USD4S46MLM53=RRPS
2023-06-06,99.3296,99.4643,USD4S46MLM53=RRPS
2023-06-07,98.8743,99.0082,USD4S46MLM53=RRPS
2023-06-08,99.251,99.3853,USD4S46MLM53=RRPS
2023-06-09,98.9364,99.0702,USD4S46MLM53=RRPS
2023-06-12,99.0617,99.1956,USD4S46MLM53=RRPS
2023-06-13,98.5754,98.7085,USD4S46MLM53=RRPS
2023-06-14,98.5126,98.6455,USD4S46MLM53=RRPS
2023-06-15,98.9841,99.1175,USD4S46MLM53=RRPS
2023-06-16,98.653,98.7858,USD4S46MLM53=RRPS
2023-06-19,98.4648,98.5973,USD4S46MLM53=RRPS
2023-06-20,98.794,98.927,USD4S46MLM53=RRPS
2023-06-21,98.9868,99.12,USD4S46MLM53=RRPS
2023-06-22,98.6106,98.743,USD4S46MLM53=RRPS
2023-06-23,98.7816,98.9142,USD4S46MLM53=RRPS
2023-06-26,98.9699,99.1027,USD4S46MLM53=RRPS
2023-06-27,98.6513,98.7836,USD4S46MLM53=RRPS
2023-06-28,98.9127,99.0453,USD4S46MLM53=RRPS
2023-06-29,98.2095,98.3408,USD4S46MLM53=RRPS
2023-06-30,98.2413,98.3725,USD4S46MLM53=RRPS
2023-07-03,97.9351,98.0658,USD4S46MLM53=RRPS
2023-07-04,98.0271,98.1579,USD4S46MLM53=RRPS
2023-07-05,97.7365,97.8668,USD4S46MLM53=RRPS
2023-07-06,97.2031,97.3324,USD4S46MLM53=RRPS
2023-07-07,97.2485,97.3778,USD4S46MLM53=RRPS
2023-07-10,97.7091,97.839,USD4S46MLM53=RRPS
2023-07-11,97.7251,97.855,USD4S46MLM53=RRPS
2023-07-12,98.4464,98.5773,USD4S46MLM53=RRPS
2023-07-13,99.0611,99.1928,USD4S46MLM53=RRPS
2023-07-14,98.6176,98.7485,USD4S46MLM53=RRPS
2023-07-17,98.7102,98.8412,USD4S46MLM53=RRPS
2023-07-18,98.7569,98.8879,USD4S46MLM53=RRPS
2023-07-19,98.8802,99.0113,USD4S46MLM53=RRPS
2023-07-20,98.3765,98.5067,USD4S46MLM53=RRPS
2023-07-21,98.3769,98.507,USD4S46MLM53=RRPS
