Date,BID,ASK,RIC
2021-12-17,99.769,100.197,USP09376DD69=
2021-12-20,99.581,100.008,USP09376DD69=
2021-12-21,99.275,99.701,USP09376DD69=
2021-12-22,98.792,99.215,USP09376DD69=
2021-12-23,98.447,98.868,USP09376DD69=
2021-12-24,98.459,98.88,USP09376DD69=
2021-12-27,98.574,98.995,USP09376DD69=
2021-12-28,98.532,98.953,USP09376DD69=
2021-12-29,97.914,98.332,USP09376DD69=
2021-12-30,98.34,98.76,USP09376DD69=
2021-12-31,98.282,98.701,USP09376DD69=
2022-01-03,98.532,98.952,USP09376DD69=
2022-01-04,98.448,98.868,USP09376DD69=
2022-01-05,97.989,98.407,USP09376DD69=
2022-01-06,97.774,98.19,USP09376DD69=
2022-01-07,97.451,97.866,USP09376DD69=
2022-01-10,97.567,97.982,USP09376DD69=
2022-01-11,97.626,98.041,USP09376DD69=
2022-01-12,97.651,98.066,USP09376DD69=
2022-01-13,98.06,98.477,USP09376DD69=
2022-01-14,97.298,97.712,USP09376DD69=
2022-01-17,97.093,97.505,USP09376DD69=
2022-01-18,96.609,97.019,USP09376DD69=
2022-01-19,97.246,97.659,USP09376DD69=
2022-01-20,97.365,97.778,USP09376DD69=
2022-01-21,96.679,97.088,USP09376DD69=
2022-01-24,96.639,97.048,USP09376DD69=
2022-01-25,96.639,97.049,USP09376DD69=
2022-01-26,95.852,96.257,USP09376DD69=
2022-01-27,96.422,96.829,USP09376DD69=
2022-01-28,97.23,97.641,USP09376DD69=
2022-01-31,97.173,97.584,USP09376DD69=
2022-02-01,96.427,96.834,USP09376DD69=
2022-02-02,96.59,96.999,USP09376DD69=
2022-02-03,96.234,96.64,USP09376DD69=
2022-02-04,95.573,95.976,USP09376DD69=
2022-02-07,95.55,95.952,USP09376DD69=
2022-02-08,95.198,95.599,USP09376DD69=
2022-02-09,95.234,95.635,USP09376DD69=
2022-02-10,94.442,94.839,USP09376DD69=
2022-02-11,95.667,96.069,USP09376DD69=
2022-02-14,95.338,95.739,USP09376DD69=
2022-02-15,94.9,95.299,USP09376DD69=
2022-02-16,94.625,95.022,USP09376DD69=
2022-02-17,95.194,95.594,USP09376DD69=
