Date,BID,ASK,RIC
2022-12-22,74.88,75.727,XS229296582=
2022-12-23,73.195,74.019,XS229296582=
2022-12-26,73.178,74.002,XS229296582=
2022-12-27,72.149,72.959,XS229296582=
2022-12-28,71.821,72.626,XS229296582=
2022-12-29,72.489,73.303,XS229296582=
2022-12-30,71.787,72.591,XS229296582=
2023-01-02,72.251,73.062,XS229296582=
2023-01-03,73.042,73.863,XS229296582=
2023-01-04,73.649,74.479,XS229296582=
2023-01-05,72.042,72.849,XS229296582=
2023-01-06,73.233,74.057,XS229296582=
2023-01-09,73.689,74.519,XS229296582=
2023-01-10,72.708,73.524,XS229296582=
2023-01-11,73.45,74.276,XS229296582=
2023-01-12,74.411,75.25,XS229296582=
2023-01-13,74.087,74.921,XS229296582=
2023-01-16,73.496,74.322,XS229296582=
2023-01-17,73.591,74.418,XS229296582=
2023-01-18,75.298,76.149,XS229296582=
2023-01-19,75.024,75.871,XS229296582=
2023-01-20,74.157,74.992,XS229296582=
2023-01-23,73.848,74.678,XS229296582=
2023-01-24,74.65,75.491,XS229296582=
2023-01-25,74.669,75.51,XS229296582=
2023-01-26,74.175,75.009,XS229296582=
2023-01-27,74.314,75.15,XS229296582=
2023-01-30,74.042,74.874,XS229296582=
2023-01-31,74.245,75.08,XS229296582=
2023-02-01,74.997,75.842,XS229296582=
2023-02-02,75.288,76.137,XS229296582=
2023-02-03,74.281,75.116,XS229296582=
2023-02-06,73.507,73.64,XS229296582=
2023-02-07,73.116,73.249,XS229296582=
2023-02-08,73.572,73.706,XS229296582=
2023-02-09,73.019,73.151,XS229296582=
2023-02-10,72.255,72.386,XS229296582=
2023-02-13,72.808,72.94,XS229296582=
2023-02-14,72.591,72.722,XS229296582=
2023-02-15,71.947,72.077,XS229296582=
2023-02-16,71.316,71.444,XS229296582=
2023-02-17,71.771,71.9,XS229296582=
2023-02-20,71.642,71.771,XS229296582=
2023-02-21,70.59,70.717,XS229296582=
2023-02-22,71.007,71.135,XS229296582=
2023-02-23,71.324,71.452,XS229296582=
2023-02-24,70.701,70.828,XS229296582=
2023-02-27,70.749,70.876,XS229296582=
2023-02-28,70.744,70.871,XS229296582=
2023-03-01,70.238,70.364,XS229296582=
2023-03-02,69.621,69.746,XS229296582=
2023-03-03,70.792,70.919,XS229296582=
