Date,BID,ASK,RIC
2023-01-27,99.0,100.0,XS2533125725=TE
2023-01-30,98.814,100.0,XS2533125725=TE
2023-01-31,98.825,100.0,XS2533125725=TE
2023-02-01,98.916,100.0,XS2533125725=TE
2023-02-02,98.859,100.0,XS2533125725=TE
2023-02-03,,100.0,XS2533125725=TE
2023-02-06,98.89,100.0,XS2533125725=TE
2023-02-07,98.89,100.0,XS2533125725=TE
2023-02-08,98.888,100.0,XS2533125725=TE
2023-02-09,98.897,100.0,XS2533125725=TE
2023-02-10,98.791,100.0,XS2533125725=TE
2023-02-13,98.894,100.0,XS2533125725=TE
2023-02-14,98.887,100.0,XS2533125725=TE
2023-02-15,98.786,100.0,XS2533125725=TE
2023-02-16,98.902,100.0,XS2533125725=TE
2023-02-17,98.896,100.0,XS2533125725=TE
2023-02-20,98.897,100.0,XS2533125725=TE
2023-02-21,98.89,100.0,XS2533125725=TE
2023-02-22,98.789,100.0,XS2533125725=TE
2023-02-27,98.887,100.0,XS2533125725=TE
2023-02-28,98.776,100.0,XS2533125725=TE
2023-03-01,98.77,99.27,XS2533125725=TE
2023-03-02,98.776,99.276,XS2533125725=TE
2023-03-03,,99.281,XS2533125725=TE
2023-03-06,98.783,99.283,XS2533125725=TE
2023-03-07,98.734,99.234,XS2533125725=TE
2023-03-08,98.713,99.213,XS2533125725=TE
2023-03-09,98.863,99.613,XS2533125725=TE
2023-03-10,,99.315,XS2533125725=TE
2023-03-13,,99.591,XS2533125725=TE
2023-03-14,99.32,100.0,XS2533125725=TE
2023-03-15,99.851,100.0,XS2533125725=TE
2023-03-20,99.791,100.0,XS2533125725=TE
2023-03-21,99.717,100.0,XS2533125725=TE
2023-03-22,98.72,100.0,XS2533125725=TE
2023-03-23,98.471,100.0,XS2533125725=TE
2023-03-24,97.754,100.0,XS2533125725=TE
2023-03-27,98.74,100.0,XS2533125725=TE
2023-03-28,98.404,100.0,XS2533125725=TE
2023-03-29,98.646,100.0,XS2533125725=TE
2023-03-30,98.324,100.0,XS2533125725=TE
2023-03-31,98.285,100.0,XS2533125725=TE
2023-04-03,98.454,99.572,XS2533125725=TE
2023-04-04,99.057,99.807,XS2533125725=TE
2023-04-06,98.231,,XS2533125725=TE
2023-04-11,98.618,100.0,XS2533125725=TE
2023-04-12,98.24,100.0,XS2533125725=TE
2023-04-18,98.597,99.441,XS2533125725=TE
2023-04-19,98.626,99.446,XS2533125725=TE
2023-04-20,98.664,99.471,XS2533125725=TE
2023-04-21,98.31,99.481,XS2533125725=TE
2023-04-24,98.303,99.482,XS2533125725=TE
2023-04-25,98.698,99.501,XS2533125725=TE
2023-04-26,98.726,99.512,XS2533125725=TE
2023-04-27,98.695,99.516,XS2533125725=TE
2023-04-28,98.487,,XS2533125725=TE
2023-05-02,98.764,99.558,XS2533125725=TE
2023-05-03,99.027,99.777,XS2533125725=TE
2023-05-04,99.046,99.796,XS2533125725=TE
2023-05-05,99.039,99.789,XS2533125725=TE
2023-05-08,99.041,99.791,XS2533125725=TE
2023-05-09,99.041,99.791,XS2533125725=TE
2023-05-10,99.048,99.798,XS2533125725=TE
2023-05-11,99.061,99.811,XS2533125725=TE
2023-05-12,98.834,100.0,XS2533125725=TE
2023-05-15,98.779,100.0,XS2533125725=TE
2023-05-16,99.061,99.811,XS2533125725=TE
2023-05-17,99.062,99.812,XS2533125725=TE
2023-05-18,99.07,99.82,XS2533125725=TE
2023-05-19,98.892,99.651,XS2533125725=TE
2023-05-22,99.0,99.823,XS2533125725=TE
2023-05-23,98.796,100.0,XS2533125725=TE
2023-05-24,98.905,99.649,XS2533125725=TE
2023-05-25,98.908,99.662,XS2533125725=TE
2023-05-26,98.764,100.0,XS2533125725=TE
