Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,1144000000,12880000000,-245000000,146000000,12908000000,177000000,,702000000,10857000000,-155000000,-60000000,,,,,,,177000000,,1000000,-116000000,817000000,,,284000000,,11141000000,,,,,,,,-284000000,-13000000,10262000000,-155000000,,,,,,-90000000,,,-90000000,206000000,206000000,-60000000,,,,,,,127000000,7378000000,20286000000,4295866679
2011-12-31,579000000,-11066000000,-49000000,-91000000,-11101000000,167000000,,1989000000,-13801000000,-130000000,-333000000,,,,186000000,186000000,,167000000,,0,-48000000,2037000000,,,236000000,,-13565000000,,,,,,,,-236000000,-59000000,9176000000,-130000000,,,,,,81000000,,,81000000,56000000,56000000,-333000000,,,,,,,105000000,20286000000,9185000000,4295866679
2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295866679
2012-12-31,722000000,4119000000,-29000000,478000000,4560000000,168000000,,-60000000,3289000000,-98000000,-210000000,,,,,,,168000000,,17000000,-51000000,-26000000,,,37000000,,3326000000,,,,,,,,-37000000,8000000,-1346000000,-98000000,,,,,,69000000,,,69000000,688000000,688000000,-210000000,,,,,,,-8000000,9185000000,13745000000,4295866679
2013-12-31,851000000,7042000000,-80000000,-1030000000,5787000000,164000000,,-341000000,6368000000,-98000000,-239000000,,,,,,,164000000,,18000000,-65000000,-294000000,,,287000000,,6655000000,,,,,,,,-287000000,-32000000,3563000000,-98000000,,,,,,18000000,,,18000000,-791000000,-791000000,-239000000,,,,,,,-145000000,13745000000,19532000000,4295866679
2014-12-31,1124000000,8621000000,-62000000,-390000000,8587000000,157000000,,63000000,7277000000,-59000000,-264000000,,,,-169000000,-169000000,,157000000,,-18000000,-189000000,270000000,,,297000000,,7574000000,,,,,,,,-297000000,22000000,9944000000,-59000000,,,,,,-3000000,,,-3000000,43000000,43000000,-264000000,,,,,,,418000000,19532000000,28119000000,4295866679
2015-12-31,1117000000,2653000000,-61000000,-819000000,2198000000,180000000,,3000000,1353000000,-113000000,-302000000,,,,-561000000,-561000000,,180000000,,53000000,-138000000,88000000,,,434000000,,1787000000,,,,,,,,-434000000,-16000000,5496000000,-113000000,,,,,,52000000,,,52000000,44000000,44000000,-302000000,,,,,,,425000000,28119000000,30317000000,4295866679
2016-12-31,1361000000,4009000000,-103000000,950000000,4956000000,135000000,,114000000,2399000000,-81000000,-321000000,,,,1223000000,1223000000,,135000000,,4000000,-136000000,246000000,,,579000000,,2978000000,,,,,,,,-579000000,7000000,111000000,-81000000,,,,,,-22000000,,,-22000000,48000000,48000000,-321000000,,,,,,,100000000,30317000000,35273000000,4295866679
2017-12-31,1288000000,-7094000000,-147000000,1750000000,-5723000000,133000000,,-139000000,-8376000000,-89000000,-340000000,,,,2045000000,2045000000,,133000000,,3000000,-135000000,-7000000,,,682000000,,-7694000000,,,,,,,,-682000000,-2000000,-6198000000,-89000000,,,,,,-58000000,,,-58000000,45000000,45000000,-340000000,,,,,,,-232000000,35273000000,29550000000,4295866679
2018-12-31,1395000000,8212000000,-17000000,292000000,8568000000,119000000,,-358000000,7056000000,-95000000,-945000000,,,,1187000000,1187000000,,119000000,,1000000,-198000000,-161000000,,,461000000,,7517000000,,,,,,,,-461000000,-4000000,6016000000,-95000000,,,,,,78000000,,,78000000,50000000,50000000,-945000000,,,,,,,81000000,29550000000,38118000000,4295866679
