Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,4302000000,5380000000,-2455000000,-1897000000,1028000000,2910000000,,8130000000,-10079000000,-2616000000,,,,,,,,2910000000,,-5341000000,-119000000,13590000000,,,,,-10079000000,,,,-15000000,,86000000,,,-142000000,-12936000000,-2616000000,,,,,,161000000,,,161000000,-1897000000,-1897000000,,,,,,,,,17609000000,18637000000,5000039357
2011-12-31,2788000000,37928000000,-1979000000,-3974000000,31975000000,3131000000,,2045000000,29611000000,-3915000000,,,,,,,,3131000000,,-4434000000,-94000000,6573000000,,,,,29611000000,,,,80000000,,672000000,,,-190000000,19778000000,-3915000000,,,,,,1936000000,,,1936000000,-3974000000,-3974000000,,,,,,,,,18637000000,50612000000,5000039357
2012-12-31,1224000000,29820000000,-3004000000,-3077000000,23739000000,3262000000,,5318000000,20803000000,-4033000000,,,,,,,,3262000000,,-2566000000,-154000000,8038000000,,,,,20802000000,,,,40000000,,559000000,,1000000,454000000,28997000000,-4033000000,,,,,,1029000000,,,1029000000,-3077000000,-3077000000,,,,,,,,,50612000000,74351000000,5000039357
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000039357
2013-12-31,2394000000,2608000000,-3057000000,-532000000,-981000000,3344000000,,6098000000,-8566000000,-3823000000,-115000000,,,,,,,3344000000,,-3754000000,-61000000,9913000000,,,,,-8566000000,,,,-57000000,,-225000000,,,-621000000,-15297000000,-3823000000,,,,,,766000000,,,766000000,-417000000,-417000000,-115000000,,,,,,,,72480000000,71499000000,5000039357
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000039357
2014-12-31,2978000000,-13585000000,726000000,2676000000,-10183000000,3421000000,,5378000000,-25546000000,-3407000000,,,,,,,,3421000000,,-4481000000,-213000000,10072000000,,,,,-25546000000,,,,-20000000,,-38000000,,,-317000000,2051000000,-3407000000,,,,,,4133000000,,,4133000000,2676000000,2676000000,,,,,,,,,71499000000,61316000000,5000039357
2015-12-31,4395000000,21115000000,-2505000000,2882000000,21492000000,3597000000,,748000000,11724000000,-4502000000,-943000000,,,,,,,3597000000,,-7275000000,-231000000,8254000000,,,,,11724000000,,,,150000000,,558000000,,,-337000000,8935000000,-4502000000,,,,,,1997000000,,,1997000000,3825000000,3825000000,-943000000,,,,,,,,61316000000,82808000000,5000039357
2016-12-31,4338000000,22730000000,-4237000000,-51000000,18442000000,3876000000,,1550000000,12311000000,-5531000000,-1596000000,,,,,,,3876000000,,-5760000000,-129000000,7439000000,,,,,12311000000,,,,,,,,,-716000000,19652000000,-5531000000,,,,,,1294000000,,,1294000000,1545000000,1545000000,-1596000000,,,,,,,,82808000000,101250000000,5000039357
2017-12-31,3430000000,28398000000,-6208000000,-4167000000,18023000000,4283000000,,-730000000,20742000000,-5928000000,-1762000000,,,,,,,4283000000,,-5113000000,-92000000,4475000000,,,,,20742000000,,,,,,,,,-110000000,204000000,-5928000000,,,,,,-280000000,,,-280000000,-2405000000,-2405000000,-1762000000,,,,,,,,101250000000,119273000000,5000039357
