Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,337000000,-2942000000,60000000,3392000000,510000000,2000000,,50000000,-3331000000,-1000000,-139000000,,,,-24098000000,3531000000,,2000000,,52000000,-2000000,,,,37000000,,-3298000000,,,,,,,72000000,-33000000,884000000,-3803000000,-1000000,,,,,1437000000,,-1376000000,,61000000,,,-139000000,,,,,-24015000000,27629000000,,565000000,1075000000,4295884742
2011-12-31,339000000,1300000000,832000000,1815000000,3947000000,2000000,,107000000,852000000,0,-128000000,,,,-25410000000,1943000000,,2000000,,107000000,0,,,,104000000,,955000000,,,,,,,2676000000,-103000000,-322000000,-904000000,0,,,,,3364000000,,-2532000000,,832000000,,,-128000000,,,,,-25406000000,27353000000,,1075000000,5022000000,4295884742
2012-12-31,460000000,-670000000,-139000000,-1380000000,-2189000000,1000000,,-43000000,-1088000000,,-64000000,,,,-26675000000,-1316000000,,1000000,,-43000000,,,,,28000000,,-1028000000,,,,,,,619000000,-60000000,-990000000,-123000000,,,,,,2005000000,,-2144000000,,-139000000,,,-64000000,,,,,-26610000000,25359000000,,5022000000,2833000000,4295884742
2013-12-31,397000000,-774000000,17000000,-607000000,-1364000000,2000000,,90000000,-1263000000,,-83000000,,,,-54407000000,-137000000,,2000000,,90000000,,,,,216000000,,-1014000000,,,,,,,-1255000000,-249000000,-124000000,864000000,,,,,,3995000000,,-3978000000,,17000000,-387000000,-387000000,-83000000,,,,,-54405000000,54270000000,,2833000000,1469000000,4295884742
2014-12-31,179000000,-988000000,-1968000000,3727000000,771000000,2000000,,213000000,-1382000000,,-71000000,,,,-45686000000,3918000000,,2000000,,213000000,,,,,128000000,,-1254000000,,,,,,,1196000000,-128000000,927000000,-3370000000,,,,,,2086000000,,-4053000000,-1000000,-1968000000,-120000000,-120000000,-71000000,,,,,-45683000000,49604000000,,1469000000,2240000000,4295884742
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295884742
2015-12-31,314000000,5784000000,268000000,-5116000000,936000000,2000000,,114000000,5354000000,-2000000,-32000000,,,,-74811000000,-5039000000,,2000000,,114000000,,,,,19000000,,5373000000,,,,,,,-929000000,-19000000,4684000000,1704000000,-2000000,,,,0,944000000,,-674000000,,270000000,-45000000,-45000000,-32000000,,,,,-74810000000,69772000000,,2240000000,3176000000,4295884742
2016-12-31,503000000,2449000000,-652000000,1448000000,3245000000,2000000,,-85000000,2029000000,-3000000,-57000000,,,,-149746000000,1749000000,,2000000,,-85000000,,,,,110000000,8000000,2139000000,,,,,,,554000000,-110000000,1418000000,442000000,-3000000,,,,77000000,1841000000,,-2567000000,,-649000000,-244000000,-244000000,-57000000,,,,,-149745000000,151495000000,,3176000000,6421000000,4295884742
2017-12-31,536000000,-4589000000,1702000000,-535000000,-3422000000,2000000,,-139000000,-4988000000,-3000000,-91000000,,,,-223077000000,-249000000,,2000000,,-139000000,,,,,157000000,23000000,-4831000000,,,,,,,-1748000000,-157000000,-843000000,-2024000000,-3000000,,,,0,5267000000,,-3562000000,,1705000000,-195000000,-195000000,-91000000,,,,,-223076000000,222828000000,,6421000000,2999000000,4295884742
2018-12-31,459000000,3255000000,-1320000000,-3343000000,-1408000000,3000000,,-76000000,2869000000,-3000000,-141000000,,,,-316234000000,-2992000000,,3000000,,-76000000,,,,,140000000,25000000,3009000000,,,,,,,2190000000,-140000000,1323000000,-178000000,-3000000,,,,29000000,1612000000,,-2958000000,,-1317000000,-210000000,-210000000,-141000000,,,,,-316234000000,313242000000,,2999000000,1591000000,4295884742
2019-12-31,227000000,-5412000000,224000000,4873000000,-315000000,3000000,,140000000,-5782000000,-3000000,-159000000,,,,-396691000000,5188000000,,3000000,,140000000,,,,,86000000,25000000,-5696000000,,,,,,,-2126000000,-86000000,626000000,-3964000000,-3000000,,,,0,3831000000,,-3604000000,,227000000,-156000000,-156000000,-159000000,,,,,-396691000000,401879000000,,1591000000,1276000000,4295884742
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295884742
2020-12-31,332000000,2852000000,-154000000,-1659000000,1039000000,3000000,,71000000,2446000000,-2000000,0,,,,-221405000000,-1626000000,,3000000,,71000000,,,,,71000000,25000000,2517000000,,,,,,,-5692000000,-71000000,-1416000000,9835000000,-2000000,,,,,6872000000,,-7024000000,,-152000000,-33000000,-33000000,0,,,,,-221405000000,219779000000,,1276000000,2315000000,4295884742
2021-12-31,350000000,6606000000,1326000000,-961000000,6971000000,3000000,,-25000000,6278000000,-1000000,-172000000,,,,-285481000000,-410000000,,3000000,,-25000000,,,,,81000000,25000000,6359000000,,,,,,,5228000000,-81000000,574000000,951000000,-1000000,,,,,10508000000,,-9181000000,,1327000000,-379000000,-379000000,-172000000,,,,7500000000,-292980000000,285071000000,,2315000000,9286000000,4295884742
