RIC,Month,Year,Credit_spread
00135TAA2=,10,2018,0.01748
00135TAA2=,11,2018,0.0183
00135TAA2=,12,2018,0.02203
00135TAA2=,1,2019,0.024544999999999997
00135TAA2=,2,2019,0.02254
00135TAA2=,3,2019,0.01965
00135TAA2=,4,2019,0.01836
00135TAA2=,5,2019,0.01591
00135TAA2=,6,2019,0.01879
00135TAA2=,7,2019,0.01678
00135TAA2=,8,2019,0.015985
00135TAA2=,9,2019,0.01854
00135TAA2=,10,2019,0.01637
00135TAA2=,11,2019,0.012709999999999999
00135TAA2=,12,2019,0.01112
00135TAA2=,1,2020,0.01091
00135TAA2=,2,2020,0.00995
00135TAA2=,3,2020,0.01327
00135TAA2=,4,2020,0.04459
00135TAA2=,5,2020,0.034255
00135TAA2=,6,2020,0.02827
00135TAA2=,7,2020,0.02066
00135TAA2=,8,2020,0.01651
00135TAA2=,9,2020,0.01468
00135TAA2=,10,2020,0.017235
00135TAA2=,11,2020,0.01499
00135TAA2=,12,2020,0.01006
00135TAA2=,1,2021,0.01006
00135TAA2=,2,2021,0.008199999999999999
00135TAA2=,3,2021,0.007005
00135TAA2=,4,2021,0.008265
00135TAA2=,5,2021,0.007315
00135TAA2=,6,2021,0.006920000000000001
00135TAA2=,7,2021,0.006030000000000001
00135TAA2=,8,2021,0.006319999999999999
00135TAA2=,9,2021,0.007469999999999999
00135TAA2=,10,2021,0.00686
00135TAA2=,11,2021,0.0066549999999999995
00135TAA2=,12,2021,0.00719
00135TAA2=,1,2022,0.00681
00135TAA2=,2,2022,0.00887
00135TAA2=,3,2022,0.01196
00135TAA2=,4,2022,0.01551
00135TAA2=,5,2022,0.01818
00135TAA2=,6,2022,0.01951
00135TAA2=,7,2022,0.019365
00135TAA2=,8,2022,0.01971
00135TAA2=,9,2022,0.019995
00135TAA2=,10,2022,0.023855
00135TAA2=,11,2022,0.03192
00135TAA2=,12,2022,0.01627
00135TAA2=,1,2023,0.01971
00135TAA2=,2,2023,0.01049
00135TAA2=,3,2023,0.005415
00135TAA2=,4,2023,0.007845
00135TAA2=,5,2023,0.006345
00135TAA2=,6,2023,0.00734
00135TAA2=,7,2023,0.01738
00971YAF7=,3,2015,0.03271
00971YAF7=,4,2015,0.03416
00971YAF7=,5,2015,0.03378
00971YAF7=,6,2015,0.03336
00971YAF7=,7,2015,0.03362
00971YAF7=,8,2015,0.03348
00971YAF7=,9,2015,0.03796
00971YAF7=,10,2015,0.04143
