Date,Total Revenue,Gross Profit,Total Operating Expense,Operating Income,Net Income Before Taxes,Net Income Incl Extra Before Distributions,Income Avail to Cmn Shareholders Excl Extra,Income Avail to Cmn Shareholders Incl Extra,Normalized Income Before Taxes,Normalized Income After Taxes,Normalized Income Avail to Cmn Shareholders,Total Interest Expenses,Net Interest Income,Net Interest Income After Loan Loss Provision,Revenue,Revenue,"Cost of Revenue, Total","Selling/General/Administrative Expense, Total",Depreciation And Amortization,Interest/Investment Income - Operating,"Interest Expense (Income), Net-Operating, Ttl",Unusual Expense (Income),"Other Operating Expenses, Total","Interest Expense, Net Non-Operating",Interest/Invest Income - Non-Operating,"Interest Income (Expense), Net-Non-Operating, Total","Non-Interest Income, Bank",Labor And Related Expense,"Non-Interest Expense, Bank","Other, Net - Non-Operating",Total Adjustments to Net Income,Basic Weighted Average Shares,Basic EPS Excluding Extraordinary Items,Basic EPS Including Extraordinary Items,Diluted Net Income,Diluted Weighted Average Shares,Diluted EPS Excluding Extraordinary Items,Diluted EPS Including Extraordinary Items,Dilution Adjustment,Total Special Items,Effect of Special Items on Income Taxes,"Gross Margin, Percent","Operating Margin, Percent","Pretax Margin, Percent","Effective Tax Rate, (%)","Net Profit Margin, (%)",Normalized EBIT,Normalized EBITDA,Bank Total Revenue,Net Sales,Interest & Fees on Loans,Interest And Dividends on Investment Secs,Interest on Deposits,Other Interest Income,"Interest Income, Bank",Cost of Revenue,Cost of Revenue,Interest on Deposit,Interest on Other Borrowings,Loan Loss Provision,Selling/General/Administrative Expense,Advertising Expense,"Depreciation, Operating","Amortization of Intangibles, Operating",Investment Income - Operating,Impairment - Assets Held for Use,Impairment - Assets Held for Sale,Other Unusual Expense (Income),Other Operating Expense,"Other, Net - Operating",Interest Expense - Non-Operating,Interest Income - Non-Operating,Investment Income - Non-Operating,Gain (Loss) on Sale of Assets,Fees & Commissions from Operations,Investment Securities Gains,Foreign Currency Gains,Other Unusual Income,Other Revenue,Depreciation Expense,Other Unusual Expense,Other Expense,Other Non-Operating Income (Expense),Provision for Income Taxes,Net Income After Taxes,Minority Interest,Net Income Before Extraordinary Items,Miscellaneous Earnings Adjustment,DPS - Common Stock Primary Issue,Gross Dividends - Common Stock,"Interest Expense, Supplemental","Depreciation, Supplemental","Advertising Expense, Supplemental","Stock-Based Compensation, Supplemental",Income Tax Excluding Impact of Special Items,Basic Normalized EPS,Diluted Normalized EPS,"Amort of Intangibles, Supplemental","Rental Expense, Supplemental","Equity in Affiliates, Supplemental","Minority Interest, Supplemental","Audit Fees, Supplemental","Audit-Related Fees, Supplemental","All Other Fees Paid to Auditor, Supplemental",Current Tax - Domestic,Current Tax - Other,Current Tax - Total,Current Tax - Total,Deferred Tax - Domestic,Deferred Tax(No Breakdown)-Total,Deferred Tax - Total,Other Tax,Income Tax - Total,Interest Cost - Domestic,Service Cost - Domestic,Expected Return on Assets - Domestic,Actuarial Gains and Losses - Domestic,Domestic Pension Plan Expense,Defined Contribution Expense - Domestic,Total Pension Expense,Total Plan Interest Cost,Total Plan Service Cost,Total Plan Expected Return,OAPermID
2011-03-31,,,,,861009000000,719799000000,701255000000,701255000000,866509000000,791556906000,709684906000,368686000000,1545667000000,1270788000000,,2902598000000,,,,,,,,,,,1356931000000,,-1766710000000,,-18544000000,12350038000,56.78161,56.78161,701255000000,12350038000,56.78161,56.78161,0,5500000000,-2929906000,,,44.9765,9.04543,36.63144,,,2902598000000,,1214377000000,488556000000,26236000000,185184000000,1914353000000,,,205569000000,163117000000,274879000000,,,,,,,,,,,,,,,649116000000,76041000000,,61080000000,454488000000,,-28689000000,-1613554000000,,77882000000,783127000000,-63328000000,719799000000,-4000000,19.96,246506000000,,151352000000,,,74952094000,57.46419,57.46419,,,,-63328000000,3440000000,8000000,10000000,,,,,,,,,,35141000000,32196000000,-49739000000,33234000000,57102000000,,57102000000,35141000000,32196000000,-49739000000,4295878360
2012-03-31,,,,,918060000000,544325000000,525846000000,525846000000,946109000000,625719505000,549182505000,359617000000,1496439000000,1315199000000,,2949267000000,,,,,,,,,,,1452828000000,,-1849967000000,,-18479000000,12350038000,42.57849,42.57849,525846000000,12350038000,42.57849,42.57849,0,28049000000,4712495000,,,49.46295,34.38523,28.33137,,,2949267000000,,1198182000000,520923000000,35583000000,101368000000,1856056000000,,,186025000000,173592000000,181240000000,,,,,,,,,,,,,,,653077000000,59334000000,,12923000000,600732000000,,-26628000000,-1694155000000,,315677000000,602383000000,-58058000000,544325000000,-1000000,11.64,143753000000,,155843000000,,,320389495000,44.46808,44.46808,,,,-58058000000,3349000000,13000000,8000000,,,,,,,,,,33587000000,32121000000,-50082000000,41835000000,62590000000,,62590000000,33587000000,32121000000,-50082000000,4295878360
2013-03-31,,,,,1072922000000,673524000000,655469000000,655469000000,1085803000000,747188944000,668977944000,402934000000,1503666000000,1270289000000,,3032842000000,,,,,,,,,,,1529176000000,,-1726543000000,,-18055000000,12350038000,53.07425,53.07425,655466000000,12350038000,53.07401,53.07401,-3000000,12881000000,-627944000,,,56.2741,31.61851,34.37895,,,3032842000000,,1263266000000,530360000000,26899000000,86075000000,1906600000000,,,198858000000,204076000000,233377000000,,,,,,,,,,,,,,,697282000000,,,16471000000,672667000000,,-14485000000,-1712058000000,,339242000000,733680000000,-60156000000,673524000000,-10000000,11.19,138196000000,,170397000000,,,338614056000,54.16809,54.16784,,,,-60156000000,3598000000,13000000,10000000,,,,,,,,,,,,,,,,,,,,4295878360
2014-03-31,,,,,1196770000000,754325000000,736383000000,736383000000,1235908000000,849212235000,768926235000,397225000000,1564773000000,1410219000000,,3219190000000,,,,,,,,,,,1654417000000,,-1867866000000,,-17942000000,12350038000,59.62597,59.62597,736380000000,12350038000,59.62573,59.62573,-3000000,39138000000,6594765000,,,60.99751,31.76057,37.5323,,,3219190000000,,1325761000000,507454000000,42424000000,86359000000,1961998000000,,,205892000000,191333000000,154554000000,,,,,,,,,,,,,,,746761000000,,,16994000000,766272000000,,-37758000000,-1830108000000,,380101000000,816669000000,-62344000000,754325000000,-2000000,17.85,220447000000,,181469000000,,,386695765000,62.26104,62.2608,,,,-62344000000,4136000000,15000000,5000000,,,,,,,,,,,,,,,,,,,,4295878360
2015-03-31,,,,,1152901000000,731624000000,731622000000,731622000000,1238120000000,870313395000,796270395000,512182000000,1872744000000,1732465000000,,3520847000000,,,,,,,,,,,1648103000000,,-2227667000000,,-2000000,12350038000,59.24047,59.24047,731615000000,12350038000,59.2399,59.2399,-7000000,85219000000,20570605000,,,48.34116,30.11846,30.67693,,,3520847000000,,1566856000000,555113000000,57924000000,205033000000,2384926000000,,,307137000000,205045000000,140279000000,,,,,,,,,,,,,,,897385000000,114291000000,,4091000000,483025000000,,-72390000000,-2155277000000,,347236000000,805665000000,-74041000000,731624000000,-2000000,26.3,324805000000,,224836000000,,,367806605000,64.47514,64.47457,,,,-74041000000,4924000000,92000000,6000000,,,,,,,,,,33984000000,43685000000,-59906000000,30912000000,51773000000,,51773000000,33984000000,43685000000,-59906000000,4295878360
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295878360
2016-03-31,,,,,1099405000000,685838000000,685835000000,685835000000,1099645000000,754440070000,691077070000,535639000000,1788132000000,1666467000000,,3535101000000,,,,,,,,,,,1746969000000,,-2314031000000,,-3000000,12350038000,55.53303,55.53303,685823000000,12350038000,55.53206,55.53206,-12000000,240000000,-5002070000,,,47.31125,31.85423,29.51388,,,3535101000000,,1534360000000,530969000000,71776000000,186666000000,2323771000000,,,303304000000,232335000000,121665000000,,,,,,,,,,,,,,,890196000000,,,36950000000,684194000000,,-21247000000,-2292784000000,,350207000000,749198000000,-63360000000,685838000000,-3000000,16.36,202046000000,,212656000000,,,345204930000,55.95749,55.95651,,,,-63360000000,4887000000,100000000,5000000,,,,,,,,,,31465000000,50297000000,-64187000000,30673000000,47884000000,,47884000000,31465000000,50297000000,-64187000000,4295878360
2017-03-31,,,,,989544000000,689934000000,689929000000,689929000000,1007554000000,761801727000,707316727000,722423000000,1712864000000,1712864000000,,3531818000000,,,,,,,,,,,1818954000000,,-2542274000000,,-5000000,12350038000,55.86452,55.86452,689913000000,12350038000,55.86323,55.86323,-16000000,18010000000,622273000,,,40.63357,24.77202,28.3305,,,3531818000000,,1584323000000,578259000000,71879000000,200826000000,2435287000000,,,320810000000,401613000000,,,,,,,,,,,,,,,,906572000000,,,16853000000,785944000000,,-19365000000,-2520075000000,,245130000000,744414000000,-54480000000,689934000000,-5000000,15.79,195006000000,,221352000000,,,245752273000,57.27243,57.27114,,,,-54480000000,5733000000,51000000,5000000,,,,,,,,,,26306000000,49652000000,-70269000000,51798000000,59279000000,,59279000000,26306000000,49652000000,-70269000000,4295878360
2018-03-31,,,,,843652000000,575262000000,575260000000,575260000000,917918000000,676734044000,634037044000,1008984000000,1586223000000,1586223000000,,3273745000000,,,,,,,,,,,1687522000000,,-2430093000000,,-2000000,12350038000,46.57961,46.57961,575246000000,12350038000,46.57848,46.57848,-14000000,74266000000,15488956000,,,32.50808,26.75214,22.16625,,,3273745000000,,1733712000000,501031000000,109694000000,250770000000,2595207000000,,,453179000000,555805000000,,,,,,,,,,,,,,,,917109000000,,,4915000000,681524000000,,-62813000000,-2366294000000,,225695000000,617957000000,-42695000000,575262000000,-2000000,18.28,225758000000,,220839000000,,,241183956000,51.33887,51.33774,,,,-42695000000,4904000000,372000000,,,,,,,,,,,27216000000,44340000000,-74223000000,57473000000,55149000000,,55149000000,27216000000,44340000000,-74223000000,4295878360
2019-03-31,,,,,812420000000,612439000000,612437000000,612437000000,867585000000,703039890000,660097890000,1574909000000,1606584000000,1606584000000,,3294340000000,,,,,,,,,,,1687756000000,,-2481920000000,,-2000000,12350038000,49.58989,49.58989,612420000000,12350038000,49.58851,49.58851,-17000000,55165000000,7504110000,,,25.53581,19.33003,19.24999,,,3294340000000,,2144813000000,571240000000,154372000000,311068000000,3181493000000,,,669383000000,905526000000,,,,,,,,,,,,,,,,898569000000,,,5270000000,739169000000,,-44091000000,-2436028000000,,157041000000,655379000000,-42940000000,612439000000,-2000000,8.51,105098000000,,219370000000,,,164545110000,53.44906,53.44768,,,,-42940000000,4860000000,237000000,,,,,,,,,,,26081000000,49133000000,-79563000000,26195000000,24295000000,,24295000000,26081000000,49133000000,-79563000000,4295878360
