Date,Total Revenue,Gross Profit,Total Operating Expense,Operating Income,Net Income Before Taxes,Net Income Incl Extra Before Distributions,Income Avail to Cmn Shareholders Excl Extra,Income Avail to Cmn Shareholders Incl Extra,Normalized Income Before Taxes,Normalized Income After Taxes,Normalized Income Avail to Cmn Shareholders,Total Interest Expenses,Net Interest Income,Net Interest Income After Loan Loss Provision,Revenue,Revenue,"Cost of Revenue, Total","Selling/General/Administrative Expense, Total",Depreciation And Amortization,Interest/Investment Income - Operating,"Interest Expense (Income), Net-Operating, Ttl",Unusual Expense (Income),"Other Operating Expenses, Total","Interest Expense, Net Non-Operating",Interest/Invest Income - Non-Operating,"Interest Income (Expense), Net-Non-Operating, Total","Non-Interest Income, Bank",Labor And Related Expense,"Non-Interest Expense, Bank","Other, Net - Non-Operating",Total Adjustments to Net Income,Basic Weighted Average Shares,Basic EPS Excluding Extraordinary Items,Basic EPS Including Extraordinary Items,Diluted Net Income,Diluted Weighted Average Shares,Diluted EPS Excluding Extraordinary Items,Diluted EPS Including Extraordinary Items,Dilution Adjustment,Total Special Items,Effect of Special Items on Income Taxes,"Gross Margin, Percent","Operating Margin, Percent","Pretax Margin, Percent","Effective Tax Rate, (%)","Net Profit Margin, (%)",Normalized EBIT,Normalized EBITDA,Bank Total Revenue,Net Sales,Interest & Fees on Loans,Interest And Dividends on Investment Secs,Interest on Deposits,Other Interest Income,"Interest Income, Bank",Cost of Revenue,Cost of Revenue,Interest on Deposit,Interest on Other Borrowings,Loan Loss Provision,Selling/General/Administrative Expense,Advertising Expense,"Depreciation, Operating","Amortization of Intangibles, Operating",Investment Income - Operating,Impairment - Assets Held for Use,Impairment - Assets Held for Sale,Other Unusual Expense (Income),Other Operating Expense,"Other, Net - Operating",Interest Expense - Non-Operating,Interest Income - Non-Operating,Investment Income - Non-Operating,Gain (Loss) on Sale of Assets,Fees & Commissions from Operations,Investment Securities Gains,Foreign Currency Gains,Other Unusual Income,Other Revenue,Depreciation Expense,Other Unusual Expense,Other Expense,Other Non-Operating Income (Expense),Provision for Income Taxes,Net Income After Taxes,Minority Interest,Net Income Before Extraordinary Items,Miscellaneous Earnings Adjustment,DPS - Common Stock Primary Issue,Gross Dividends - Common Stock,"Interest Expense, Supplemental","Depreciation, Supplemental","Advertising Expense, Supplemental","Stock-Based Compensation, Supplemental",Income Tax Excluding Impact of Special Items,Basic Normalized EPS,Diluted Normalized EPS,"Amort of Intangibles, Supplemental","Rental Expense, Supplemental","Equity in Affiliates, Supplemental","Minority Interest, Supplemental","Audit Fees, Supplemental","Audit-Related Fees, Supplemental","All Other Fees Paid to Auditor, Supplemental",Current Tax - Domestic,Current Tax - Other,Current Tax - Total,Current Tax - Total,Deferred Tax - Domestic,Deferred Tax(No Breakdown)-Total,Deferred Tax - Total,Other Tax,Income Tax - Total,Interest Cost - Domestic,Service Cost - Domestic,Expected Return on Assets - Domestic,Actuarial Gains and Losses - Domestic,Domestic Pension Plan Expense,Defined Contribution Expense - Domestic,Total Pension Expense,Total Plan Interest Cost,Total Plan Service Cost,Total Plan Expected Return,OAPermID
2010-12-31,,,,,-154000000,-1001000000,-316000000,-1125000000,383000000,-507950000,33050000,8570000000,13782000000,4547000000,,28774000000,,,,,,,,,,,14992000000,-9379000000,-19693000000,,-124000000,9958913250,-0.03173,-0.11296,-1125000000,9958913250,-0.03173,-0.11296,,537000000,187950000,,,-0.68898,,-1.41374,,,28774000000,,18712000000,3065000000,575000000,,22352000000,,,8570000000,,9235000000,,,,-710000000,,,,,,,,,,,8193000000,59000000,,603000000,1506000000,-1415000000,-566000000,-6896000000,,703000000,-857000000,665000000,-192000000,-19000000,0.0,0,,2220000000,,,890950000,0.00332,0.00332,,519000000,70000000,665000000,,,,321000000,-31000000,,290000000,737000000,,413000000,,703000000,,,,,,88000000,88000000,,,,8589934212
2011-12-31,,,,,-1396000000,-2151000000,-2499000000,-2151000000,-542000000,-1915900000,-1943900000,8733000000,12303000000,3596000000,,25632000000,,,,,,,,,,,13329000000,-8562000000,-18321000000,,0,10048984540,-0.24868,-0.21405,-2151000000,10048984540,-0.24868,-0.21405,0,854000000,298900000,,,-6.63624,,-11.87963,,,25632000000,,17827000000,2529000000,680000000,,21036000000,,,4513000000,4220000000,8707000000,,,,-585000000,,,,,,,,,,,2081000000,2142000000,1327000000,277000000,523000000,-1254000000,-110000000,-7671000000,,1075000000,-2471000000,-28000000,-2499000000,0,0.0,0,,1290000000,,197000000,1373900000,-0.19344,-0.19344,585000000,490000000,26000000,-28000000,,,,168000000,-141000000,,27000000,1106000000,,1048000000,,1075000000,,,,,,,,,,,8589934212
2012-12-31,,,,,-5277000000,-5754000000,-5883000000,-6055000000,-4321000000,-5096600000,-5261600000,7128000000,11402000000,6123000000,,21618000000,,,,,,,,,,,10216000000,-8188000000,-21616000000,,-301000000,10216127140,-0.57585,-0.59269,-6055000000,10216127140,-0.57585,-0.59269,0,956000000,334600000,,,-28.47814,,-31.74852,,,21618000000,,16188000000,1849000000,493000000,,18530000000,,,4091000000,3037000000,5279000000,,,,-705000000,,,,,,,,,,,1773000000,1205000000,654000000,583000000,168000000,-1097000000,-124000000,-8818000000,,441000000,-5718000000,136000000,-5582000000,-28000000,0.0,0,,1149000000,,126000000,775600000,-0.51503,-0.51503,705000000,392000000,29000000,136000000,28900000,4600000,9400000,495000000,63000000,,558000000,-101000000,,-117000000,,441000000,,,,,,,,,,,8589934212
2013-12-31,,,,,-8849000000,-8597000000,-9553000000,-8995000000,-3324000000,-5443750000,-5961750000,5471000000,9017000000,897000000,,18252000000,,,,,,,,,,,9235000000,-6086000000,-18981000000,,-398000000,10396269720,-0.91889,-0.86521,-8995000000,10396269720,-0.91889,-0.86521,0,5525000000,1933750000,,,-61.07813,,-65.93733,,,18252000000,,13165000000,890000000,433000000,,14488000000,,,2959000000,2512000000,8120000000,,,,-488000000,,,,,,,,,,,1405000000,804000000,821000000,378000000,320000000,-759000000,-1403000000,-5745000000,,186000000,-9035000000,-120000000,-9155000000,,0.0,0,,922000000,,49000000,2119750000,-0.57345,-0.57345,488000000,389000000,320000000,-120000000,26100000,3800000,3800000,315000000,-120000000,,195000000,-586000000,,-9000000,,186000000,,372000000,-1173000000,,510000000,76000000,586000000,,372000000,-1173000000,8589934212
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934212
2014-12-31,,,,,2643000000,-2771000000,-25000000,-3470000000,6268000000,3090250000,2331250000,3821000000,9258000000,10610000000,,16156000000,,,,,,,,,,,6898000000,-5757000000,-14865000000,,-699000000,10544840920,-0.00237,-0.32907,-3470000000,10544840920,-0.00237,-0.32907,0,3625000000,1268750000,,,20.20797,72.22853,-0.19115,,,16156000000,,12339000000,373000000,367000000,,13079000000,,,1844000000,1977000000,-1352000000,,,,-259000000,,,,,,,,,,,1353000000,257000000,849000000,349000000,213000000,-671000000,-523000000,-4204000000,,1909000000,734000000,-60000000,674000000,,0.0,0,,850000000,,43000000,3177750000,0.22108,0.22108,259000000,,126000000,-60000000,28200000,4800000,3400000,423000000,-247000000,,176000000,259000000,,1733000000,,1909000000,,372000000,,,510000000,87000000,597000000,,372000000,,8589934212
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934212
2015-12-31,,,,,-2703000000,-1594000000,-3520000000,-1979000000,5402000000,2542250000,1748250000,3158000000,8767000000,9494000000,,14688000000,,,,,,,,,,,5921000000,-5726000000,-18118000000,,-385000000,10693412120,-0.32917,-0.18507,-1979000000,10693412120,-0.32917,-0.18507,0,8105000000,2836750000,,,-22.66667,,-29.51782,,,14688000000,,11268000000,317000000,340000000,,11925000000,,,1425000000,1733000000,-727000000,,,,-230000000,,,,,,,,,,,1005000000,84000000,809000000,91000000,668000000,-950000000,-1697000000,-8953000000,,23000000,-2726000000,-409000000,-3135000000,-88000000,0.0,0,,950000000,,36000000,2859750000,0.16349,0.16349,230000000,,140000000,-409000000,23300000,4800000,2500000,249000000,-220000000,,29000000,0,,-6000000,,23000000,,328000000,,,458000000,74000000,532000000,,328000000,,8589934212
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934212
2016-12-31,,,,,-4082000000,-5258000000,-6955000000,-6955000000,3886000000,-68800000,-1775800000,2550000000,8708000000,8230000000,,13852000000,,,,,,,,,,,5144000000,-5124000000,-17456000000,,-1697000000,10856840440,-0.64061,-0.64061,-6955000000,10856840440,-0.64061,-0.64061,,7968000000,2788800000,,,-36.25866,,-61.77829,,,13852000000,,10706000000,306000000,246000000,,11258000000,,,1152000000,1398000000,478000000,,,,-204000000,,,,,,,,,,,795000000,112000000,989000000,291000000,125000000,-574000000,-285000000,-10977000000,,1166000000,-5248000000,-10000000,-5258000000,-244000000,0.0,0,,574000000,,32000000,3954800000,-0.16357,-0.16357,204000000,,59000000,-10000000,24900000,4500000,5100000,1126000000,-186000000,,940000000,-246000000,,226000000,,1166000000,,264000000,,,268000000,89000000,357000000,,264000000,,8589934212
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934212
2017-12-31,,,,,2239000000,1473000000,752000000,752000000,3520000000,2370772670,1614772670,2047000000,8987000000,8494000000,,14058000000,,,,,,,,,,,5071000000,-4676000000,-11326000000,,-721000000,11019388630,0.06824,0.06824,752000000,11083460240,0.06785,0.06785,,1281000000,418227330,,,20.29183,32.6485,6.8153,,,14058000000,,10409000000,348000000,277000000,,11034000000,,,898000000,1149000000,493000000,,,,,,,,,,,,,,,784000000,226000000,525000000,320000000,277000000,-808000000,-36000000,-4206000000,,731000000,1508000000,-35000000,1473000000,-487000000,0.0,0,,837000000,,17000000,1149227330,0.14654,0.14569,,,104000000,-35000000,26900000,4300000,1900000,925000000,-227000000,,698000000,-108000000,,33000000,,731000000,,264000000,,,268000000,92000000,360000000,,264000000,,8589934212
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934212
2018-12-31,,,,,3359000000,2159000000,1622000000,1622000000,5704000000,3652665670,3123665670,2393000000,8656000000,8258000000,,14426000000,,,,,,,,,,,5770000000,-4122000000,-10669000000,,-537000000,11151246150,0.14545,0.14545,1622000000,11199532000,0.14483,0.14483,,2345000000,843334330,,,30.40094,35.96308,14.68006,,,14426000000,,9993000000,534000000,522000000,,11049000000,,,1099000000,1294000000,398000000,,,,-271000000,,,,,,,,,,,757000000,34000000,643000000,50000000,643000000,-460000000,-109000000,-4425000000,,1208000000,2151000000,8000000,2159000000,-355000000,0.05923,1567000000,,460000000,,,2051334330,0.28012,0.27891,271000000,,83000000,8000000,31000000,2900000,1500000,1025000000,-125000000,,900000000,280000000,,308000000,,1208000000,,240000000,,,308000000,,308000000,,240000000,,8589934212
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934212
