Date,Total Revenue,Gross Profit,Total Operating Expense,Operating Income,Net Income Before Taxes,Net Income Incl Extra Before Distributions,Income Avail to Cmn Shareholders Excl Extra,Income Avail to Cmn Shareholders Incl Extra,Normalized Income Before Taxes,Normalized Income After Taxes,Normalized Income Avail to Cmn Shareholders,Total Interest Expenses,Net Interest Income,Net Interest Income After Loan Loss Provision,Revenue,Revenue,"Cost of Revenue, Total","Selling/General/Administrative Expense, Total",Depreciation And Amortization,Interest/Investment Income - Operating,"Interest Expense (Income), Net-Operating, Ttl",Unusual Expense (Income),"Other Operating Expenses, Total","Interest Expense, Net Non-Operating",Interest/Invest Income - Non-Operating,"Interest Income (Expense), Net-Non-Operating, Total","Non-Interest Income, Bank",Labor And Related Expense,"Non-Interest Expense, Bank","Other, Net - Non-Operating",Total Adjustments to Net Income,Basic Weighted Average Shares,Basic EPS Excluding Extraordinary Items,Basic EPS Including Extraordinary Items,Diluted Net Income,Diluted Weighted Average Shares,Diluted EPS Excluding Extraordinary Items,Diluted EPS Including Extraordinary Items,Dilution Adjustment,Total Special Items,Effect of Special Items on Income Taxes,"Gross Margin, Percent","Operating Margin, Percent","Pretax Margin, Percent","Effective Tax Rate, (%)","Net Profit Margin, (%)",Normalized EBIT,Normalized EBITDA,Bank Total Revenue,Net Sales,Interest & Fees on Loans,Interest And Dividends on Investment Secs,Interest on Deposits,Other Interest Income,"Interest Income, Bank",Cost of Revenue,Cost of Revenue,Interest on Deposit,Interest on Other Borrowings,Loan Loss Provision,Selling/General/Administrative Expense,Advertising Expense,"Depreciation, Operating","Amortization of Intangibles, Operating",Investment Income - Operating,Impairment - Assets Held for Use,Impairment - Assets Held for Sale,Other Unusual Expense (Income),Other Operating Expense,"Other, Net - Operating",Interest Expense - Non-Operating,Interest Income - Non-Operating,Investment Income - Non-Operating,Gain (Loss) on Sale of Assets,Fees & Commissions from Operations,Investment Securities Gains,Foreign Currency Gains,Other Unusual Income,Other Revenue,Depreciation Expense,Other Unusual Expense,Other Expense,Other Non-Operating Income (Expense),Provision for Income Taxes,Net Income After Taxes,Minority Interest,Net Income Before Extraordinary Items,Miscellaneous Earnings Adjustment,DPS - Common Stock Primary Issue,Gross Dividends - Common Stock,"Interest Expense, Supplemental","Depreciation, Supplemental","Advertising Expense, Supplemental","Stock-Based Compensation, Supplemental",Income Tax Excluding Impact of Special Items,Basic Normalized EPS,Diluted Normalized EPS,"Amort of Intangibles, Supplemental","Rental Expense, Supplemental","Equity in Affiliates, Supplemental","Minority Interest, Supplemental","Audit Fees, Supplemental","Audit-Related Fees, Supplemental","All Other Fees Paid to Auditor, Supplemental",Current Tax - Domestic,Current Tax - Other,Current Tax - Total,Current Tax - Total,Deferred Tax - Domestic,Deferred Tax(No Breakdown)-Total,Deferred Tax - Total,Other Tax,Income Tax - Total,Interest Cost - Domestic,Service Cost - Domestic,Expected Return on Assets - Domestic,Actuarial Gains and Losses - Domestic,Domestic Pension Plan Expense,Defined Contribution Expense - Domestic,Total Pension Expense,Total Plan Interest Cost,Total Plan Service Cost,Total Plan Expected Return,OAPermID
2010-12-31,,,,,337000000,257000000,257000000,257000000,340000000,259287830,259287830,1488000000,410000000,410000000,,409000000,,,,,,,,,,,-1000000,-35000000,-72000000,,,55690720,4.61477,4.61477,257000000,55690720,4.61477,4.61477,,3000000,712170,,,17.75553,23.73887,13.54057,,,409000000,,,105000000,,1793000000,1898000000,,,9000000,1479000000,,,,,,,,,,,,,,,,35000000,-37000000,-4000000,,5000000,-2000000,-3000000,-32000000,,80000000,257000000,,257000000,,2.3,128000000,,2000000,,,80712170,4.65585,4.65585,,,2000000,,320000,190000,12000,,,79000000,79000000,,1000000,1000000,,80000000,,,,,,4000000,4000000,,,,4295884742
2011-12-31,,,,,339000000,256000000,256000000,256000000,345000000,260530970,260530970,1865000000,462000000,462000000,,411000000,,,,,,,,,,,-51000000,-35000000,-72000000,,,55690720,4.59682,4.59682,256000000,55690720,4.59682,4.59682,,6000000,1469030,,,14.56811,24.48378,11.00129,,,411000000,,,109000000,,2218000000,2327000000,,,24000000,1841000000,,,,,,,,,,,,,,,,33000000,-89000000,-1000000,,6000000,-2000000,-6000000,-29000000,,83000000,256000000,,256000000,,1.15,64000000,,2000000,,,84469030,4.67818,4.67818,,,0,,371000,159000,12000,,,,,,,,,,,,,,,4000000,4000000,,,,4295884742
2012-12-31,,,,,460000000,332000000,332000000,332000000,492000000,355095650,355095650,1642000000,473000000,473000000,,594000000,,,,,,,,,,,121000000,-38000000,-134000000,,,55690720,5.9615,5.9615,332000000,55690720,5.9615,5.9615,,32000000,8904350,,,21.74941,27.82609,15.6974,,,594000000,,,,,2115000000,2115000000,,,1642000000,,,,,,,,,,,,,,,,,31000000,88000000,,,2000000,-1000000,-32000000,-63000000,,128000000,332000000,,332000000,,1.49,83000000,,1000000,,,136904350,6.37621,6.37621,,,,,,,,,,,,,,,,,,,,,,,,,,,4295884742
2013-12-31,,,,,397000000,283000000,283000000,283000000,397000000,283000000,283000000,984000000,530000000,472000000,,563000000,,,,,,,,,,,33000000,-36000000,-108000000,,,55690720,5.08164,5.08164,283000000,55690720,5.08164,5.08164,,,,,,26.22193,28.71537,18.69221,,,563000000,,,68000000,,1446000000,1514000000,,,0,984000000,58000000,,,,,,,,,,,,,,,30000000,,,,3000000,-2000000,,-65000000,,114000000,283000000,,283000000,,1.27,71000000,,2000000,,,114000000,5.08164,5.08164,,,-1000000,,,,,,,,,,,,,,,,,,,,,,,,4295884742
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295884742
2014-12-31,,,,,179000000,126000000,126000000,126000000,179000000,126000000,126000000,814000000,444000000,429000000,,484000000,,,,,,,,,,,40000000,-38000000,-290000000,,,55690720,2.2625,2.2625,126000000,55690720,2.2625,2.2625,,,,,,14.22893,29.60894,10.0159,,,484000000,,,1258000000,,,1258000000,,,814000000,,15000000,,,,,,,,,,,,,,,35000000,,,,5000000,-2000000,,-63000000,,53000000,126000000,,126000000,,0.57,,,2000000,,,53000000,2.2625,2.2625,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,4295884742
2015-12-31,,,,,314000000,226000000,226000000,226000000,385000000,277101910,277101910,5828000000,450000000,449000000,,503000000,,,,,,,,,,,53000000,-38000000,-188000000,,0,55665030,4.06,4.06,226000000,55665030,4.06,4.06,,71000000,19898090,,,5.00159,28.02548,3.59987,,,503000000,,2688000000,423000000,,3167000000,6278000000,,,92000000,5736000000,1000000,,,,,,,,,,,,,,,32000000,16000000,,0,5000000,-2000000,-71000000,-77000000,,88000000,226000000,,226000000,0,1.02,,,2000000,,,107898090,4.97803,4.97803,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,4295884742
2016-12-31,,,,,503000000,369000000,365000000,365000000,441000000,323516900,319516900,5721000000,405000000,409000000,,592000000,,,,,,,,,,,187000000,-38000000,-93000000,,-4000000,55135950,6.62,6.62,365000000,55135950,6.62,6.62,,-62000000,-16516900,,,8.2109,26.64016,5.95821,,,592000000,,2495000000,370000000,,3261000000,6126000000,,,123000000,5598000000,-4000000,,,,,,,,,,,,,,,28000000,118000000,,34000000,7000000,-2000000,28000000,-81000000,,134000000,369000000,,369000000,-4000000,,,,2000000,,,117483100,5.79507,5.79507,,,4000000,,,,,,,,,,,,,,,,,,,,,,,,4295884742
2017-12-31,,,,,536000000,393000000,375000000,375000000,530000000,388600750,370600750,5470000000,435000000,439000000,,646000000,,,,,,,,,,,211000000,-44000000,-114000000,,-18000000,55720650,6.73,6.73,375000000,55720650,6.73,6.73,,-6000000,-1600750,,,9.07705,26.6791,6.35055,,,646000000,,2325000000,299000000,,3281000000,5905000000,,,183000000,5287000000,-4000000,,,,,,,,,,,,,,,26000000,181000000,,0,4000000,-2000000,6000000,-74000000,,143000000,393000000,,393000000,-18000000,,,,2000000,,,141399250,6.65105,6.65105,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,4295884742
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295884742
