Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Net Interest Margin,Efficiency Ratio,ROAA,ROAE,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans Ratio,Liquid Assets to Wholesale funds Ratio,Liquidity Coverage Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes
2010-12-31,11.4,14.5,0.0310519190786061,1.2074335642174838,0.6533390502733412,,0.0006847565886773814,0.6420422591789187,0.004586223912223158,0.12278915210633508,0.7301814133197112,0.5387978794765451,0.48748652214734817,0.04818738057751189,1.3695226717064464,,-2.9864458298439875,0.5338296571142022,0.03735039971814041,0.6263667059706293,0.6263667059706293,15.89221,1385589071492.9617,650227446085.5697,32415921225.989876,66767907912.07268,51752305665.349144,6354621732.196103
2011-12-31,11.6,14.0,0.03132495041741617,1.2864307734781208,0.6592941488655963,,0.0008155185987872324,0.6569473991573854,0.0035078917387470405,0.09146875414621201,0.8235627350089056,0.49916509994062935,0.4277868875445589,0.05482721826831047,1.2142365814902814,4.652461139896373,4.534211412220165,0.103315400377452,0.0383507108136589,1.4289770465702534,1.1216929812922913,12.24005,1518179219775.9753,624550019312.4758,83199691000.38625,83237543453.07068,58223252220.93472,5325608342.989572
2012-12-31,13.6,15.5,0.0916367878717543,0.442009665055824,1.012768596975797,,-0.0017114965353477844,0.8177328615431612,0.0038370385906040267,0.08564673938486025,0.7920343161970836,0.5399078313131517,0.435474344533516,0.07383441694630873,1.2625715572545568,9.181521810001955,2.765835837605327,0.1065069211409396,0.044800755033557044,1.0697415851317822,0.7559922288282384,14.12447,1445505532817.9478,601279369410.3381,69276186145.21753,106728058208.2765,64759739275.42823,5546460512.354101
2013-12-31,,,0.08975452117260775,0.44325478052450185,0.9435224686331248,,0.003213202192616111,0.838962249921154,0.0029941641139958532,0.06200176134868986,0.7641556000704797,0.5219742799266712,0.46441652172348613,0.08662032275774612,1.3086340005985273,13.202121390689452,41.56586270871985,0.11558821157655084,0.04829159767183166,0.9650132101151739,0.6850731417199456,12.35156,1317222262640.9602,582197890141.8698,61385230993.088394,114098217533.64859,63610767551.83703,3943979628.9559836
2014-12-31,10.8,11.7,0.0880131497722104,0.44012395041983204,0.9662858548145499,,0.002798051941465507,0.9099496800809322,0.0002440130178779242,0.005667464061347225,0.7293157634180123,0.5141135962887355,0.4520872101795504,0.0765719588132978,1.3711482051524548,15.22760336906585,16.51079286010793,0.12647526805335366,0.04305506223535176,1.0433723087929532,0.8173332737150395,-0.21443,1717581218483.9216,743064396131.2722,77157973051.16971,131518558320.24469,73950566256.09656,419112176.57270396
2015-12-31,11.7,13.0,0.0799936863928969,0.46562972180250645,0.8564439227581049,,0.005773546771153656,0.830499557596193,0.003532255905020226,0.07316997164196158,0.7299381268577306,0.4820887010090098,0.48871451122384246,0.0882051035180647,1.3699791300186546,16.434457628702233,13.525413302575933,0.1346604867232008,0.04827466549125386,0.9183226168340795,0.6835949267157652,15.42979,1836273480662.9834,854091160220.9944,81405156537.75322,161968692449.3554,88645488029.46593,6486187845.303867
2016-12-31,12.6,14.2,0.0737219597182583,0.49738845771876267,0.8088114041623206,,0.0058041832846141,0.8219904303865976,0.003907154642917843,0.08061391744896439,0.7221385978410342,0.47700216587711924,0.4978495102449332,0.0986899596958823,1.384775724479599,29.05798128721293,10.146272646272646,0.13218026932645277,0.048467495025178636,0.8326727263696418,0.6467888541201013,18.26674,1975610196899.0776,935886045847.9978,79730809473.9846,194972890706.74405,95752877389.89822,7719014553.410065
2017-12-31,12.9,14.6,0.049568752251235956,0.729590886102904,0.6535413272182327,,0.013680879822098905,0.7630736926307369,0.004209197149624214,0.08254380142015168,0.7524468451097089,0.4606341711627639,0.5246796285247347,0.10171004083541818,1.3289975318511664,32.07893885473957,7.933114649171934,,0.050993497721279035,0.8314726530283829,0.7692957576489047,22.45427,1625356785595.1985,809304768256.0853,68914638212.73758,165315105035.01166,82882627542.51418,6841447149.049684
2018-12-31,,,,,,,0.009448904910153476,0.7802026500389712,0.003922412187946508,0.07889264489932687,0.7721429544800714,0.44708655297199357,0.5108182094279119,0.1017930887146248,1.295096969023512,29.517334470019893,35.0148322939491,,0.049718350715099106,1.0854563552682153,1.0160939024510431,20.04031,1779436742523.3237,863776266457.4069,96031040195.3091,181134362193.73965,88470660040.10811,6979684366.553317
2019-12-31,13.5,15.5,0.03619056845980575,0.7086066122339714,0.47518449926944806,,0.0064959635899065355,0.7827568758185498,0.00396495978912678,0.07987678333783142,0.7878412809701281,0.4146584595378496,0.4964010382742094,0.0833528509322021,1.2692911937397149,23.070579209819716,-5.816918662755086,,0.04963845091704997,1.3552529943324059,1.2518031139195742,20.74906,1931055307760.9277,910995539696.6993,129907225691.34702,160958965209.63425,95854594112.39964,7656556645.851918
2020-12-31,14.2,16.4,0.03634036275275536,0.7113101160862355,0.4574154026188175,,0.008521075936909737,0.7479123887748118,0.0028274162936494447,0.06237643950744244,0.691631380952218,0.3539898815289982,0.49188026057249845,0.13304930578410773,1.445856893629131,37.89105058365759,2.1089065396154067,,0.0453282732386816,1.4193920158866657,1.3100559402122358,20.04235,2037575534266.765,956813231802.178,131094735118.31654,271098010316.87546,92359780561.69655,5761074265.127323
2021-12-31,14.05,16.43,0.03347552885457429,0.714388102490593,0.40581578813429925,,0.01023757388470101,0.7516867603141245,0.0034770145047683687,0.07770218685849041,0.6839321228097015,0.3336280909624285,0.47274014745537357,0.14282824003850528,1.4621333998640709,39.61602442619499,6.754137497756238,,0.04474796199881265,1.5525422866158831,1.4444208811903025,28.22684,2317420830401.126,1046514778325.1232,160998416608.02252,330993138634.7642,103699859254.04645,8057705840.957072
