year,month,EWMA,PermID,Currency
2011.0,7.0,52100.0,4295881976.0,
2011.0,8.0,47757.57575757577,4295881976.0,
2011.0,9.0,43760.38961038961,4295881976.0,
2011.0,10.0,43810.84848484849,4295881976.0,
2011.0,11.0,42133.69501466276,4295881976.0,
2011.0,12.0,41328.06912664055,4295881976.0,
2012.0,1.0,41415.97129904216,4295881976.0,
2012.0,2.0,43081.15694762753,4295881976.0,
2012.0,3.0,43553.405596360586,4295881976.0,
2012.0,4.0,42863.529090655196,4295881976.0,
2012.0,5.0,41196.42672097484,4295881976.0,
2012.0,6.0,40267.98669055812,4295881976.0,
2012.0,7.0,38619.01932804509,4295881976.0,
2012.0,8.0,37485.576847820026,4295881976.0,
2012.0,9.0,37252.7813195543,4295881976.0,
2012.0,10.0,37452.5841847174,4295881976.0,
2012.0,11.0,36403.55681618776,4295881976.0,
2012.0,12.0,36710.11291084591,4295881976.0,
2013.0,1.0,38506.19624481641,4295881976.0,
2013.0,2.0,39695.204519492756,4295881976.0,
2013.0,3.0,40058.852433147214,4295881976.0,
2013.0,4.0,39547.607912865235,4295881976.0,
2013.0,5.0,39202.37534384912,4295881976.0,
2013.0,6.0,38730.13501219789,4295881976.0,
2013.0,7.0,38993.328383507935,4295881976.0,
2013.0,8.0,39746.66420297955,4295881976.0,
2013.0,9.0,41659.4432268522,4295881976.0,
2013.0,10.0,43824.95971673137,4295881976.0,
2013.0,11.0,44139.86081133319,4295881976.0,
2013.0,12.0,44872.43040634885,4295881976.0,
2014.0,1.0,44674.96520308248,4295881976.0,
2014.0,2.0,44322.48260145917,4295881976.0,
2014.0,3.0,44530.288919801395,4295881976.0,
2014.0,4.0,45275.37173267134,4295881976.0,
2014.0,5.0,45828.47534003598,4295881976.0,
2014.0,6.0,45797.13240685964,4295881976.0,
2014.0,7.0,46371.39229039051,4295881976.0,
2014.0,8.0,48818.19614520416,4295881976.0,
2014.0,9.0,50134.09807260448,4295881976.0,
2014.0,10.0,49223.00141725379,4295881976.0,
2014.0,11.0,49249.0007086269,4295881976.0,
2014.0,12.0,48559.0241638371,4295881976.0,
2015.0,1.0,46446.17874858498,4295881976.0,
2015.0,2.0,44899.559962527695,4295881976.0,
2015.0,3.0,43441.82543580927,4295881976.0,
2015.0,4.0,42915.23089972281,4295881976.0,
2015.0,5.0,43254.837672083624,4295881976.0,
2015.0,6.0,42091.05519967818,4295881976.0,
2015.0,7.0,41090.09281723039,4295881976.0,
2015.0,8.0,41273.7964086152,4295881976.0,
2015.0,9.0,40863.148204307596,4295881976.0,
2015.0,10.0,41643.47886405856,4295881976.0,
2015.0,11.0,42272.92990821976,4295881976.0,
2015.0,12.0,41566.226858871785,4295881976.0,
2016.0,1.0,39809.36342943589,4295881976.0,
2016.0,2.0,39417.181714717946,4295881976.0,
2016.0,3.0,40038.136311904425,4295881976.0,
2016.0,4.0,40667.81815595221,4295881976.0,
2016.0,5.0,40226.4090779761,4295881976.0,
2016.0,6.0,39373.91882470234,4295881976.0,
2016.0,7.0,39058.38798377974,4295881976.0,
2016.0,8.0,39749.648537344416,4295881976.0,
2016.0,9.0,40157.719005514315,4295881976.0,
2016.0,10.0,41347.60950275716,4295881976.0,
2016.0,11.0,42593.12293319676,4295881976.0,
2016.0,12.0,44384.65670469362,4295881976.0,
2017.0,1.0,45056.07835234681,4295881976.0,
2017.0,2.0,45865.539176173406,4295881976.0,
2017.0,3.0,46927.08776990489,4295881976.0,
2017.0,4.0,47063.54388495244,4295881976.0,
2017.0,5.0,48227.824574055165,4295881976.0,
2017.0,6.0,48897.24562036092,4295881976.0,
2017.0,7.0,49784.33709589475,4295881976.0,
2017.0,8.0,51530.804911583735,4295881976.0,
2017.0,9.0,50822.54531293473,4295881976.0,
2017.0,10.0,50675.335156467365,4295881976.0,
2017.0,11.0,49669.48576005186,4295881976.0,
2017.0,12.0,49442.637616868036,4295881976.0,
2018.0,1.0,50708.81880843402,4295881976.0,
2018.0,2.0,49834.964959772566,4295881976.0,
2018.0,3.0,47537.720575124375,4295881976.0,
2018.0,4.0,46568.86028756219,4295881976.0,
2018.0,5.0,46831.930143781094,4295881976.0,
2018.0,6.0,46059.38612452213,4295881976.0,
2018.0,7.0,45114.92033498833,4295881976.0,
2018.0,8.0,43987.00562203962,4295881976.0,
2018.0,9.0,43500.85575219628,4295881976.0,
2018.0,10.0,43878.99930466957,4295881976.0,
2018.0,11.0,43251.99965233478,4295881976.0,
2018.0,12.0,41994.42087879897,4295881976.0,
2019.0,1.0,41183.57407576312,4295881976.0,
2019.0,2.0,42306.4929202345,4295881976.0,
2019.0,3.0,42679.496460117254,4295881976.0,
2019.0,4.0,43853.384593694995,4295881976.0,
2019.0,5.0,44674.31134446654,4295881976.0,
2019.0,6.0,44939.78725118064,4295881976.0,
2019.0,7.0,44790.545799503365,4295881976.0,
2019.0,8.0,42897.65385213264,4295881976.0,
2019.0,9.0,42483.03745238211,4295881976.0,
2019.0,10.0,42497.471107143436,4295881976.0,
2019.0,11.0,43121.35460119076,4295881976.0,
2019.0,12.0,43775.67730059538,4295881976.0,
2020.0,1.0,42565.338650297694,4295881976.0,
2020.0,2.0,39708.91932514885,4295881976.0,
2020.0,3.0,33890.82329893806,4295881976.0,
2020.0,4.0,31040.41164946903,4295881976.0,
2020.0,5.0,30329.416351050306,4295881976.0,
2020.0,6.0,30962.435448252425,4295881976.0,
2020.0,7.0,30549.69598499578,4295881976.0,
2020.0,8.0,30818.59799249789,4295881976.0,
2020.0,9.0,29683.108520058468,4295881976.0,
2020.0,10.0,29517.87004950292,4295881976.0,
2020.0,11.0,31220.839786656223,4295881976.0,
2020.0,12.0,32396.134179042398,4295881976.0,
2021.0,1.0,32610.5670895212,4295881976.0,
2021.0,2.0,32578.89465587171,4295881976.0,
2021.0,3.0,34000.81096429949,4295881976.0,
2021.0,4.0,35810.63275487702,4295881976.0,
2021.0,5.0,38542.15848270166,4295881976.0,
2021.0,6.0,40114.261059532655,4295881976.0,
2021.0,7.0,39520.76689340269,4295881976.0,
2021.0,8.0,39108.00249432039,4295881976.0,
2021.0,9.0,39068.47493137072,4295881976.0,
2021.0,10.0,39239.5006235801,4295881976.0,
2021.0,11.0,38316.34122088096,4295881976.0,
2021.0,12.0,37849.079701349576,4295881976.0,
2022.0,1.0,38155.78985067479,4295881976.0,
2022.0,2.0,39201.5060364485,4295881976.0,
2022.0,3.0,38994.80063727187,4295881976.0,
2022.0,4.0,40047.40031863593,4295881976.0,
2022.0,5.0,41023.70015931797,4295881976.0,
2022.0,6.0,40589.35007965898,4295881976.0,
2022.0,7.0,38098.24646840092,4295881976.0,
2022.0,8.0,36950.25959783682,4295881976.0,
2022.0,9.0,36100.12979891841,4295881976.0,
2022.0,10.0,35901.380688932884,4295881976.0,
2022.0,11.0,36282.508526284626,4295881976.0,
2022.0,12.0,36947.206644094695,4295881976.0,
2023.0,1.0,39027.35332204735,4295881976.0,
2023.0,2.0,39392.426661023674,4295881976.0,
2023.0,3.0,37556.44060323911,4295881976.0,
2023.0,4.0,36339.470301619556,4295881976.0,
2023.0,5.0,35704.73515080978,4295881976.0,
2023.0,6.0,35238.08186111918,4295881976.0,
2023.0,7.0,34402.374263892925,4295881976.0,
