Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Efficiency Ratio,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans Ratio,Liquid Assets to Wholesale funds Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes,Net Interest Margin,ROAA,ROAE,Liquidity Coverage Ratio
2010-12-31,,19.24,,,,,0.40084904003446437,0.44575978406079797,0.006704785535634388,0.9458173597304597,0.06783093713964804,2.2433607421696173,2.7990907944634182,0.2621351093614294,0.08877994790889769,0.272958074191666,,30.07553,5694184848.292093,4907520364.293545,137988340.8105307,386241894.50603724,505529434.21500653,140784638.00761065,-0.019490854701581007,0.024724283063946795,0.27848949730538064,137.978493042653
2011-12-31,,15.72,,,,,0.537888672344393,0.5238563860545679,0.004253607770892235,0.9343243240620528,0.08805593446823742,1.9089201289145579,3.1504716979059713,0.23574109116304198,0.08257756838437844,0.3384706048201457,,16.05764,6094199104.233005,5223765214.755835,170333349.54743937,536630396.9587326,503244143.27781874,83583629.24076825,-0.04196642694126212,0.013715277071061138,0.16608962142382142,
2012-12-31,,18.69,,,,,0.3840246728935667,0.5582612222914084,0.004261912529923175,0.8857574846314407,0.1289013484754277,1.7912761267842583,2.7373733151182447,0.23255888467473176,0.10529057398507743,0.4472330996720581,,20.81355,6177607883.048901,4895726884.609197,290900032.55293596,796301986.4774356,650443879.8609579,117019236.16593766,-0.011828102250485724,0.018942483624937344,0.1799067372129818,
2013-12-31,,12.88,,,,,0.46343742360945167,0.683274422444192,0.0009998030010474881,0.8711735492684616,0.12711525881859437,1.4635408075467324,,0.22213306804847002,0.08821170657595852,0.7124622520291544,0.7124622520291544,22.29476,7917602869.148423,6289156579.621862,497601634.3818871,1006448137.9346472,698425261.078288,122142058.0190603,0.01954642616187978,0.015426646175321154,0.17488207375329906,36.709134556332856
2014-12-31,16.49,,,,,,0.4958421021980994,0.7841555375803075,0.00139319375777471,0.8375405162061215,0.11969820495572432,1.2752572060968035,,0.21528941610662675,0.11310122326741877,0.7352201237861143,0.7352201237861143,22.10139,9466887340.649637,7032133227.567472,787212346.1686691,1133169421.1938322,1070716538.7623149,153800012.72183704,-0.009716252484477786,0.016246101510201658,0.1436421379085269,
2015-12-31,13.48,,,,,,0.4784607047276871,0.8325918696964175,0.000164000328658624,0.8403624615906745,0.11904127614034402,1.2010686584828452,,0.1744099157586495,0.10233673993220915,0.8414809404330722,0.8414809404330722,23.74079,11609342991.951567,8757653082.987535,999731793.7416046,1381991004.9128742,1188062314.5511625,201228555.2857362,-0.00867450781550588,0.017333328460124087,0.16937542149189225,17.731481997119538
2016-12-31,12.82,,,,,,0.4126463778956371,0.879754884953673,0.0001873990067610008,0.8416863170174653,0.10929680166628157,1.1366802470811617,,0.15939262979775098,0.10463091477220894,0.7825005719558494,0.7825005719558494,24.37498,13914768369.023075,10486446454.162098,1139254275.846844,1520839678.6613634,1455914943.2942822,257622251.24131453,0.015075993040417707,0.01851430396892777,0.17694869636985494,7.260383094101219
2017-12-31,13.53,,,,,,0.3831250350118484,0.944000302810026,0.00013015259812277141,0.8296819310919684,0.10115494401940844,1.059321694096155,,0.13950934287673447,0.10610356449981,0.7662476387122665,0.7662476387122665,23.94343,17096881615.822971,12679897476.960379,1390003928.8026133,1729434102.755026,1814040081.2700884,332426540.7454248,-0.01136123701785022,0.019443694365747246,0.1832520373599896,
2018-12-31,13.22,,,,,,0.4570417427776671,0.9434031702471314,0.5730827779427269,0.8322088839805308,0.07544594317214112,1.0599921979677496,6.187763312765892,0.1408039637838583,0.10578446977699679,0.9084726128406873,0.7932121695989808,16.64503,21267431573.35449,15826671930.014929,2043848954.3772473,1604541433.9007022,2249763972.505865,349630505.4685191,-0.07909782446755408,0.016439714605997073,0.1554076381973032,4.54234729946247
2019-12-31,15.4,,,,,,0.5903795235738506,0.8889556385193947,0.6074290192840063,0.8542790580345869,0.08045345015932012,1.1249155263422996,19.31058575717881,0.1635454111988573,0.10699472111437848,0.8321210316123479,0.782771873910274,8.44972,25957083444.025787,19802028422.08062,2311025529.7335525,2088336919.1452422,2777270904.03619,220450502.69964865,-0.09948903951218116,0.008492884155303162,0.07937666519289471,32.23370072446358
2020-12-31,16.16,,,,,,0.5601659409323234,0.7888636168252534,,0.8807499452417688,0.09321861183120266,1.2676462428631905,,0.1839764627499949,0.09333917052642818,0.761505425458376,0.7509724145883152,10.46985,38110617158.764786,30432908473.86598,2708837298.929495,3552618827.570466,3557213393.849366,291723210.24332386,0.002074688907341163,0.007654644085873391,0.08200891482859327,8.317540037253899
2021-12-31,14.55,,,,,,0.5303897638312133,0.682814232224208,,0.8840468530488835,0.15235634226121472,1.4645271770955726,,0.1875545012745208,0.06665597970901069,1.1132967773817362,1.1026237953096003,7.23503,55883807720.658394,46110838705.815,4147019311.000273,8514252535.948544,3724989953.4904604,298907493.53618425,-0.06506641681751846,0.005348731693987418,0.08024383884743,3.464536467847085
