Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Efficiency Ratio,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans Ratio,Liquid Assets to Wholesale funds Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes,Net Interest Margin,ROAA,ROAE,Liquidity Coverage Ratio
2010-12-31,20.0,20.0,,,,,0.17603911980440098,0.8190786061206206,0.870665346347904,0.9119407606171629,0.07133034682324753,1.2208840427859207,91.90217391304348,0.054094640311136984,0.01905798385259801,0.04072598494909252,,13.54057,106517792954.70885,95286664270.30913,82674335.01078361,7597951114.306254,2030014378.1452193,230948957.5844716,-0.04680851063829787,0.0021681725764133193,0.11376715360779106,16.57843137254902
2011-12-31,21.0,20.0,,,,,0.17518248175182483,0.7607693597049949,0.8456838752933289,0.8867222044692821,0.09964092041623919,1.314458826769485,146.20430107526883,0.05070350285798036,0.013901509599882749,0.04902477596204533,,11.00129,122627606038.82098,107225017972.68152,83572969.08698778,12218727534.148094,1704708842.5593097,230050323.50826743,-0.044025354587674155,0.0018760076212809614,0.13494992092778071,3.444894856853306
2012-12-31,,,,,,,0.2255892255892256,0.7702528314061093,0.8441071095036762,0.8444893745160458,0.091437691593779,1.2982750068889501,394.09090909090907,0.0634052366622606,0.01934921393818376,0.011991279069767442,,15.6974,127810927390.36664,105846513299.78433,29654924.5147376,11686736161.035227,2473040977.713875,298346513.2997843,-0.030437159892727886,0.002334280169868099,0.12063953488372094,
2013-12-31,24.0,24.0,,,,,0.19182948490230906,6.58989407386201,,0.10936729470149428,0.0760464389440705,0.15174750743966808,,0.07323357447230205,0.026146680591235146,27.65597667638484,27.65597667638484,18.69221,117885514018.69159,12555715312.724659,85244428468.72754,8964773544.212797,3082314881.380302,254313443.56578,-0.015649236496501327,0.0021572917222505966,0.08250728862973761,
2014-12-31,24.0,,,,,,0.5991735537190083,9.002083540033734,,0.06722784362639488,0.08655744112569623,0.11108539434819027,,0.08920230611380736,0.02333474479658643,30.96035734226689,30.96035734226689,10.0159,137944823867.72107,9057332854.061827,99658519051.04242,11940150970.524801,3218907260.9633355,113227893.60172537,-0.007510860297998457,0.0008208201687241458,0.035175879396984924,17.233463035019454
2015-12-31,28.0,28.0,,,,,0.37375745526838966,9.084680288705906,,0.06767894983075103,0.0917323808950512,0.11007542018217219,,0.09002013229795801,0.02784410511601153,26.46024501561374,26.46024501561374,3.59987,134355679367.3616,8839863407.620417,98988138030.1941,12324766355.140186,3741013659.2379584,203091301.22214234,-0.11622579529737206,0.0015115944646213323,0.0542877732404516,14.652777777777779
2016-12-31,33.0,33.0,,,,,0.1570945945945946,7.898980788310634,,0.07415359096806988,0.11825974025974026,0.1265986114917329,,0.10024025974025974,0.02912987012987013,25.013597860008918,25.013597860008918,5.95821,138389647735.44214,9963156002.87563,100836628324.94608,16365923795.830338,4031272465.851905,331595974.11933863,-0.16266332119580185,0.002396103896103896,0.08225590726705305,5.612326656394453
2017-12-31,37.0,37.0,,,,,0.17647058823529413,10.935537190082645,,0.058228204217010186,0.12135690055347259,0.09144498186215236,,0.10076772004999107,0.03537225495447242,21.029275186755502,21.029275186755502,6.35055,125831236520.48886,7067757009.345795,93599928109.2739,15270488856.937454,4450934579.439252,353163191.9482387,-0.18027856350030436,0.0028066416711301553,0.07934585099939431,
2018-12-31,38.0,38.0,,,,,0.211340206185567,10.391543443724796,,0.06175010187295311,0.012137387371008444,0.09623209539713526,,0.05385829291173669,0.03629580609269212,20.788218793828893,20.788218793828893,5.55944,123570273184.75917,7353522645.57872,93236879942.48741,1499820273.1847591,4485082674.335011,302839683.68080515,-0.16052405214054125,0.0024507486782683317,0.06752153876978562,
2019-12-31,38.0,38.0,,,,,0.25196850393700787,11.75799147575919,,0.051850112567505977,0.008938532557502555,0.08504853929020492,,0.05186753869689824,0.03264768954298579,23.059954982606918,23.059954982606918,2.57107,134515636232.92595,6746944644.140905,101270668583.7527,1202372393.961179,4391624730.409777,146477354.42127964,-0.13214245143701012,0.0010889243698601768,0.03335379578473501,
2020-12-31,39.0,39.0,,,,,0.3176470588235294,4.991133557800224,,0.11477373729566796,0.015165971351779444,0.20035528771558994,,0.04913974270231169,0.03178493255757394,21.316460663135178,21.316460663135178,4.14274,144104061826.02444,16013659237.958303,97636592379.58304,2185478073.328541,4580337886.412653,198598130.8411215,-0.09833024118738404,0.0013781577585292998,0.04335883853247008,2.3407122232916264
2021-12-31,38.0,38.0,,,,,0.30451127819548873,3.731309771309771,,0.16701968818361748,0.06324426226208765,0.268002407007065,,0.051201889210167925,0.03396016289070624,20.029830106677203,20.029830106677203,4.7835,133947699496.76492,21612149532.71028,91113407620.41696,8471423436.376707,4548885693.745507,212077641.98418403,-0.11550317898657761,0.0015832869305030962,0.046621888581588306,1.3523167407832448
