Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Efficiency Ratio,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans,Liquid Assets to Wholesale funds Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes,Net Interest Margin,ROAA,ROAE,Liquidity Coverage Ratio
2011-06-30,,,,,,,,,,,0.00783549907546203,,0.8443072702331962,,0.12629411446448405,5.609858125645743,5.536375778040974,21.24743,314211000000.0,,222616000000.0,2462000000.0,39683000000.0,930000000.0,0.02996534416826004,0.002959794532973066,0.023435728145553513,3.4823196605374824
2012-06-30,,,,,,,,,,,0.01716847340749546,,1.2856510186005314,0.0,0.1084783752934845,6.751914951615102,6.628812866294125,-15.40214,338178000000.0,,247694000000.0,5806000000.0,36685000000.0,-676000000.0,0.03143925125322361,-0.0019989472999426337,-0.01842715006133297,1.7228486646884273
2013-06-30,,,,,,,,,,,0.014628333451064339,,0.6005547850208044,0.007893096151424596,0.12138476233181102,6.1203602965361945,5.919692331047744,5.13424,325601000000.0,,241895000000.0,4763000000.0,39523000000.0,218000000.0,0.007284315957204644,0.0006695311132336817,0.005515775624320016,
2014-06-30,,,,,,,,,,,0.010312553116196643,,1.091740412979351,,0.10862871743715918,4.2174169552391945,4.1304604335000645,-33.14131,358883000000.0,,164416000000.0,3701000000.0,38985000000.0,-978000000.0,0.0014582665169980756,-0.002725122115006841,-0.025086571758368603,
2015-06-30,,,,,,,,,,,0.0011304537839609584,,0.10853146853146853,,0.11257047126520504,4.259000439992753,4.166472552216787,-46.92537,343225000000.0,,164555000000.0,388000000.0,38637000000.0,-786000000.0,0.004862289696420678,-0.0022900429747250346,-0.020343194347387218,
2016-06-30,,,,,,,0.8385492834162036,,,,0.003458492700533319,,0.7620178041543026,0.08418628454452405,0.09983030760114206,4.948547068504978,4.903083938159351,18.9365,371260000000.0,,183408000000.0,1284000000.0,37063000000.0,495000000.0,0.005262360486844099,0.0013332974195981253,0.01335563769797372,1.3851132686084142
2017-06-30,,,,,,,1.0786908077994428,,,,0.0016826887543175872,,1.8310991957104559,0.09563979127761162,0.09804926360809858,5.184054475099251,5.174682144831398,-6.74829,405898000000.0,,206315000000.0,683000000.0,39798000000.0,-237000000.0,-0.0007979021449223391,-0.0005838905340750631,-0.0059550731192522235,
2018-06-30,,,,,,,0.7915625,,,,0.00234647460197119,,20.633333333333333,0.11224412433661865,0.158620166793025,4.971776120829748,4.971059172163273,15.05933,263800000000.0,,208039000000.0,619000000.0,41844000000.0,698000000.0,-0.01603380026389796,0.0026459438968915844,0.016681005639996176,
2019-06-30,,,0.0017402098913987176,3.4442013129102844,0.048225097946099964,,0.8342788892206628,,,,0.0031621977804551444,,89.5,0.13171348721518136,0.14879995477527197,5.465748545648819,4.273228066009735,7.69231,283031000000.0,,230190000000.0,895000000.0,42115000000.0,505000000.0,-0.035499376891579136,0.0017842568481897742,0.011990977086548735,3.173758865248227
2020-06-30,,,0.0015800209453123003,3.69284064665127,0.05031321960036646,,1.0071047957371226,,,,0.006300454171776661,,51.94444444444444,0.16323567067829275,0.13607296397622673,6.023621462351747,4.749746205462154,-0.7177,296804000000.0,,243276000000.0,1870000000.0,40387000000.0,-42000000.0,-0.01883851885558273,-0.00014150752685273784,-0.0010399385941020625,1.8850806451612903
2021-06-30,,,,,,,0.5437460847776153,,,,0.007396762065042342,,37.854838709677416,0.15326141424073672,0.1515217411858141,5.410749199217937,4.468488705852989,67.38268,317301000000.0,,260138000000.0,2347000000.0,48078000000.0,2039000000.0,0.01865021532122859,0.006426074925701463,0.04241025001039977,5.766584766584766
2022-06-30,,,,,,,0.3695562007465782,,,,0.001508461872760139,,12.945945945945946,0.1219586700342002,0.17421317495008534,4.251807664497469,3.486695589298626,122.9584,317542000000.0,,235210000000.0,479000000.0,55320000000.0,3990000000.0,0.021119771494965144,0.012565266956812012,0.07212581344902386,
